"","session_id","referrer","quoteGroup","quote"
"6258",2454344,"wpi","liked source",6
"6259",2454353,"wpi","disliked source",6
"6260",2454385,"wpi","disliked source",8
"6261",2456569,"wpi","liked source",5
"6262",2456576,"wpi","disliked source",4
"6263",2458809,"wpi","disliked source",1
"6264",2458813,"wpi","disliked source",7
"6265",2458816,"wpi","liked source",7
"6266",2458872,"wpi","liked source",7
"6267",2458893,"wpi","liked source",4
"6268",2458967,"wpi","liked source",6
"6269",2458970,"wpi","disliked source",5
"6270",2458987,"wpi","disliked source",5
"6271",2459014,"wpi","disliked source",3
"6272",2461595,"wpi","liked source",5
"6273",2467812,"wpi","disliked source",5
"6274",2472292,"wpi","liked source",9
"6275",2472304,"wpi","disliked source",6
"6276",2472376,"wpi","liked source",5
"6277",2472395,"wpi","liked source",5
"6278",2474017,"wpi","liked source",8
"6279",2474025,"wpi","liked source",7
"6280",2474095,"wpi","disliked source",6
"6281",2474102,"wpi","disliked source",6
"6282",2477627,"wpi","disliked source",9
"6283",2477634,"wpi","liked source",6
"6284",2477719,"wpi","liked source",9
"6285",2477729,"wpi","liked source",3
"6286",2477731,"wpi","disliked source",6
"6287",2477736,"wpi","liked source",4
"6288",2477756,"wpi","liked source",7
"6289",2477766,"wpi","disliked source",9
"6290",2477773,"wpi","disliked source",7
"6291",2477776,"wpi","liked source",9
"6292",2481938,"wpi","disliked source",7
"6293",2481944,"wpi","liked source",1
"6294",2482004,"wpi","liked source",5
"6295",2482043,"wpi","disliked source",4
"6296",2482055,"wpi","liked source",1
"6297",2482067,"wpi","disliked source",3
"6298",2482078,"wpi","disliked source",1
"6299",2484324,"wpi","liked source",3
"6300",2484327,"wpi","disliked source",5
"6301",2484328,"wpi","disliked source",5
"6302",2484570,"wpi","disliked source",5
"6303",2484574,"wpi","liked source",5
"6304",2484654,"wpi","disliked source",5
"6305",2484679,"wpi","liked source",5
"6306",2484690,"wpi","disliked source",5
"6307",2484696,"wpi","disliked source",5
"6308",2484748,"wpi","disliked source",6
"6309",2484783,"wpi","liked source",8
"6310",2484805,"wpi","disliked source",2
"6311",2484862,"wpi","liked source",4
"6312",2484863,"wpi","liked source",5
"6313",2484876,"wpi","liked source",9
"6314",2484887,"wpi","disliked source",8
"6315",2484890,"wpi","disliked source",6
"6316",2484896,"wpi","disliked source",7
"6317",2484969,"wpi","liked source",9
"6318",2484972,"wpi","liked source",7
"6319",2484973,"wpi","liked source",9
"6320",2486492,"wpi","liked source",9
"6321",2490381,"wpi","disliked source",5
"6322",2490384,"wpi","liked source",7
"6323",2492391,"wpi","liked source",9
"6324",2492394,"wpi","liked source",8
"6325",2493944,"wpi","disliked source",4
"6326",2493955,"wpi","disliked source",8
"6327",2493959,"wpi","liked source",8
"6328",2493964,"wpi","disliked source",8
"6329",2493970,"wpi","disliked source",4
"6330",2493974,"wpi","disliked source",7
"6331",2494028,"wpi","disliked source",7
"6332",2494032,"wpi","disliked source",5
"6333",2494074,"wpi","disliked source",5
"6334",2494078,"wpi","disliked source",6
"6335",2494402,"wpi","liked source",5
"6336",2494404,"wpi","liked source",9
"6337",2494405,"wpi","disliked source",9
"6338",2494407,"wpi","disliked source",7
"6339",2495930,"wpi","liked source",6
"6340",2495934,"wpi","liked source",5
"6341",2496017,"wpi","liked source",2
"6342",2496023,"wpi","disliked source",6
"6343",2496026,"wpi","disliked source",5
"6344",2496226,"wpi","liked source",5
