"","session_id","referrer","gambfalgroup","gambfalDV"
"4236",2484525,"psu","two6",2.23606797749979
"4237",2484526,"psu","two6",1
"4238",2484535,"psu","three6",2.23606797749979
"4239",2484537,"psu","three6",2.23606797749979
"4240",2484538,"psu","two6",0
"4241",2484548,"psu","three6",1.4142135623731
"4242",2484626,"psu","three6",1.73205080756888
"4243",2484631,"psu","three6",1.73205080756888
"4244",2484633,"psu","three6",2.64575131106459
"4245",2484635,"psu","two6",2
"4246",2484650,"psu","three6",4.47213595499958
"4247",2484652,"psu","two6",1
"4248",2484726,"psu","three6",5
"4249",2484730,"psu","three6",6
"4250",2484746,"psu","two6",1.4142135623731
"4251",2484761,"psu","two6",0
"4252",2484762,"psu","two6",1
"4253",2484765,"psu","two6",1
"4254",2484829,"psu","two6",2
"4255",2484831,"psu","two6",0
"4256",2484832,"psu","two6",1.73205080756888
"4257",2484833,"psu","two6",3.16227766016838
"4258",2484835,"psu","two6",2.23606797749979
"4259",2484850,"psu","two6",14.6969384566991
"4260",2484921,"psu","two6",2.23606797749979
"4261",2484923,"psu","three6",2.64575131106459
"4262",2484927,"psu","three6",3.16227766016838
"4263",2484936,"psu","three6",7.34846922834953
"4264",2484944,"psu","three6",5.8309518948453
"4265",2490490,"psu","three6",3.16227766016838
"4267",2490496,"psu","two6",7.07106781186548
"4268",2490499,"psu","two6",1.4142135623731
"4269",2490501,"psu","two6",2.23606797749979
"4270",2490558,"psu","two6",2
"4271",2490564,"psu","two6",7.07106781186548
"4272",2490571,"psu","three6",2
"4273",2490574,"psu","two6",1
"4274",2490582,"psu","three6",1.73205080756888
"4275",2490586,"psu","two6",3.46410161513775
"4276",2490596,"psu","three6",3.46410161513775
"4277",2490616,"psu","two6",10
"4278",2490617,"psu","two6",2.44948974278318
"4279",2490624,"psu","three6",4.47213595499958
"4280",2490644,"psu","two6",2
"4281",2490651,"psu","two6",2
"4282",2490658,"psu","two6",3.87298334620742
"4283",2490661,"psu","two6",3.46410161513775
"4284",2490664,"psu","three6",2.44948974278318
"4285",2490682,"psu","three6",2.23606797749979
"4286",2490703,"psu","two6",2
"4287",2490714,"psu","two6",1
"4288",2490730,"psu","three6",1.4142135623731
"4289",2490736,"psu","two6",0
"4290",2490738,"psu","two6",2.44948974278318
"4291",2490741,"psu","two6",0
"4292",2490743,"psu","two6",1.73205080756888
"4293",2490756,"psu","three6",7.74596669241483
"4294",2490791,"psu","three6",3.16227766016838
"4295",2490804,"psu","two6",0
"4296",2492277,"psu","two6",1.73205080756888
"4297",2492280,"psu","two6",1.73205080756888
"4298",2492283,"psu","two6",0
"4299",2492337,"psu","two6",1.4142135623731
"4300",2492339,"psu","three6",2.64575131106459
"4301",2492340,"psu","three6",2.44948974278318
"4302",2492360,"psu","two6",1
"4303",2492363,"psu","two6",2.82842712474619
"4304",2492365,"psu","three6",1.4142135623731
"4305",2492377,"psu","two6",0
"4306",2492422,"psu","three6",1.4142135623731
"4307",2492424,"psu","three6",7.07106781186548
"4308",2492428,"psu","two6",1
"4309",2492477,"psu","two6",3.46410161513775
"4310",2492480,"psu","three6",7.48331477354788
"4311",2492498,"psu","two6",0
"4312",2492499,"psu","two6",2.23606797749979
"4314",2493995,"psu","two6",1.4142135623731
"4315",2493998,"psu","two6",1
"4316",2493999,"psu","two6",1
"4317",2494001,"psu","two6",0
"4318",2494004,"psu","two6",1
"4319",2494055,"psu","two6",4.24264068711928
"4320",2494062,"psu","two6",1.73205080756888
"4321",2494064,"psu","two6",1.73205080756888
"4322",2494069,"psu","three6",1
"4323",2494070,"psu","two6",1.4142135623731
"4324",2494092,"psu","three6",7.07106781186548
"4325",2494117,"psu","two6",0
"4326",2494131,"psu","two6",2.23606797749979
"4327",2494134,"psu","three6",5.47722557505166
"4328",2494135,"psu","two6",1.73205080756888
"4329",2494139,"psu","three6",1
"4330",2494171,"psu","two6",0
