"","session_id","referrer","gambfalgroup","gambfalDV"
"5509",2410996,"ufl","two6",2.23606797749979
"5510",2411208,"ufl","three6",6
"5511",2411213,"ufl","two6",1.4142135623731
"5512",2413016,"ufl","three6",2.44948974278318
"5513",2413017,"ufl","three6",1.73205080756888
"5514",2413018,"ufl","two6",0
"5515",2413210,"ufl","three6",2.44948974278318
"5516",2413452,"ufl","two6",0
"5517",2413453,"ufl","two6",0
"5518",2413454,"ufl","two6",24.4948974278318
"5519",2413537,"ufl","three6",4.24264068711928
"5520",2413539,"ufl","two6",2.23606797749979
"5521",2413641,"ufl","two6",1
"5522",2413648,"ufl","three6",3.16227766016838
"5523",2413652,"ufl","two6",1.73205080756888
"5524",2413747,"ufl","two6",2
"5525",2413749,"ufl","three6",6.32455532033676
"5526",2413752,"ufl","two6",3.60555127546399
"5527",2413870,"ufl","two6",2.23606797749979
"5528",2413873,"ufl","three6",1
"5529",2413874,"ufl","three6",1
"5530",2413875,"ufl","three6",14
"5531",2413936,"ufl","two6",2.44948974278318
"5532",2413938,"ufl","two6",0
"5533",2413939,"ufl","two6",3.16227766016838
"5534",2418384,"ufl","two6",0
"5535",2418388,"ufl","three6",5.47722557505166
"5536",2418461,"ufl","three6",3.16227766016838
"5537",2418506,"ufl","three6",17.3205080756888
"5538",2419239,"ufl","three6",1
"5539",2419353,"ufl","two6",3.46410161513775
"5540",2421339,"ufl","two6",2.64575131106459
"5541",2421344,"ufl","three6",1
"5542",2421349,"ufl","three6",3.46410161513775
"5543",2421352,"ufl","three6",2
"5544",2421503,"ufl","three6",1.4142135623731
"5545",2421843,"ufl","two6",2
"5546",2422266,"ufl","three6",6
"5547",2422270,"ufl","two6",0
"5549",2422898,"ufl","two6",2.23606797749979
"5550",2422904,"ufl","two6",2.23606797749979
"5551",2422910,"ufl","two6",3.16227766016838
"5552",2422918,"ufl","three6",1.73205080756888
"5553",2423191,"ufl","three6",14.6969384566991
"5554",2425333,"ufl","two6",0
"5555",2425334,"ufl","two6",2.64575131106459
"5556",2425598,"ufl","three6",1.73205080756888
"5557",2425912,"ufl","two6",4.47213595499958
"5558",2425928,"ufl","three6",4.24264068711928
"5559",2428447,"ufl","two6",1
"5560",2428449,"ufl","three6",2.44948974278318
"5561",2428541,"ufl","two6",7.74596669241483
"5562",2428543,"ufl","three6",1
"5563",2428704,"ufl","three6",4.47213595499958
"5564",2428708,"ufl","two6",1
"5565",2428710,"ufl","two6",2.82842712474619
"5566",2428715,"ufl","three6",4.47213595499958
"5567",2428834,"ufl","three6",1
"5568",2428836,"ufl","two6",2.23606797749979
"5569",2428840,"ufl","two6",1.73205080756888
"5570",2428987,"ufl","two6",2.23606797749979
"5571",2429136,"ufl","three6",2.23606797749979
"5572",2429145,"ufl","three6",1.73205080756888
"5573",2429146,"ufl","two6",5.91607978309962
"5574",2429236,"ufl","two6",1.73205080756888
"5575",2429239,"ufl","two6",1
"5576",2429247,"ufl","two6",1.4142135623731
"5578",2430730,"ufl","three6",1.4142135623731
"5579",2430732,"ufl","two6",14.6969384566991
"5580",2430736,"ufl","three6",6
"5581",2430737,"ufl","two6",2.44948974278318
"5582",2430738,"ufl","three6",2.82842712474619
"5583",2430747,"ufl","two6",1.4142135623731
"5584",2430899,"ufl","three6",2.44948974278318
"5585",2430901,"ufl","three6",2.23606797749979
"5588",2431155,"ufl","three6",1
"5589",2431158,"ufl","three6",4.47213595499958
"5590",2431163,"ufl","three6",5
"5592",2431438,"ufl","two6",2
"5593",2431545,"ufl","three6",4.24264068711928
"5595",2431635,"ufl","three6",1.4142135623731
"5597",2431659,"ufl","two6",2.23606797749979
"5598",2431729,"ufl","three6",7.07106781186548
"5599",2435972,"ufl","two6",1
"5600",2442762,"ufl","three6",2.23606797749979
"5601",2442764,"ufl","two6",3.16227766016838
"5602",2445943,"ufl","two6",3.87298334620742
"5603",2445949,"ufl","two6",1
"5604",2446062,"ufl","three6",17.3205080756888
"5605",2446209,"ufl","two6",0
"5606",2446210,"ufl","three6",2.44948974278318
"5607",2447576,"ufl","two6",0
"5608",2447837,"ufl","two6",2.23606797749979
"5610",2454008,"ufl","two6",0
"5611",2456516,"ufl","three6",4.47213595499958
"5612",2461360,"ufl","two6",3
"5613",2461362,"ufl","three6",10
"5614",2461364,"ufl","three6",2
"5616",2461844,"ufl","three6",2.23606797749979
"5617",2461847,"ufl","two6",3.16227766016838
"5618",2461857,"ufl","three6",3.60555127546399
"5619",2461933,"ufl","two6",0
"5620",2465977,"ufl","three6",3.16227766016838
"5621",2465982,"ufl","two6",1.73205080756888
"5622",2466010,"ufl","three6",1.73205080756888
"5623",2467321,"ufl","three6",3.87298334620742
"5624",2467493,"ufl","three6",5
"5625",2470455,"ufl","three6",1
"5626",2473477,"ufl","three6",2.64575131106459
"5628",2473673,"ufl","three6",2.23606797749979
"5629",2473798,"ufl","two6",1.4142135623731
"5630",2479109,"ufl","two6",3.87298334620742
"5631",2479343,"ufl","two6",2.82842712474619
"5632",2484771,"ufl","three6",1.73205080756888
"5633",2484856,"ufl","three6",5.65685424949238
"5634",2486607,"ufl","two6",1.73205080756888
"5635",2486610,"ufl","two6",3.16227766016838
