"","session_id","referrer","gambfalgroup","gambfalDV"
"5780",2443384,"uva","three6",2.23606797749979
"5781",2443392,"uva","two6",2.23606797749979
"5782",2443401,"uva","three6",15.0332963783729
"5783",2443436,"uva","three6",1.73205080756888
"5784",2443445,"uva","three6",10.3923048454133
"5785",2443449,"uva","two6",1.4142135623731
"5786",2443485,"uva","two6",2.64575131106459
"5787",2443494,"uva","three6",10
"5788",2443583,"uva","three6",1.4142135623731
"5789",2443625,"uva","three6",7.07106781186548
"5790",2443643,"uva","two6",2
"5791",2443646,"uva","two6",6
"5792",2443669,"uva","three6",1.73205080756888
"5793",2456535,"uva","three6",3.16227766016838
"5794",2456539,"uva","three6",3.16227766016838
"5796",2456550,"uva","two6",2.23606797749979
"5797",2456616,"uva","three6",4.47213595499958
"5798",2456620,"uva","three6",10.9544511501033
"5799",2456621,"uva","two6",0
"5800",2456649,"uva","two6",3.16227766016838
"5801",2456690,"uva","two6",0
"5802",2456696,"uva","three6",6
"5803",2456699,"uva","two6",0
"5804",2456709,"uva","two6",2
"5805",2456741,"uva","two6",2.44948974278318
"5806",2456758,"uva","three6",5.74456264653803
"5807",2456762,"uva","three6",2.23606797749979
"5808",2456767,"uva","three6",4.24264068711928
"5809",2461896,"uva","two6",0
"5810",2461900,"uva","two6",1.73205080756888
"5811",2461901,"uva","three6",5
"5812",2461905,"uva","three6",1.4142135623731
"5813",2461947,"uva","three6",4.47213595499958
"5815",2461952,"uva","three6",3.16227766016838
"5816",2461953,"uva","two6",0
"5817",2462040,"uva","two6",1.4142135623731
"5818",2462051,"uva","three6",14
"5819",2462060,"uva","three6",10
"5820",2462122,"uva","three6",1
"5821",2493673,"uva","three6",17.7763888346312
"5822",2493676,"uva","two6",2
"5823",2493677,"uva","two6",6
"5824",2493724,"uva","two6",0
"5825",2493743,"uva","three6",3.16227766016838
"5826",2493783,"uva","three6",1.73205080756888
"5827",2493784,"uva","two6",3.16227766016838
"5828",2493797,"uva","three6",10
"5829",2493804,"uva","two6",0
"5830",2493811,"uva","two6",1.73205080756888
"5831",2493823,"uva","three6",2
"5833",2493825,"uva","three6",10
"5834",2495929,"uva","two6",2.23606797749979
"5835",2495938,"uva","three6",1
"5837",2495995,"uva","two6",0
"5838",2495998,"uva","three6",2.82842712474619
"5839",2496022,"uva","two6",3.16227766016838
"5840",2496027,"uva","two6",1.73205080756888
"5841",2497527,"uva","two6",0
"5842",2497532,"uva","two6",0
"5843",2497560,"uva","three6",2.64575131106459
"5844",2497563,"uva","two6",0
"5845",2497591,"uva","three6",1.73205080756888
"5846",2497596,"uva","two6",0
"5847",2497602,"uva","two6",2.64575131106459
"5848",2497609,"uva","three6",10.3923048454133
"5849",2497629,"uva","two6",2.23606797749979
"5850",2497633,"uva","two6",0
"5851",2497655,"uva","three6",2.82842712474619
"5852",2497672,"uva","three6",3.16227766016838
"5853",2503816,"uva","three6",4.47213595499958
"5854",2503817,"uva","two6",2.44948974278318
"5855",2503820,"uva","two6",2
"5856",2503821,"uva","two6",2.23606797749979
"5857",2503900,"uva","three6",3.46410161513775
"5858",2503903,"uva","three6",3.16227766016838
"5859",2503904,"uva","three6",2.82842712474619
"5860",2503907,"uva","two6",2.23606797749979
