"","session_id","referrer","sex","d_art","iat_exclude"
"480",2478532,"help","f",-0.0427113126772206,"Include"
"481",2478534,"help","f",1.05059033145163,"Include"
"482",2478570,"help","f",0.695709857498571,"Include"
"483",2478574,"help","m",-0.485949959325033,"Include"
"484",2478584,"help","f",0.0325233181269285,"Include"
"485",2478593,"help","f",0.185822476158558,"Include"
"486",2478626,"help","f",0.385445942157066,"Include"
"488",2478644,"help","f",-0.182854526577637,"Include"
"489",2478657,"help","f",0.574124655668698,"Include"
"490",2478672,"help","m",0.812926710215444,"Include"
"491",2478681,"help","f",0.846870004426452,"Include"
"492",2478687,"help","m",-0.438210768219171,"Include"
"493",2478688,"help","f",0.102450424854334,"Include"
"494",2478703,"help","m",0.185786341592284,"Include"
"495",2478706,"help","f",0.894818995920499,"Include"
"496",2478718,"help","f",-0.018722330400377,"Include"
"497",2478726,"help","f",0.0389298460908818,"Include"
"498",2478727,"help","f",0.0466578367925188,"Include"
"499",2478764,"help","m",0.156318519559323,"Include"
"500",2480748,"help","f",0.202619493511187,"Include"
"501",2480756,"help","f",0.0868184452647545,"Include"
"502",2480784,"help","m",-0.327061743364642,"Include"
"503",2480786,"help","m",0.80403735193994,"Include"
"504",2480821,"help","m",0.553340925287002,"Include"
"505",2480823,"help","f",0.999125180379835,"Include"
"506",2480862,"help","m",0.308004660768452,"Include"
"507",2480891,"help","m",0.831851402027594,"Include"
"508",2480894,"help","f",1.07384821310535,"Include"
"509",2480933,"help","f",-0.110392658866112,"Include"
"510",2480935,"help","f",0.647763960738003,"Include"
"511",2480961,"help","f",0.177772037130565,"Include"
"512",2480965,"help","f",0.333237459907939,"Include"
"513",2481000,"help","m",0.0265281030085096,"Include"
"514",2481002,"help","f",-0.387152177258176,"Include"
"515",2481015,"help","f",0.662222394841154,"Include"
"516",2481016,"help","f",1.00814801484264,"Include"
"517",2481028,"help","f",0.548705156915341,"Include"
"518",2481030,"help","f",0.194272432408591,"Include"
"519",2481059,"help","m",-0.0684530385126905,"Include"
"520",2481060,"help","m",0.323147504055087,"Include"
"521",2481065,"help","m",0.114550107038382,"Include"
"522",2481066,"help","f",0.0923027921809607,"Include"
"523",2481079,"help","f",0.755209716933204,"Include"
"524",2481090,"help","m",0.728988507504606,"Include"
"525",2483090,"help","f",0.213776718164528,"Include"
"526",2483097,"help","f",0.257466519935726,"Include"
"527",2483124,"help","f",0.435862808806051,"Include"
"528",2483188,"help","m",-0.443893256451321,"Include"
"529",2483238,"help","f",0.94370240772581,"Include"
"530",2483246,"help","f",-0.0224107124166252,"Include"
"531",2483286,"help","m",0.0890985764325275,"Include"
"532",2483295,"help","f",0.677812088308624,"Include"
"533",2483343,"help","f",0.506881534400369,"Include"
"534",2483345,"help","m",0.896638502388504,"Include"
"535",2483375,"help","f",0.329842293945412,"Include"
"536",2483396,"help","f",-0.673370669290078,"Include"
"537",2483399,"help","f",0.859369805353786,"Include"
"538",2483434,"help","f",0.525213323590648,"Include"
"539",2483460,"help","f",0.609700101410864,"Include"
"540",2483461,"help","f",0.617352280408046,"Include"
"541",2483488,"help","f",0.221980300474717,"Include"
"542",2483491,"help","f",0.327876835778319,"Include"
"543",2483512,"help","m",-0.0423646807198336,"Include"
"544",2483513,"help","f",0.296330390157276,"Include"
"545",2483540,"help","f",0.266508403425016,"Include"
"546",2483542,"help","f",1.25889349222696,"Include"
"547",2483554,"help","f",0.721806710183308,"Include"
"548",2483555,"help","f",-0.31297918688123,"Include"
"549",2483574,"help","f",0.673098095637662,"Include"
"551",2483587,"help","f",0.309345286449231,"Include"
"552",2483588,"help","f",0.505060129987006,"Include"
"553",2483613,"help","f",0.131370885353172,"Include"
"554",2483614,"help","m",0.956334538966657,"Include"
"555",2483640,"help","m",0.933327912791289,"Include"
"556",2483641,"help","f",0.317192325637576,"Include"
"557",2484192,"help","f",0.220411554379103,"Include"
"558",2485486,"help","f",0.584133063665338,"Include"
"559",2485537,"help","f",-0.122333239283861,"Include"
"560",2485604,"help","f",-0.166953523511656,"Include"
"561",2485607,"help","f",-0.0155285544415156,"Include"
"562",2485651,"help","m",0.505517949134409,"Include"
"563",2485653,"help","m",-0.0862572647863526,"Include"
"564",2485691,"help","f",0.906038701092895,"Include"
"565",2485699,"help","f",-0.728093321952073,"Include"
"566",2485753,"help","f",0.0720194423853054,"Include"
"569",2485842,"help","m",0.110558827022769,"Include"
"571",2485882,"help","m",0.124943138843368,"Include"
"572",2485885,"help","m",-0.138909606566627,"Include"
"573",2485905,"help","m",0.450411265200352,"Include"
"574",2485906,"help","f",-0.107998358213229,"Include"
"575",2485964,"help","f",-0.775205077666429,"Include"
"576",2485966,"help","f",0.554606516482147,"Include"
"577",2485988,"help","f",0.834719048271129,"Include"
"578",2486008,"help","f",0.247278041426909,"Include"
"579",2486012,"help","f",0.818636607822639,"Include"
"580",2486028,"help","f",0.316954247463211,"Include"
"581",2486032,"help","m",0.380991140991475,"Include"
