"","session_id","referrer","sunkgroup","sunkDV"
"1348",2451767,"luc","free",9
"1349",2451771,"luc","paid",7
"1350",2451779,"luc","free",9
"1351",2451792,"luc","free",7
"1352",2452088,"luc","free",2
"1353",2452090,"luc","paid",8
"1354",2452092,"luc","paid",6
"1355",2452094,"luc","paid",9
"1356",2452100,"luc","free",9
"1357",2452275,"luc","free",6
"1358",2452282,"luc","paid",9
"1359",2452290,"luc","paid",9
"1360",2452295,"luc","paid",9
"1361",2452386,"luc","free",5
"1362",2452390,"luc","free",8
"1363",2452391,"luc","paid",8
"1364",2452392,"luc","paid",9
"1365",2452399,"luc","free",6
"1366",2452769,"luc","free",7
"1367",2452772,"luc","free",9
"1368",2452776,"luc","free",9
"1369",2452780,"luc","paid",6
"1370",2452782,"luc","paid",9
"1371",2452877,"luc","free",9
"1372",2452890,"luc","free",6
"1373",2456872,"luc","paid",9
"1374",2456978,"luc","free",9
"1375",2457300,"luc","paid",9
"1376",2457542,"luc","paid",9
"1377",2458634,"luc","paid",9
"1378",2458720,"luc","paid",9
"1379",2459183,"luc","free",9
"1380",2459311,"luc","paid",7
"1381",2459317,"luc","free",9
"1382",2459322,"luc","free",7
"1383",2461808,"luc","paid",9
"1384",2462172,"luc","free",9
"1385",2462453,"luc","free",9
"1386",2462479,"luc","paid",9
"1387",2465954,"luc","paid",9
"1388",2466179,"luc","free",1
"1389",2466185,"luc","free",1
"1390",2466187,"luc","free",9
"1391",2466456,"luc","paid",7
"1392",2466507,"luc","paid",8
"1393",2466516,"luc","free",9
"1394",2466518,"luc","paid",9
"1395",2466528,"luc","paid",9
"1396",2466602,"luc","free",9
"1397",2466617,"luc","paid",9
"1398",2466618,"luc","free",9
"1399",2467661,"luc","free",9
"1400",2467761,"luc","paid",9
"1401",2467845,"luc","paid",9
"1402",2467850,"luc","paid",9
"1403",2467851,"luc","paid",9
"1404",2467880,"luc","free",7
"1405",2468035,"luc","free",8
"1406",2468400,"luc","paid",9
"1407",2468404,"luc","free",9
"1408",2468405,"luc","free",9
"1409",2468407,"luc","paid",9
"1410",2468495,"luc","free",9
"1411",2468500,"luc","paid",9
"1412",2468578,"luc","paid",9
"1413",2468580,"luc","paid",9
"1414",2469734,"luc","free",9
"1415",2469736,"luc","free",9
"1416",2470219,"luc","free",5
"1417",2470513,"luc","paid",9
"1418",2470516,"luc","free",9
"1419",2470529,"luc","free",9
"1420",2470662,"luc","free",8
"1421",2470667,"luc","paid",9
"1422",2470690,"luc","paid",6
"1423",2470838,"luc","free",9
"1424",2470917,"luc","free",6
"1425",2471871,"luc","free",8
"1426",2472160,"luc","free",9
"1427",2472634,"luc","paid",9
"1428",2472639,"luc","free",7
"1429",2472648,"luc","free",9
"1430",2472651,"luc","paid",1
"1431",2472658,"luc","paid",7
"1432",2472667,"luc","paid",9
"1433",2472724,"luc","paid",9
"1434",2472803,"luc","paid",9
"1435",2472847,"luc","paid",9
"1436",2472871,"luc","free",7
"1437",2473592,"luc","paid",7
"1438",2473867,"luc","free",8
"1439",2473958,"luc","paid",9
"1440",2473963,"luc","paid",9
"1441",2474074,"luc","paid",7
"1442",2474078,"luc","paid",9
"1443",2474085,"luc","paid",9
"1444",2474087,"luc","free",9
"1445",2474142,"luc","paid",9
"1446",2474145,"luc","paid",7
"1447",2482189,"luc","free",7
"1448",2482407,"luc","paid",7
"1449",2482414,"luc","paid",9
"1450",2482597,"luc","free",9
"1451",2482607,"luc","free",8
"1452",2482937,"luc","paid",9
"1453",2482938,"luc","free",9
"1454",2482939,"luc","paid",9
"1455",2482940,"luc","paid",8
"1456",2482943,"luc","paid",9
"1457",2482948,"luc","free",9
"1458",2483015,"luc","free",9
"1459",2483016,"luc","free",8
"1460",2483025,"luc","free",8
"1461",2485100,"luc","free",7
"1462",2485116,"luc","paid",7
"1463",2485124,"luc","paid",8
"1464",2485126,"luc","free",7
"1465",2485131,"luc","free",9
"1466",2485209,"luc","paid",9
"1467",2485211,"luc","paid",1
"1468",2485214,"luc","free",7
"1469",2485217,"luc","free",8
"1470",2485220,"luc","free",9
"1471",2485330,"luc","free",5
"1472",2485341,"luc","free",6
"1473",2485430,"luc","paid",8
"1474",2486251,"luc","paid",9
"1475",2486475,"luc","paid",7
"1476",2486827,"luc","paid",9
"1477",2487052,"luc","free",6
"1478",2487127,"luc","paid",9
"1479",2490201,"luc","paid",9
"1480",2490205,"luc","free",9
"1481",2490444,"luc","paid",7
"1482",2490448,"luc","free",2
"1483",2490694,"luc","free",9
"1484",2490695,"luc","paid",9
"1485",2490700,"luc","paid",2
"1486",2491069,"luc","free",9
"1487",2492314,"luc","free",7
"1488",2492445,"luc","paid",6
"1489",2492459,"luc","free",9
"1490",2492856,"luc","paid",9
"1491",2492865,"luc","free",5
"1492",2492867,"luc","free",7
"1493",2492869,"luc","paid",9
