"","session_id","referrer","sunkgroup","sunkDV"
"1677",2402411,"mturk","free",3
"1678",2402412,"mturk","free",7
"1679",2402414,"mturk","free",1
"1680",2402415,"mturk","paid",4
"1681",2402416,"mturk","free",8
"1682",2402417,"mturk","paid",9
"1683",2402421,"mturk","free",7
"1684",2402422,"mturk","paid",5
"1685",2402426,"mturk","paid",6
"1686",2402447,"mturk","free",5
"1687",2402449,"mturk","free",3
"1688",2402450,"mturk","paid",2
"1689",2402451,"mturk","paid",8
"1690",2402452,"mturk","paid",6
"1691",2402453,"mturk","free",8
"1692",2402454,"mturk","paid",7
"1693",2402456,"mturk","paid",4
"1694",2402457,"mturk","paid",1
"1695",2402459,"mturk","paid",7
"1696",2402460,"mturk","paid",5
"1697",2402466,"mturk","free",6
"1698",2402467,"mturk","free",9
"1699",2402468,"mturk","free",5
"1700",2402470,"mturk","paid",7
"1701",2402471,"mturk","free",7
"1702",2402472,"mturk","free",9
"1703",2402474,"mturk","paid",9
"1704",2402476,"mturk","paid",3
"1705",2402478,"mturk","paid",9
"1706",2402479,"mturk","paid",9
"1707",2402484,"mturk","free",9
"1708",2402485,"mturk","free",1
"1709",2402488,"mturk","free",1
"1710",2402489,"mturk","paid",6
"1711",2402490,"mturk","paid",7
"1712",2402493,"mturk","free",9
"1713",2402494,"mturk","paid",9
"1714",2402495,"mturk","paid",6
"1715",2402496,"mturk","free",6
"1716",2402498,"mturk","paid",7
"1717",2402499,"mturk","free",7
"1718",2402502,"mturk","free",5
"1719",2402504,"mturk","paid",9
"1720",2402507,"mturk","paid",5
"1721",2402508,"mturk","paid",9
"1722",2402509,"mturk","paid",9
"1723",2402511,"mturk","free",7
"1724",2402512,"mturk","free",9
"1725",2402513,"mturk","paid",8
"1726",2402514,"mturk","free",9
"1727",2402515,"mturk","free",4
"1728",2402518,"mturk","free",4
"1729",2402521,"mturk","free",1
"1730",2402522,"mturk","paid",7
"1731",2402525,"mturk","free",4
"1732",2402529,"mturk","free",8
"1733",2402531,"mturk","free",9
"1734",2402532,"mturk","free",7
"1735",2402533,"mturk","paid",6
"1736",2402534,"mturk","paid",9
"1737",2402535,"mturk","free",9
"1738",2402537,"mturk","paid",8
