"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"85",2401243,"brasilia","allowed","does not support banning anti-democratic speeches"
"86",2401244,"brasilia","allowed","does not support banning anti-democratic speeches"
"87",2401246,"brasilia","allowed","does not support banning anti-democratic speeches"
"88",2401249,"brasilia","allowed","does not support banning anti-democratic speeches"
"89",2401250,"brasilia","allowed","does not support banning anti-democratic speeches"
"90",2401251,"brasilia","allowed","does not support banning anti-democratic speeches"
"91",2401252,"brasilia","forbidden","does not support banning anti-democratic speeches"
"92",2401255,"brasilia","forbidden","does not support banning anti-democratic speeches"
"93",2401257,"brasilia","forbidden","does not support banning anti-democratic speeches"
"94",2401258,"brasilia","forbidden","does not support banning anti-democratic speeches"
"95",2401259,"brasilia","allowed","does not support banning anti-democratic speeches"
"96",2401260,"brasilia","forbidden","does not support banning anti-democratic speeches"
"97",2401261,"brasilia","forbidden","does not support banning anti-democratic speeches"
"98",2401305,"brasilia","allowed","does not support banning anti-democratic speeches"
"99",2401306,"brasilia","forbidden","does not support banning anti-democratic speeches"
"100",2401308,"brasilia","allowed","support banning anti-democratic speeches"
"101",2401309,"brasilia","forbidden","does not support banning anti-democratic speeches"
"102",2401312,"brasilia","allowed","support banning anti-democratic speeches"
"103",2401316,"brasilia","allowed","does not support banning anti-democratic speeches"
"104",2401319,"brasilia","allowed","does not support banning anti-democratic speeches"
"105",2401320,"brasilia","forbidden","does not support banning anti-democratic speeches"
"106",2401322,"brasilia","allowed","does not support banning anti-democratic speeches"
"107",2401325,"brasilia","allowed","support banning anti-democratic speeches"
"108",2401328,"brasilia","forbidden","does not support banning anti-democratic speeches"
"109",2401329,"brasilia","allowed","support banning anti-democratic speeches"
"110",2401335,"brasilia","allowed","does not support banning anti-democratic speeches"
"111",2401336,"brasilia","forbidden","does not support banning anti-democratic speeches"
"112",2401341,"brasilia","allowed","does not support banning anti-democratic speeches"
"113",2401343,"brasilia","forbidden","does not support banning anti-democratic speeches"
"114",2401352,"brasilia","allowed","does not support banning anti-democratic speeches"
"115",2401368,"brasilia","allowed","does not support banning anti-democratic speeches"
"116",2401371,"brasilia","forbidden","does not support banning anti-democratic speeches"
"117",2401380,"brasilia","forbidden","does not support banning anti-democratic speeches"
"118",2401382,"brasilia","forbidden","does not support banning anti-democratic speeches"
"119",2401385,"brasilia","allowed","does not support banning anti-democratic speeches"
"120",2401388,"brasilia","forbidden","does not support banning anti-democratic speeches"
"121",2401389,"brasilia","forbidden","does not support banning anti-democratic speeches"
"122",2401390,"brasilia","allowed","support banning anti-democratic speeches"
"123",2401391,"brasilia","forbidden","does not support banning anti-democratic speeches"
"124",2401393,"brasilia","allowed","does not support banning anti-democratic speeches"
"125",2401396,"brasilia","forbidden","does not support banning anti-democratic speeches"
"126",2401398,"brasilia","allowed","does not support banning anti-democratic speeches"
"127",2401399,"brasilia","allowed","support banning anti-democratic speeches"
"128",2401400,"brasilia","allowed","does not support banning anti-democratic speeches"
"129",2401402,"brasilia","allowed","does not support banning anti-democratic speeches"
"130",2401405,"brasilia","forbidden","does not support banning anti-democratic speeches"
"131",2401417,"brasilia","allowed","does not support banning anti-democratic speeches"
"132",2401440,"brasilia","forbidden","does not support banning anti-democratic speeches"
"133",2401462,"brasilia","forbidden","does not support banning anti-democratic speeches"
"134",2401463,"brasilia","allowed","does not support banning anti-democratic speeches"
"135",2401464,"brasilia","forbidden","does not support banning anti-democratic speeches"
"136",2401466,"brasilia","allowed","support banning anti-democratic speeches"
"137",2401472,"brasilia","allowed","does not support banning anti-democratic speeches"
"138",2401476,"brasilia","allowed","does not support banning anti-democratic speeches"
"139",2401485,"brasilia","allowed","does not support banning anti-democratic speeches"
"140",2401488,"brasilia","forbidden","does not support banning anti-democratic speeches"
"141",2401489,"brasilia","forbidden","does not support banning anti-democratic speeches"
"142",2401490,"brasilia","allowed","does not support banning anti-democratic speeches"
"143",2401494,"brasilia","allowed","does not support banning anti-democratic speeches"
"144",2401495,"brasilia","allowed","does not support banning anti-democratic speeches"
"145",2401497,"brasilia","allowed","does not support banning anti-democratic speeches"
"146",2402832,"brasilia","allowed","does not support banning anti-democratic speeches"
"147",2403781,"brasilia","forbidden","support banning anti-democratic speeches"
"148",2404006,"brasilia","allowed","support banning anti-democratic speeches"
"149",2406260,"brasilia","forbidden","does not support banning anti-democratic speeches"
"150",2413394,"brasilia","forbidden","does not support banning anti-democratic speeches"
"151",2413458,"brasilia","forbidden","does not support banning anti-democratic speeches"
"152",2422247,"brasilia","allowed","does not support banning anti-democratic speeches"
"153",2422422,"brasilia","forbidden","does not support banning anti-democratic speeches"
"154",2422639,"brasilia","forbidden","does not support banning anti-democratic speeches"
"155",2426482,"brasilia","forbidden","support banning anti-democratic speeches"
"156",2428845,"brasilia","allowed","does not support banning anti-democratic speeches"
"157",2428937,"brasilia","allowed","does not support banning anti-democratic speeches"
"158",2429105,"brasilia","forbidden","support banning anti-democratic speeches"
"159",2429257,"brasilia","allowed","does not support banning anti-democratic speeches"
"160",2439535,"brasilia","allowed","does not support banning anti-democratic speeches"
"161",2442313,"brasilia","forbidden","does not support banning anti-democratic speeches"
"162",2442618,"brasilia","allowed","support banning anti-democratic speeches"
"163",2442751,"brasilia","allowed","does not support banning anti-democratic speeches"
"164",2445814,"brasilia","forbidden","does not support banning anti-democratic speeches"
"165",2446096,"brasilia","allowed","does not support banning anti-democratic speeches"
"166",2451802,"brasilia","allowed","support banning anti-democratic speeches"
"167",2452252,"brasilia","allowed","does not support banning anti-democratic speeches"
"168",2452326,"brasilia","allowed","does not support banning anti-democratic speeches"
"169",2453867,"brasilia","allowed","does not support banning anti-democratic speeches"
"170",2457082,"brasilia","allowed","does not support banning anti-democratic speeches"
"171",2457236,"brasilia","allowed","does not support banning anti-democratic speeches"
"172",2458747,"brasilia","allowed","support banning anti-democratic speeches"
"173",2458796,"brasilia","forbidden","does not support banning anti-democratic speeches"
"174",2458919,"brasilia","forbidden","does not support banning anti-democratic speeches"
"175",2462035,"brasilia","allowed","does not support banning anti-democratic speeches"
"176",2465382,"brasilia","forbidden","does not support banning anti-democratic speeches"
"177",2465673,"brasilia","allowed","support banning anti-democratic speeches"
"178",2465905,"brasilia","allowed","does not support banning anti-democratic speeches"
"179",2466041,"brasilia","forbidden","does not support banning anti-democratic speeches"
"180",2466133,"brasilia","allowed","does not support banning anti-democratic speeches"
"181",2467447,"brasilia","allowed","does not support banning anti-democratic speeches"
"182",2467639,"brasilia","forbidden","does not support banning anti-democratic speeches"
"183",2467777,"brasilia","forbidden","does not support banning anti-democratic speeches"
"184",2467949,"brasilia","allowed","support banning anti-democratic speeches"
"185",2468111,"brasilia","forbidden","does not support banning anti-democratic speeches"
"186",2469707,"brasilia","allowed","does not support banning anti-democratic speeches"
"187",2469812,"brasilia","forbidden","does not support banning anti-democratic speeches"
"188",2469887,"brasilia","forbidden","does not support banning anti-democratic speeches"
"189",2470010,"brasilia","forbidden","does not support banning anti-democratic speeches"
"190",2470140,"brasilia","forbidden","does not support banning anti-democratic speeches"
"191",2471873,"brasilia","forbidden","does not support banning anti-democratic speeches"
"192",2472163,"brasilia","forbidden","does not support banning anti-democratic speeches"
"193",2472247,"brasilia","forbidden","does not support banning anti-democratic speeches"
"194",2472309,"brasilia","allowed","does not support banning anti-democratic speeches"
"195",2477425,"brasilia","allowed","does not support banning anti-democratic speeches"
"196",2477613,"brasilia","allowed","does not support banning anti-democratic speeches"
"197",2477757,"brasilia","forbidden","does not support banning anti-democratic speeches"
"198",2477847,"brasilia","forbidden","does not support banning anti-democratic speeches"
"199",2479434,"brasilia","allowed","support banning anti-democratic speeches"
"200",2479598,"brasilia","forbidden","support banning anti-democratic speeches"
"201",2479656,"brasilia","forbidden","does not support banning anti-democratic speeches"
"202",2479774,"brasilia","allowed","does not support banning anti-democratic speeches"
"203",2482449,"brasilia","forbidden","does not support banning anti-democratic speeches"
"204",2482575,"brasilia","allowed","does not support banning anti-democratic speeches"
