"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"1348",2451767,"luc","forbidden","does not support banning anti-democratic speeches"
"1349",2451771,"luc","allowed","support banning anti-democratic speeches"
"1350",2451779,"luc","allowed","does not support banning anti-democratic speeches"
"1351",2451792,"luc","forbidden","does not support banning anti-democratic speeches"
"1353",2452090,"luc","forbidden","does not support banning anti-democratic speeches"
"1354",2452092,"luc","forbidden","does not support banning anti-democratic speeches"
"1355",2452094,"luc","forbidden","does not support banning anti-democratic speeches"
"1356",2452100,"luc","allowed","does not support banning anti-democratic speeches"
"1357",2452275,"luc","forbidden","does not support banning anti-democratic speeches"
"1358",2452282,"luc","forbidden","does not support banning anti-democratic speeches"
"1359",2452290,"luc","forbidden","does not support banning anti-democratic speeches"
"1360",2452295,"luc","forbidden","does not support banning anti-democratic speeches"
"1361",2452386,"luc","forbidden","does not support banning anti-democratic speeches"
"1362",2452390,"luc","forbidden","does not support banning anti-democratic speeches"
"1363",2452391,"luc","forbidden","does not support banning anti-democratic speeches"
"1364",2452392,"luc","allowed","does not support banning anti-democratic speeches"
"1365",2452399,"luc","allowed","does not support banning anti-democratic speeches"
"1366",2452769,"luc","forbidden","does not support banning anti-democratic speeches"
"1367",2452772,"luc","allowed","does not support banning anti-democratic speeches"
"1368",2452776,"luc","forbidden","does not support banning anti-democratic speeches"
"1369",2452780,"luc","forbidden","does not support banning anti-democratic speeches"
"1370",2452782,"luc","allowed","support banning anti-democratic speeches"
"1371",2452877,"luc","forbidden","does not support banning anti-democratic speeches"
"1372",2452890,"luc","forbidden","does not support banning anti-democratic speeches"
"1373",2456872,"luc","allowed","does not support banning anti-democratic speeches"
"1374",2456978,"luc","allowed","support banning anti-democratic speeches"
"1375",2457300,"luc","allowed","does not support banning anti-democratic speeches"
"1376",2457542,"luc","allowed","support banning anti-democratic speeches"
"1377",2458634,"luc","allowed","does not support banning anti-democratic speeches"
"1378",2458720,"luc","allowed","does not support banning anti-democratic speeches"
"1379",2459183,"luc","forbidden","does not support banning anti-democratic speeches"
"1380",2459311,"luc","allowed","does not support banning anti-democratic speeches"
"1381",2459317,"luc","allowed","does not support banning anti-democratic speeches"
"1382",2459322,"luc","forbidden","does not support banning anti-democratic speeches"
"1383",2461808,"luc","forbidden","does not support banning anti-democratic speeches"
"1384",2462172,"luc","forbidden","does not support banning anti-democratic speeches"
"1385",2462453,"luc","allowed","does not support banning anti-democratic speeches"
"1386",2462479,"luc","forbidden","does not support banning anti-democratic speeches"
"1387",2465954,"luc","allowed","does not support banning anti-democratic speeches"
"1388",2466179,"luc","forbidden","does not support banning anti-democratic speeches"
"1389",2466185,"luc","forbidden","does not support banning anti-democratic speeches"
"1390",2466187,"luc","allowed","does not support banning anti-democratic speeches"
"1391",2466456,"luc","forbidden","does not support banning anti-democratic speeches"
"1392",2466507,"luc","allowed","does not support banning anti-democratic speeches"
"1393",2466516,"luc","forbidden","does not support banning anti-democratic speeches"
"1394",2466518,"luc","forbidden","does not support banning anti-democratic speeches"
"1395",2466528,"luc","forbidden","does not support banning anti-democratic speeches"
"1396",2466602,"luc","allowed","does not support banning anti-democratic speeches"
"1397",2466617,"luc","allowed","does not support banning anti-democratic speeches"
"1398",2466618,"luc","forbidden","does not support banning anti-democratic speeches"
"1399",2467661,"luc","allowed","does not support banning anti-democratic speeches"
"1400",2467761,"luc","allowed","does not support banning anti-democratic speeches"
"1401",2467845,"luc","allowed","support banning anti-democratic speeches"
"1402",2467850,"luc","allowed","does not support banning anti-democratic speeches"
"1403",2467851,"luc","forbidden","does not support banning anti-democratic speeches"
"1404",2467880,"luc","allowed","does not support banning anti-democratic speeches"
"1405",2468035,"luc","allowed","support banning anti-democratic speeches"
"1406",2468400,"luc","allowed","does not support banning anti-democratic speeches"
"1407",2468404,"luc","forbidden","does not support banning anti-democratic speeches"
"1408",2468405,"luc","forbidden","does not support banning anti-democratic speeches"
"1409",2468407,"luc","forbidden","does not support banning anti-democratic speeches"
"1410",2468495,"luc","forbidden","does not support banning anti-democratic speeches"
"1411",2468500,"luc","forbidden","does not support banning anti-democratic speeches"
"1412",2468578,"luc","allowed","support banning anti-democratic speeches"
"1413",2468580,"luc","allowed","does not support banning anti-democratic speeches"
"1414",2469734,"luc","allowed","does not support banning anti-democratic speeches"
"1415",2469736,"luc","forbidden","does not support banning anti-democratic speeches"
"1416",2470219,"luc","allowed","does not support banning anti-democratic speeches"
"1417",2470513,"luc","forbidden","does not support banning anti-democratic speeches"
"1418",2470516,"luc","allowed","does not support banning anti-democratic speeches"
"1419",2470529,"luc","forbidden","does not support banning anti-democratic speeches"
"1420",2470662,"luc","forbidden","does not support banning anti-democratic speeches"
"1421",2470667,"luc","forbidden","does not support banning anti-democratic speeches"
"1422",2470690,"luc","allowed","does not support banning anti-democratic speeches"
"1423",2470838,"luc","forbidden","does not support banning anti-democratic speeches"
"1424",2470917,"luc","allowed","does not support banning anti-democratic speeches"
"1425",2471871,"luc","allowed","support banning anti-democratic speeches"
"1426",2472160,"luc","allowed","support banning anti-democratic speeches"
"1427",2472634,"luc","forbidden","support banning anti-democratic speeches"
"1428",2472639,"luc","forbidden","does not support banning anti-democratic speeches"
"1429",2472648,"luc","allowed","does not support banning anti-democratic speeches"
"1430",2472651,"luc","allowed","does not support banning anti-democratic speeches"
"1431",2472658,"luc","allowed","does not support banning anti-democratic speeches"
"1432",2472667,"luc","allowed","does not support banning anti-democratic speeches"
"1433",2472724,"luc","forbidden","does not support banning anti-democratic speeches"
"1434",2472803,"luc","allowed","does not support banning anti-democratic speeches"
"1435",2472847,"luc","forbidden","does not support banning anti-democratic speeches"
"1436",2472871,"luc","forbidden","does not support banning anti-democratic speeches"
"1437",2473592,"luc","forbidden","does not support banning anti-democratic speeches"
"1438",2473867,"luc","forbidden","does not support banning anti-democratic speeches"
"1439",2473958,"luc","forbidden","does not support banning anti-democratic speeches"
"1440",2473963,"luc","allowed","support banning anti-democratic speeches"
"1441",2474074,"luc","forbidden","does not support banning anti-democratic speeches"
"1442",2474078,"luc","allowed","does not support banning anti-democratic speeches"
"1443",2474085,"luc","allowed","does not support banning anti-democratic speeches"
"1444",2474087,"luc","forbidden","does not support banning anti-democratic speeches"
"1445",2474142,"luc","forbidden","does not support banning anti-democratic speeches"
"1446",2474145,"luc","forbidden","does not support banning anti-democratic speeches"
"1447",2482189,"luc","allowed","does not support banning anti-democratic speeches"
"1448",2482407,"luc","forbidden","does not support banning anti-democratic speeches"
"1449",2482414,"luc","forbidden","does not support banning anti-democratic speeches"
"1450",2482597,"luc","forbidden","does not support banning anti-democratic speeches"
"1451",2482607,"luc","forbidden","does not support banning anti-democratic speeches"
"1452",2482937,"luc","forbidden","does not support banning anti-democratic speeches"
"1453",2482938,"luc","forbidden","does not support banning anti-democratic speeches"
"1454",2482939,"luc","forbidden","does not support banning anti-democratic speeches"
"1455",2482940,"luc","allowed","support banning anti-democratic speeches"
"1456",2482943,"luc","forbidden","does not support banning anti-democratic speeches"
"1457",2482948,"luc","forbidden","does not support banning anti-democratic speeches"
"1458",2483015,"luc","forbidden","does not support banning anti-democratic speeches"
"1459",2483016,"luc","forbidden","does not support banning anti-democratic speeches"
"1460",2483025,"luc","forbidden","does not support banning anti-democratic speeches"
"1461",2485100,"luc","forbidden","support banning anti-democratic speeches"
"1462",2485116,"luc","allowed","support banning anti-democratic speeches"
"1463",2485124,"luc","forbidden","does not support banning anti-democratic speeches"
"1464",2485126,"luc","forbidden","does not support banning anti-democratic speeches"
"1465",2485131,"luc","allowed","does not support banning anti-democratic speeches"
"1466",2485209,"luc","allowed","does not support banning anti-democratic speeches"
"1467",2485211,"luc","forbidden","does not support banning anti-democratic speeches"
"1468",2485214,"luc","allowed","support banning anti-democratic speeches"
"1469",2485217,"luc","allowed","does not support banning anti-democratic speeches"
"1470",2485220,"luc","forbidden","does not support banning anti-democratic speeches"
"1471",2485330,"luc","allowed","support banning anti-democratic speeches"
"1472",2485341,"luc","allowed","does not support banning anti-democratic speeches"
"1473",2485430,"luc","forbidden","does not support banning anti-democratic speeches"
"1474",2486251,"luc","forbidden","does not support banning anti-democratic speeches"
"1475",2486475,"luc","forbidden","does not support banning anti-democratic speeches"
"1476",2486827,"luc","allowed","does not support banning anti-democratic speeches"
"1477",2487052,"luc","allowed","does not support banning anti-democratic speeches"
"1478",2487127,"luc","allowed","support banning anti-democratic speeches"
"1479",2490201,"luc","allowed","does not support banning anti-democratic speeches"
"1480",2490205,"luc","allowed","does not support banning anti-democratic speeches"
"1481",2490444,"luc","forbidden","does not support banning anti-democratic speeches"
"1482",2490448,"luc","forbidden","does not support banning anti-democratic speeches"
"1483",2490694,"luc","allowed","does not support banning anti-democratic speeches"
"1484",2490695,"luc","allowed","does not support banning anti-democratic speeches"
"1485",2490700,"luc","allowed","support banning anti-democratic speeches"
"1486",2491069,"luc","forbidden","does not support banning anti-democratic speeches"
"1487",2492314,"luc","allowed","does not support banning anti-democratic speeches"
"1488",2492445,"luc","allowed","does not support banning anti-democratic speeches"
"1490",2492856,"luc","allowed","support banning anti-democratic speeches"
"1491",2492865,"luc","forbidden","does not support banning anti-democratic speeches"
"1492",2492867,"luc","allowed","does not support banning anti-democratic speeches"
"1493",2492869,"luc","allowed","does not support banning anti-democratic speeches"
