"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"1494",2399787,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1495",2399902,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1496",2400037,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1497",2400210,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1498",2400235,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1499",2401208,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1500",2401951,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1501",2402044,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1502",2402928,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1503",2403279,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1504",2403281,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1505",2403486,"mcdaniel","allowed","support banning anti-democratic speeches"
"1506",2403994,"mcdaniel","allowed","support banning anti-democratic speeches"
"1507",2404062,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1508",2404410,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1509",2404963,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1510",2406245,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1511",2406254,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1512",2406284,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1513",2406393,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1514",2406430,"mcdaniel","allowed","support banning anti-democratic speeches"
"1515",2406659,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1516",2407838,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1517",2407974,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1518",2408350,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1519",2411236,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1520",2417482,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1521",2417521,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1522",2419187,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1523",2419449,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1524",2419466,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1525",2422137,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1526",2426038,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1527",2427815,"mcdaniel","forbidden","support banning anti-democratic speeches"
"1528",2432796,"mcdaniel","allowed","support banning anti-democratic speeches"
"1529",2432935,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1530",2437191,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1531",2443785,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1532",2450946,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
"1533",2451040,"mcdaniel","allowed","support banning anti-democratic speeches"
"1534",2451047,"mcdaniel","allowed","does not support banning anti-democratic speeches"
"1535",2451061,"mcdaniel","forbidden","does not support banning anti-democratic speeches"
