"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"2677",2461191,"osu","allowed","does not support banning anti-democratic speeches"
"2678",2461193,"osu","allowed","does not support banning anti-democratic speeches"
"2679",2461194,"osu","allowed","support banning anti-democratic speeches"
"2680",2461196,"osu","forbidden","does not support banning anti-democratic speeches"
"2681",2461197,"osu","allowed","does not support banning anti-democratic speeches"
"2682",2461198,"osu","allowed","does not support banning anti-democratic speeches"
"2683",2461201,"osu","allowed","support banning anti-democratic speeches"
"2684",2461202,"osu","allowed","does not support banning anti-democratic speeches"
"2685",2461204,"osu","forbidden","does not support banning anti-democratic speeches"
"2686",2461207,"osu","forbidden","support banning anti-democratic speeches"
"2687",2461208,"osu","allowed","does not support banning anti-democratic speeches"
"2688",2461212,"osu","allowed","does not support banning anti-democratic speeches"
"2689",2461217,"osu","forbidden","does not support banning anti-democratic speeches"
"2690",2461218,"osu","allowed","support banning anti-democratic speeches"
"2691",2461224,"osu","allowed","support banning anti-democratic speeches"
"2692",2461225,"osu","forbidden","does not support banning anti-democratic speeches"
"2693",2461226,"osu","forbidden","does not support banning anti-democratic speeches"
"2694",2461231,"osu","forbidden","does not support banning anti-democratic speeches"
"2695",2461235,"osu","allowed","does not support banning anti-democratic speeches"
"2696",2461236,"osu","allowed","does not support banning anti-democratic speeches"
"2697",2461292,"osu","forbidden","does not support banning anti-democratic speeches"
"2698",2461298,"osu","allowed","does not support banning anti-democratic speeches"
"2699",2461299,"osu","forbidden","does not support banning anti-democratic speeches"
"2700",2461308,"osu","forbidden","does not support banning anti-democratic speeches"
"2701",2461309,"osu","allowed","does not support banning anti-democratic speeches"
"2702",2461310,"osu","allowed","does not support banning anti-democratic speeches"
"2703",2461311,"osu","allowed","support banning anti-democratic speeches"
"2704",2461316,"osu","allowed","does not support banning anti-democratic speeches"
"2705",2461319,"osu","allowed","support banning anti-democratic speeches"
"2706",2461321,"osu","forbidden","does not support banning anti-democratic speeches"
"2707",2461327,"osu","forbidden","does not support banning anti-democratic speeches"
"2708",2461330,"osu","allowed","does not support banning anti-democratic speeches"
