"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"5204",2479820,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5205",2479821,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5206",2479829,"tamuon","allowed","support banning anti-democratic speeches"
"5207",2479834,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5208",2479835,"tamuon","allowed","support banning anti-democratic speeches"
"5209",2479842,"tamuon","allowed","does not support banning anti-democratic speeches"
"5210",2479846,"tamuon","allowed","support banning anti-democratic speeches"
"5212",2479864,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5213",2479877,"tamuon","allowed","does not support banning anti-democratic speeches"
"5214",2479886,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5215",2479892,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5216",2479894,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5217",2479895,"tamuon","allowed","does not support banning anti-democratic speeches"
"5218",2480000,"tamuon","allowed","does not support banning anti-democratic speeches"
"5219",2480132,"tamuon","allowed","does not support banning anti-democratic speeches"
"5220",2480144,"tamuon","allowed","support banning anti-democratic speeches"
"5221",2480159,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5222",2480162,"tamuon","allowed","does not support banning anti-democratic speeches"
"5223",2480177,"tamuon","allowed","does not support banning anti-democratic speeches"
"5224",2480194,"tamuon","allowed","does not support banning anti-democratic speeches"
"5225",2480201,"tamuon","allowed","does not support banning anti-democratic speeches"
"5226",2480215,"tamuon","allowed","support banning anti-democratic speeches"
"5227",2480220,"tamuon","allowed","does not support banning anti-democratic speeches"
"5228",2480228,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5229",2480236,"tamuon","allowed","does not support banning anti-democratic speeches"
"5230",2480242,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5231",2480266,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5232",2480280,"tamuon","allowed","does not support banning anti-democratic speeches"
"5233",2480283,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5234",2480332,"tamuon","allowed","does not support banning anti-democratic speeches"
"5235",2480343,"tamuon","forbidden","support banning anti-democratic speeches"
"5236",2480353,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5237",2480356,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5238",2480366,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5240",2480383,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5241",2480385,"tamuon","allowed","support banning anti-democratic speeches"
"5242",2480422,"tamuon","allowed","does not support banning anti-democratic speeches"
"5243",2480440,"tamuon","allowed","does not support banning anti-democratic speeches"
"5244",2480462,"tamuon","allowed","support banning anti-democratic speeches"
"5245",2480467,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5246",2480474,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5247",2480477,"tamuon","allowed","does not support banning anti-democratic speeches"
"5248",2480481,"tamuon","allowed","does not support banning anti-democratic speeches"
"5249",2480490,"tamuon","allowed","does not support banning anti-democratic speeches"
"5250",2480516,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5251",2480518,"tamuon","allowed","does not support banning anti-democratic speeches"
"5252",2480541,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5253",2480558,"tamuon","allowed","support banning anti-democratic speeches"
"5254",2480566,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5255",2480567,"tamuon","allowed","does not support banning anti-democratic speeches"
"5256",2480574,"tamuon","allowed","does not support banning anti-democratic speeches"
"5257",2480585,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5258",2480627,"tamuon","allowed","does not support banning anti-democratic speeches"
"5259",2480628,"tamuon","allowed","does not support banning anti-democratic speeches"
"5260",2480632,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5261",2480650,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5262",2480672,"tamuon","allowed","does not support banning anti-democratic speeches"
"5263",2480675,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5264",2480687,"tamuon","allowed","does not support banning anti-democratic speeches"
"5265",2480690,"tamuon","allowed","does not support banning anti-democratic speeches"
"5266",2480693,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5267",2480707,"tamuon","allowed","support banning anti-democratic speeches"
"5268",2480720,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5269",2480725,"tamuon","allowed","does not support banning anti-democratic speeches"
"5270",2480727,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5271",2480728,"tamuon","allowed","does not support banning anti-democratic speeches"
"5272",2480731,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5273",2480733,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5274",2480735,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5275",2480811,"tamuon","forbidden","support banning anti-democratic speeches"
"5276",2480827,"tamuon","allowed","does not support banning anti-democratic speeches"
"5277",2480834,"tamuon","allowed","does not support banning anti-democratic speeches"
"5278",2480836,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5279",2480838,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5280",2480841,"tamuon","allowed","does not support banning anti-democratic speeches"
"5281",2480848,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5282",2480849,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5283",2480851,"tamuon","allowed","does not support banning anti-democratic speeches"
"5284",2480855,"tamuon","allowed","does not support banning anti-democratic speeches"
"5285",2480864,"tamuon","allowed","does not support banning anti-democratic speeches"
"5286",2480865,"tamuon","allowed","does not support banning anti-democratic speeches"
"5287",2480867,"tamuon","allowed","does not support banning anti-democratic speeches"
"5288",2480868,"tamuon","allowed","does not support banning anti-democratic speeches"
"5289",2480869,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5290",2480877,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5291",2480882,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5292",2480889,"tamuon","allowed","support banning anti-democratic speeches"
"5293",2480892,"tamuon","allowed","support banning anti-democratic speeches"
"5294",2480895,"tamuon","allowed","does not support banning anti-democratic speeches"
"5295",2480909,"tamuon","allowed","does not support banning anti-democratic speeches"
"5296",2480941,"tamuon","allowed","support banning anti-democratic speeches"
"5297",2480952,"tamuon","allowed","support banning anti-democratic speeches"
"5298",2480957,"tamuon","forbidden","support banning anti-democratic speeches"
"5299",2480959,"tamuon","allowed","does not support banning anti-democratic speeches"
"5300",2480979,"tamuon","allowed","support banning anti-democratic speeches"
"5301",2480981,"tamuon","allowed","does not support banning anti-democratic speeches"
"5302",2480994,"tamuon","allowed","does not support banning anti-democratic speeches"
"5303",2481527,"tamuon","allowed","does not support banning anti-democratic speeches"
"5304",2481543,"tamuon","allowed","does not support banning anti-democratic speeches"
"5305",2481597,"tamuon","allowed","support banning anti-democratic speeches"
"5306",2481598,"tamuon","allowed","support banning anti-democratic speeches"
"5307",2481643,"tamuon","allowed","does not support banning anti-democratic speeches"
"5308",2481651,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5309",2481702,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5310",2481714,"tamuon","allowed","does not support banning anti-democratic speeches"
"5311",2481741,"tamuon","allowed","does not support banning anti-democratic speeches"
"5312",2481750,"tamuon","allowed","support banning anti-democratic speeches"
"5313",2481751,"tamuon","allowed","does not support banning anti-democratic speeches"
"5314",2481788,"tamuon","allowed","support banning anti-democratic speeches"
"5315",2481851,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5316",2481868,"tamuon","allowed","support banning anti-democratic speeches"
"5317",2481885,"tamuon","allowed","does not support banning anti-democratic speeches"
"5318",2481901,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5319",2481902,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5320",2481903,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5321",2481911,"tamuon","forbidden","support banning anti-democratic speeches"
"5322",2481912,"tamuon","allowed","does not support banning anti-democratic speeches"
"5323",2481951,"tamuon","forbidden","does not support banning anti-democratic speeches"
"5324",2481964,"tamuon","allowed","does not support banning anti-democratic speeches"
"5325",2481965,"tamuon","allowed","does not support banning anti-democratic speeches"
"5326",2482000,"tamuon","forbidden","does not support banning anti-democratic speeches"
