"","session_id","referrer","gainlossgroup","gainlossDV"
"85",2401243,"brasilia","People will be saved","chose program with exact outcome"
"86",2401244,"brasilia","People will die","chose program with probability outcome"
"87",2401246,"brasilia","People will die","chose program with probability outcome"
"88",2401249,"brasilia","People will die","chose program with probability outcome"
"89",2401250,"brasilia","People will be saved","chose program with exact outcome"
"90",2401251,"brasilia","People will be saved","chose program with exact outcome"
"91",2401252,"brasilia","People will die","chose program with probability outcome"
"92",2401255,"brasilia","People will die","chose program with exact outcome"
"93",2401257,"brasilia","People will die","chose program with probability outcome"
"94",2401258,"brasilia","People will be saved","chose program with exact outcome"
"95",2401259,"brasilia","People will die","chose program with exact outcome"
"96",2401260,"brasilia","People will be saved","chose program with exact outcome"
"97",2401261,"brasilia","People will die","chose program with exact outcome"
"98",2401305,"brasilia","People will be saved","chose program with exact outcome"
"99",2401306,"brasilia","People will die","chose program with exact outcome"
"100",2401308,"brasilia","People will die","chose program with probability outcome"
"101",2401309,"brasilia","People will die","chose program with exact outcome"
"102",2401312,"brasilia","People will be saved","chose program with probability outcome"
"103",2401316,"brasilia","People will die","chose program with exact outcome"
"104",2401319,"brasilia","People will die","chose program with probability outcome"
"106",2401322,"brasilia","People will die","chose program with exact outcome"
"107",2401325,"brasilia","People will die","chose program with exact outcome"
"108",2401328,"brasilia","People will die","chose program with probability outcome"
"109",2401329,"brasilia","People will die","chose program with probability outcome"
"110",2401335,"brasilia","People will die","chose program with exact outcome"
"111",2401336,"brasilia","People will be saved","chose program with probability outcome"
"112",2401341,"brasilia","People will be saved","chose program with exact outcome"
"113",2401343,"brasilia","People will be saved","chose program with probability outcome"
"114",2401352,"brasilia","People will die","chose program with probability outcome"
"115",2401368,"brasilia","People will be saved","chose program with probability outcome"
"116",2401371,"brasilia","People will die","chose program with probability outcome"
"117",2401380,"brasilia","People will die","chose program with probability outcome"
"118",2401382,"brasilia","People will be saved","chose program with exact outcome"
"119",2401385,"brasilia","People will die","chose program with probability outcome"
"120",2401388,"brasilia","People will die","chose program with exact outcome"
