"","session_id","referrer","scalesgroup","scales"
"85",2401243,"brasilia","high category scale","less than 2 1/2 hrs"
"86",2401244,"brasilia","low category scale","less than 2 1/2 hrs"
"87",2401246,"brasilia","high category scale","less than 2 1/2 hrs"
"88",2401249,"brasilia","high category scale","more than 2 1/2 hrs"
"89",2401250,"brasilia","high category scale","less than 2 1/2 hrs"
"90",2401251,"brasilia","high category scale","less than 2 1/2 hrs"
"91",2401252,"brasilia","low category scale","less than 2 1/2 hrs"
"92",2401255,"brasilia","low category scale","less than 2 1/2 hrs"
"93",2401257,"brasilia","high category scale","less than 2 1/2 hrs"
"94",2401258,"brasilia","high category scale","less than 2 1/2 hrs"
"95",2401259,"brasilia","low category scale","less than 2 1/2 hrs"
"96",2401260,"brasilia","high category scale","less than 2 1/2 hrs"
"97",2401261,"brasilia","high category scale","less than 2 1/2 hrs"
"98",2401305,"brasilia","low category scale","less than 2 1/2 hrs"
"99",2401306,"brasilia","low category scale","less than 2 1/2 hrs"
"100",2401308,"brasilia","low category scale","less than 2 1/2 hrs"
"101",2401309,"brasilia","low category scale","less than 2 1/2 hrs"
"102",2401312,"brasilia","high category scale","more than 2 1/2 hrs"
"103",2401316,"brasilia","low category scale","less than 2 1/2 hrs"
"104",2401319,"brasilia","low category scale","less than 2 1/2 hrs"
"106",2401322,"brasilia","low category scale","less than 2 1/2 hrs"
"107",2401325,"brasilia","high category scale","more than 2 1/2 hrs"
"108",2401328,"brasilia","high category scale","less than 2 1/2 hrs"
"109",2401329,"brasilia","low category scale","less than 2 1/2 hrs"
"110",2401335,"brasilia","low category scale","less than 2 1/2 hrs"
"111",2401336,"brasilia","high category scale","more than 2 1/2 hrs"
"112",2401341,"brasilia","high category scale","more than 2 1/2 hrs"
"114",2401352,"brasilia","low category scale","less than 2 1/2 hrs"
"115",2401368,"brasilia","low category scale","less than 2 1/2 hrs"
"116",2401371,"brasilia","high category scale","less than 2 1/2 hrs"
"117",2401380,"brasilia","high category scale","more than 2 1/2 hrs"
"118",2401382,"brasilia","high category scale","more than 2 1/2 hrs"
"119",2401385,"brasilia","low category scale","less than 2 1/2 hrs"
"121",2401389,"brasilia","high category scale","less than 2 1/2 hrs"
"122",2401390,"brasilia","high category scale","less than 2 1/2 hrs"
"123",2401391,"brasilia","low category scale","less than 2 1/2 hrs"
"125",2401396,"brasilia","low category scale","less than 2 1/2 hrs"
"126",2401398,"brasilia","low category scale","less than 2 1/2 hrs"
"127",2401399,"brasilia","low category scale","less than 2 1/2 hrs"
"128",2401400,"brasilia","high category scale","less than 2 1/2 hrs"
"129",2401402,"brasilia","high category scale","less than 2 1/2 hrs"
"131",2401417,"brasilia","high category scale","less than 2 1/2 hrs"
"132",2401440,"brasilia","low category scale","less than 2 1/2 hrs"
"133",2401462,"brasilia","low category scale","less than 2 1/2 hrs"
"134",2401463,"brasilia","low category scale","less than 2 1/2 hrs"
"135",2401464,"brasilia","low category scale","less than 2 1/2 hrs"
"136",2401466,"brasilia","high category scale","less than 2 1/2 hrs"
"137",2401472,"brasilia","high category scale","less than 2 1/2 hrs"
"138",2401476,"brasilia","low category scale","less than 2 1/2 hrs"
"139",2401485,"brasilia","low category scale","less than 2 1/2 hrs"
"140",2401488,"brasilia","low category scale","less than 2 1/2 hrs"
"141",2401489,"brasilia","low category scale","less than 2 1/2 hrs"
"142",2401490,"brasilia","high category scale","less than 2 1/2 hrs"
"143",2401494,"brasilia","high category scale","less than 2 1/2 hrs"
"144",2401495,"brasilia","low category scale","less than 2 1/2 hrs"
"145",2401497,"brasilia","high category scale","less than 2 1/2 hrs"
"146",2402832,"brasilia","high category scale","less than 2 1/2 hrs"
"147",2403781,"brasilia","low category scale","less than 2 1/2 hrs"
"148",2404006,"brasilia","high category scale","less than 2 1/2 hrs"
"149",2406260,"brasilia","high category scale","more than 2 1/2 hrs"
"150",2413394,"brasilia","high category scale","more than 2 1/2 hrs"
"151",2413458,"brasilia","high category scale","more than 2 1/2 hrs"
"152",2422247,"brasilia","high category scale","less than 2 1/2 hrs"
"153",2422422,"brasilia","high category scale","less than 2 1/2 hrs"
"154",2422639,"brasilia","high category scale","less than 2 1/2 hrs"
"155",2426482,"brasilia","low category scale","less than 2 1/2 hrs"
"156",2428845,"brasilia","high category scale","less than 2 1/2 hrs"
"157",2428937,"brasilia","low category scale","less than 2 1/2 hrs"
"158",2429105,"brasilia","high category scale","less than 2 1/2 hrs"
"159",2429257,"brasilia","high category scale","more than 2 1/2 hrs"
"160",2439535,"brasilia","low category scale","less than 2 1/2 hrs"
"161",2442313,"brasilia","high category scale","less than 2 1/2 hrs"
"162",2442618,"brasilia","high category scale","more than 2 1/2 hrs"
"163",2442751,"brasilia","low category scale","less than 2 1/2 hrs"
"164",2445814,"brasilia","high category scale","less than 2 1/2 hrs"
"165",2446096,"brasilia","high category scale","less than 2 1/2 hrs"
"166",2451802,"brasilia","high category scale","less than 2 1/2 hrs"
"167",2452252,"brasilia","high category scale","less than 2 1/2 hrs"
"168",2452326,"brasilia","low category scale","less than 2 1/2 hrs"
"169",2453867,"brasilia","high category scale","more than 2 1/2 hrs"
"170",2457082,"brasilia","high category scale","less than 2 1/2 hrs"
"171",2457236,"brasilia","high category scale","more than 2 1/2 hrs"
"172",2458747,"brasilia","low category scale","less than 2 1/2 hrs"
"173",2458796,"brasilia","high category scale","less than 2 1/2 hrs"
"175",2462035,"brasilia","high category scale","less than 2 1/2 hrs"
"176",2465382,"brasilia","high category scale","less than 2 1/2 hrs"
"177",2465673,"brasilia","low category scale","less than 2 1/2 hrs"
"178",2465905,"brasilia","high category scale","less than 2 1/2 hrs"
"179",2466041,"brasilia","low category scale","less than 2 1/2 hrs"
"180",2466133,"brasilia","low category scale","less than 2 1/2 hrs"
"181",2467447,"brasilia","low category scale","less than 2 1/2 hrs"
"182",2467639,"brasilia","high category scale","more than 2 1/2 hrs"
"183",2467777,"brasilia","high category scale","less than 2 1/2 hrs"
"184",2467949,"brasilia","low category scale","less than 2 1/2 hrs"
"185",2468111,"brasilia","high category scale","more than 2 1/2 hrs"
"186",2469707,"brasilia","high category scale","less than 2 1/2 hrs"
"187",2469812,"brasilia","high category scale","less than 2 1/2 hrs"
"188",2469887,"brasilia","high category scale","less than 2 1/2 hrs"
"189",2470010,"brasilia","low category scale","less than 2 1/2 hrs"
"190",2470140,"brasilia","high category scale","more than 2 1/2 hrs"
"191",2471873,"brasilia","low category scale","less than 2 1/2 hrs"
"192",2472163,"brasilia","high category scale","less than 2 1/2 hrs"
"193",2472247,"brasilia","high category scale","more than 2 1/2 hrs"
"194",2472309,"brasilia","low category scale","less than 2 1/2 hrs"
"195",2477425,"brasilia","low category scale","less than 2 1/2 hrs"
"196",2477613,"brasilia","low category scale","less than 2 1/2 hrs"
"197",2477757,"brasilia","high category scale","more than 2 1/2 hrs"
"198",2477847,"brasilia","high category scale","more than 2 1/2 hrs"
"199",2479434,"brasilia","high category scale","less than 2 1/2 hrs"
"200",2479598,"brasilia","low category scale","less than 2 1/2 hrs"
"202",2479774,"brasilia","low category scale","less than 2 1/2 hrs"
"203",2482449,"brasilia","low category scale","less than 2 1/2 hrs"
"204",2482575,"brasilia","low category scale","less than 2 1/2 hrs"
