"","session_id","referrer","scalesgroup","scales"
"1677",2402411,"mturk","low category scale","less than 2 1/2 hrs"
"1678",2402412,"mturk","low category scale","more than 2 1/2 hrs"
"1679",2402414,"mturk","high category scale","less than 2 1/2 hrs"
"1680",2402415,"mturk","low category scale","less than 2 1/2 hrs"
"1681",2402416,"mturk","low category scale","less than 2 1/2 hrs"
"1682",2402417,"mturk","low category scale","less than 2 1/2 hrs"
"1683",2402421,"mturk","low category scale","less than 2 1/2 hrs"
"1684",2402422,"mturk","high category scale","less than 2 1/2 hrs"
"1685",2402426,"mturk","low category scale","less than 2 1/2 hrs"
"1686",2402447,"mturk","high category scale","more than 2 1/2 hrs"
"1687",2402449,"mturk","high category scale","more than 2 1/2 hrs"
"1688",2402450,"mturk","low category scale","less than 2 1/2 hrs"
"1689",2402451,"mturk","low category scale","less than 2 1/2 hrs"
"1690",2402452,"mturk","high category scale","less than 2 1/2 hrs"
"1691",2402453,"mturk","low category scale","less than 2 1/2 hrs"
"1692",2402454,"mturk","low category scale","more than 2 1/2 hrs"
"1693",2402456,"mturk","low category scale","less than 2 1/2 hrs"
"1694",2402457,"mturk","high category scale","less than 2 1/2 hrs"
"1695",2402459,"mturk","high category scale","less than 2 1/2 hrs"
"1696",2402460,"mturk","low category scale","more than 2 1/2 hrs"
"1697",2402466,"mturk","low category scale","less than 2 1/2 hrs"
"1698",2402467,"mturk","low category scale","less than 2 1/2 hrs"
"1699",2402468,"mturk","low category scale","less than 2 1/2 hrs"
"1700",2402470,"mturk","low category scale","less than 2 1/2 hrs"
"1701",2402471,"mturk","high category scale","less than 2 1/2 hrs"
"1702",2402472,"mturk","low category scale","less than 2 1/2 hrs"
"1703",2402474,"mturk","low category scale","less than 2 1/2 hrs"
"1704",2402476,"mturk","low category scale","less than 2 1/2 hrs"
"1705",2402478,"mturk","low category scale","more than 2 1/2 hrs"
"1706",2402479,"mturk","low category scale","less than 2 1/2 hrs"
"1707",2402484,"mturk","low category scale","more than 2 1/2 hrs"
"1708",2402485,"mturk","high category scale","less than 2 1/2 hrs"
