"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"480",2478532,"help","allowed","does not support banning anti-democratic speeches"
"481",2478534,"help","forbidden","does not support banning anti-democratic speeches"
"482",2478570,"help","allowed","support banning anti-democratic speeches"
"483",2478574,"help","forbidden","does not support banning anti-democratic speeches"
"484",2478584,"help","allowed","does not support banning anti-democratic speeches"
"485",2478593,"help","forbidden","does not support banning anti-democratic speeches"
"486",2478626,"help","allowed","support banning anti-democratic speeches"
"487",2478643,"help","forbidden","does not support banning anti-democratic speeches"
"488",2478644,"help","allowed","does not support banning anti-democratic speeches"
"489",2478657,"help","allowed","does not support banning anti-democratic speeches"
"490",2478672,"help","allowed","does not support banning anti-democratic speeches"
"491",2478681,"help","allowed","does not support banning anti-democratic speeches"
"492",2478687,"help","allowed","does not support banning anti-democratic speeches"
"493",2478688,"help","allowed","does not support banning anti-democratic speeches"
"494",2478703,"help","allowed","does not support banning anti-democratic speeches"
"495",2478706,"help","allowed","does not support banning anti-democratic speeches"
"496",2478718,"help","forbidden","does not support banning anti-democratic speeches"
"497",2478726,"help","allowed","does not support banning anti-democratic speeches"
"498",2478727,"help","allowed","does not support banning anti-democratic speeches"
"499",2478764,"help","forbidden","does not support banning anti-democratic speeches"
"500",2480748,"help","allowed","does not support banning anti-democratic speeches"
"501",2480756,"help","forbidden","does not support banning anti-democratic speeches"
"502",2480784,"help","forbidden","does not support banning anti-democratic speeches"
"503",2480786,"help","forbidden","does not support banning anti-democratic speeches"
"504",2480821,"help","forbidden","does not support banning anti-democratic speeches"
"505",2480823,"help","allowed","does not support banning anti-democratic speeches"
"506",2480862,"help","forbidden","does not support banning anti-democratic speeches"
"507",2480891,"help","allowed","does not support banning anti-democratic speeches"
"508",2480894,"help","forbidden","support banning anti-democratic speeches"
"509",2480933,"help","forbidden","does not support banning anti-democratic speeches"
"510",2480935,"help","forbidden","does not support banning anti-democratic speeches"
"511",2480961,"help","allowed","does not support banning anti-democratic speeches"
"512",2480965,"help","forbidden","does not support banning anti-democratic speeches"
"513",2481000,"help","forbidden","does not support banning anti-democratic speeches"
"514",2481002,"help","forbidden","does not support banning anti-democratic speeches"
"515",2481015,"help","allowed","does not support banning anti-democratic speeches"
"516",2481016,"help","allowed","does not support banning anti-democratic speeches"
"517",2481028,"help","forbidden","does not support banning anti-democratic speeches"
"518",2481030,"help","allowed","does not support banning anti-democratic speeches"
"519",2481059,"help","forbidden","support banning anti-democratic speeches"
"520",2481060,"help","allowed","support banning anti-democratic speeches"
"521",2481065,"help","allowed","support banning anti-democratic speeches"
"522",2481066,"help","allowed","does not support banning anti-democratic speeches"
"523",2481079,"help","allowed","support banning anti-democratic speeches"
"524",2481090,"help","forbidden","does not support banning anti-democratic speeches"
"525",2483090,"help","allowed","does not support banning anti-democratic speeches"
"526",2483097,"help","forbidden","does not support banning anti-democratic speeches"
"527",2483124,"help","forbidden","does not support banning anti-democratic speeches"
"528",2483188,"help","allowed","does not support banning anti-democratic speeches"
"529",2483238,"help","forbidden","does not support banning anti-democratic speeches"
"530",2483246,"help","allowed","does not support banning anti-democratic speeches"
"531",2483286,"help","allowed","does not support banning anti-democratic speeches"
"532",2483295,"help","allowed","does not support banning anti-democratic speeches"
"533",2483343,"help","allowed","does not support banning anti-democratic speeches"
"534",2483345,"help","forbidden","does not support banning anti-democratic speeches"
"535",2483375,"help","forbidden","does not support banning anti-democratic speeches"
"536",2483396,"help","forbidden","does not support banning anti-democratic speeches"
"537",2483399,"help","allowed","does not support banning anti-democratic speeches"
"538",2483434,"help","allowed","does not support banning anti-democratic speeches"
"539",2483460,"help","forbidden","does not support banning anti-democratic speeches"
"540",2483461,"help","allowed","support banning anti-democratic speeches"
"541",2483488,"help","forbidden","does not support banning anti-democratic speeches"
"542",2483491,"help","forbidden","support banning anti-democratic speeches"
"543",2483512,"help","forbidden","does not support banning anti-democratic speeches"
"544",2483513,"help","allowed","does not support banning anti-democratic speeches"
"545",2483540,"help","forbidden","does not support banning anti-democratic speeches"
"546",2483542,"help","allowed","does not support banning anti-democratic speeches"
"547",2483554,"help","allowed","does not support banning anti-democratic speeches"
"548",2483555,"help","forbidden","does not support banning anti-democratic speeches"
"549",2483574,"help","allowed","does not support banning anti-democratic speeches"
"550",2483575,"help","forbidden","support banning anti-democratic speeches"
"551",2483587,"help","allowed","does not support banning anti-democratic speeches"
"552",2483588,"help","forbidden","does not support banning anti-democratic speeches"
"553",2483613,"help","allowed","does not support banning anti-democratic speeches"
"554",2483614,"help","allowed","does not support banning anti-democratic speeches"
"555",2483640,"help","forbidden","does not support banning anti-democratic speeches"
"556",2483641,"help","allowed","does not support banning anti-democratic speeches"
"557",2484192,"help","forbidden","does not support banning anti-democratic speeches"
"558",2485486,"help","forbidden","does not support banning anti-democratic speeches"
"559",2485537,"help","allowed","support banning anti-democratic speeches"
"560",2485604,"help","forbidden","does not support banning anti-democratic speeches"
"561",2485607,"help","allowed","does not support banning anti-democratic speeches"
"562",2485651,"help","forbidden","does not support banning anti-democratic speeches"
"563",2485653,"help","allowed","does not support banning anti-democratic speeches"
"564",2485691,"help","allowed","does not support banning anti-democratic speeches"
"565",2485699,"help","forbidden","does not support banning anti-democratic speeches"
"566",2485753,"help","forbidden","does not support banning anti-democratic speeches"
"567",2485755,"help","forbidden","does not support banning anti-democratic speeches"
"568",2485804,"help","allowed","does not support banning anti-democratic speeches"
"569",2485842,"help","allowed","does not support banning anti-democratic speeches"
"570",2485852,"help","forbidden","does not support banning anti-democratic speeches"
"571",2485882,"help","forbidden","does not support banning anti-democratic speeches"
"572",2485885,"help","forbidden","does not support banning anti-democratic speeches"
"573",2485905,"help","allowed","does not support banning anti-democratic speeches"
"574",2485906,"help","forbidden","does not support banning anti-democratic speeches"
"575",2485964,"help","forbidden","does not support banning anti-democratic speeches"
"576",2485966,"help","forbidden","does not support banning anti-democratic speeches"
"577",2485988,"help","allowed","does not support banning anti-democratic speeches"
"578",2486008,"help","allowed","does not support banning anti-democratic speeches"
"579",2486012,"help","allowed","does not support banning anti-democratic speeches"
"580",2486028,"help","forbidden","does not support banning anti-democratic speeches"
"581",2486032,"help","allowed","does not support banning anti-democratic speeches"
