"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"2784",2462516,"oxy","forbidden","does not support banning anti-democratic speeches"
"2785",2466207,"oxy","allowed","does not support banning anti-democratic speeches"
"2786",2467505,"oxy","forbidden","does not support banning anti-democratic speeches"
"2788",2468498,"oxy","forbidden","does not support banning anti-democratic speeches"
"2789",2468526,"oxy","forbidden","does not support banning anti-democratic speeches"
"2790",2468562,"oxy","allowed","support banning anti-democratic speeches"
"2791",2470610,"oxy","forbidden","does not support banning anti-democratic speeches"
"2792",2472850,"oxy","forbidden","does not support banning anti-democratic speeches"
"2793",2472858,"oxy","forbidden","does not support banning anti-democratic speeches"
"2794",2473837,"oxy","forbidden","does not support banning anti-democratic speeches"
"2795",2474014,"oxy","forbidden","does not support banning anti-democratic speeches"
"2796",2474020,"oxy","forbidden","does not support banning anti-democratic speeches"
"2797",2474056,"oxy","forbidden","does not support banning anti-democratic speeches"
"2798",2474176,"oxy","allowed","does not support banning anti-democratic speeches"
"2799",2474177,"oxy","allowed","does not support banning anti-democratic speeches"
"2800",2474189,"oxy","forbidden","does not support banning anti-democratic speeches"
"2801",2474252,"oxy","allowed","does not support banning anti-democratic speeches"
"2802",2474254,"oxy","allowed","does not support banning anti-democratic speeches"
"2803",2477323,"oxy","forbidden","does not support banning anti-democratic speeches"
"2804",2477855,"oxy","allowed","does not support banning anti-democratic speeches"
"2805",2477933,"oxy","forbidden","does not support banning anti-democratic speeches"
"2806",2477938,"oxy","allowed","does not support banning anti-democratic speeches"
"2807",2478303,"oxy","allowed","does not support banning anti-democratic speeches"
"2808",2478307,"oxy","forbidden","does not support banning anti-democratic speeches"
"2809",2478344,"oxy","forbidden","does not support banning anti-democratic speeches"
"2810",2478349,"oxy","forbidden","does not support banning anti-democratic speeches"
"2811",2479320,"oxy","allowed","does not support banning anti-democratic speeches"
"2812",2479506,"oxy","allowed","support banning anti-democratic speeches"
"2813",2479520,"oxy","forbidden","does not support banning anti-democratic speeches"
"2814",2479543,"oxy","allowed","does not support banning anti-democratic speeches"
"2815",2479549,"oxy","allowed","does not support banning anti-democratic speeches"
"2816",2479567,"oxy","allowed","does not support banning anti-democratic speeches"
"2817",2479599,"oxy","allowed","does not support banning anti-democratic speeches"
"2818",2480067,"oxy","allowed","does not support banning anti-democratic speeches"
"2819",2480069,"oxy","forbidden","does not support banning anti-democratic speeches"
"2820",2480096,"oxy","forbidden","does not support banning anti-democratic speeches"
"2821",2480103,"oxy","allowed","does not support banning anti-democratic speeches"
"2822",2480200,"oxy","allowed","support banning anti-democratic speeches"
"2823",2480203,"oxy","forbidden","does not support banning anti-democratic speeches"
"2824",2480294,"oxy","forbidden","does not support banning anti-democratic speeches"
"2825",2480312,"oxy","allowed","does not support banning anti-democratic speeches"
"2826",2480351,"oxy","forbidden","does not support banning anti-democratic speeches"
"2827",2480368,"oxy","forbidden","does not support banning anti-democratic speeches"
"2828",2480423,"oxy","allowed","support banning anti-democratic speeches"
"2830",2482032,"oxy","forbidden","does not support banning anti-democratic speeches"
"2831",2482046,"oxy","allowed","does not support banning anti-democratic speeches"
"2832",2482113,"oxy","allowed","does not support banning anti-democratic speeches"
"2833",2482637,"oxy","allowed","does not support banning anti-democratic speeches"
"2834",2482713,"oxy","forbidden","does not support banning anti-democratic speeches"
"2835",2482718,"oxy","allowed","does not support banning anti-democratic speeches"
"2836",2482744,"oxy","allowed","does not support banning anti-democratic speeches"
"2837",2482764,"oxy","forbidden","support banning anti-democratic speeches"
"2838",2482785,"oxy","forbidden","does not support banning anti-democratic speeches"
"2839",2482886,"oxy","allowed","does not support banning anti-democratic speeches"
"2840",2482887,"oxy","forbidden","does not support banning anti-democratic speeches"
"2841",2482889,"oxy","allowed","does not support banning anti-democratic speeches"
"2842",2483043,"oxy","allowed","does not support banning anti-democratic speeches"
"2843",2483379,"oxy","forbidden","does not support banning anti-democratic speeches"
"2844",2483385,"oxy","forbidden","does not support banning anti-democratic speeches"
"2845",2484212,"oxy","forbidden","does not support banning anti-democratic speeches"
"2846",2484256,"oxy","forbidden","does not support banning anti-democratic speeches"
"2847",2484273,"oxy","forbidden","does not support banning anti-democratic speeches"
"2848",2484301,"oxy","allowed","does not support banning anti-democratic speeches"
"2849",2484312,"oxy","forbidden","does not support banning anti-democratic speeches"
"2850",2484316,"oxy","allowed","does not support banning anti-democratic speeches"
"2851",2484345,"oxy","forbidden","does not support banning anti-democratic speeches"
"2852",2484429,"oxy","allowed","does not support banning anti-democratic speeches"
"2853",2484440,"oxy","forbidden","does not support banning anti-democratic speeches"
"2854",2484486,"oxy","allowed","does not support banning anti-democratic speeches"
"2855",2484488,"oxy","allowed","does not support banning anti-democratic speeches"
"2856",2484532,"oxy","forbidden","does not support banning anti-democratic speeches"
"2857",2484632,"oxy","allowed","does not support banning anti-democratic speeches"
"2858",2484634,"oxy","allowed","does not support banning anti-democratic speeches"
"2859",2484656,"oxy","allowed","does not support banning anti-democratic speeches"
"2860",2484661,"oxy","forbidden","does not support banning anti-democratic speeches"
"2861",2484737,"oxy","allowed","does not support banning anti-democratic speeches"
"2862",2484741,"oxy","allowed","does not support banning anti-democratic speeches"
"2863",2484870,"oxy","allowed","does not support banning anti-democratic speeches"
"2864",2484875,"oxy","forbidden","does not support banning anti-democratic speeches"
"2865",2485179,"oxy","forbidden","does not support banning anti-democratic speeches"
"2866",2485308,"oxy","allowed","support banning anti-democratic speeches"
"2867",2485317,"oxy","allowed","does not support banning anti-democratic speeches"
"2868",2485321,"oxy","allowed","does not support banning anti-democratic speeches"
"2869",2485328,"oxy","forbidden","does not support banning anti-democratic speeches"
"2870",2485335,"oxy","allowed","does not support banning anti-democratic speeches"
"2871",2485350,"oxy","allowed","does not support banning anti-democratic speeches"
"2872",2485352,"oxy","allowed","does not support banning anti-democratic speeches"
"2873",2485378,"oxy","forbidden","does not support banning anti-democratic speeches"
"2874",2485381,"oxy","allowed","does not support banning anti-democratic speeches"
"2875",2485408,"oxy","allowed","does not support banning anti-democratic speeches"
"2876",2485423,"oxy","forbidden","does not support banning anti-democratic speeches"
"2877",2485616,"oxy","allowed","does not support banning anti-democratic speeches"
"2878",2486362,"oxy","allowed","does not support banning anti-democratic speeches"
"2879",2486467,"oxy","allowed","does not support banning anti-democratic speeches"
"2880",2486468,"oxy","forbidden","does not support banning anti-democratic speeches"
"2881",2486681,"oxy","allowed","does not support banning anti-democratic speeches"
"2882",2486686,"oxy","forbidden","does not support banning anti-democratic speeches"
"2883",2486705,"oxy","allowed","does not support banning anti-democratic speeches"
"2884",2486762,"oxy","allowed","does not support banning anti-democratic speeches"
"2885",2487006,"oxy","allowed","does not support banning anti-democratic speeches"
"2886",2487036,"oxy","forbidden","does not support banning anti-democratic speeches"
"2887",2487040,"oxy","allowed","does not support banning anti-democratic speeches"
"2888",2487042,"oxy","allowed","does not support banning anti-democratic speeches"
"2889",2487072,"oxy","allowed","does not support banning anti-democratic speeches"
"2890",2487074,"oxy","allowed","does not support banning anti-democratic speeches"
"2891",2487113,"oxy","forbidden","does not support banning anti-democratic speeches"
"2892",2487115,"oxy","forbidden","does not support banning anti-democratic speeches"
"2893",2487152,"oxy","forbidden","does not support banning anti-democratic speeches"
"2894",2487187,"oxy","allowed","does not support banning anti-democratic speeches"
"2895",2487188,"oxy","allowed","does not support banning anti-democratic speeches"
"2896",2487191,"oxy","allowed","does not support banning anti-democratic speeches"
"2897",2487196,"oxy","forbidden","does not support banning anti-democratic speeches"
"2898",2487219,"oxy","allowed","does not support banning anti-democratic speeches"
"2899",2487225,"oxy","forbidden","does not support banning anti-democratic speeches"
"2900",2487227,"oxy","allowed","does not support banning anti-democratic speeches"
"2901",2487255,"oxy","allowed","does not support banning anti-democratic speeches"
"2902",2487257,"oxy","forbidden","does not support banning anti-democratic speeches"
"2903",2487268,"oxy","forbidden","does not support banning anti-democratic speeches"
"2904",2487272,"oxy","allowed","does not support banning anti-democratic speeches"
"2905",2487330,"oxy","forbidden","does not support banning anti-democratic speeches"
"2906",2496938,"oxy","forbidden","does not support banning anti-democratic speeches"
