"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"4331",2435605,"qccuny","allowed","support banning anti-democratic speeches"
"4332",2435609,"qccuny","allowed","support banning anti-democratic speeches"
"4333",2435611,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4335",2435994,"qccuny","allowed","does not support banning anti-democratic speeches"
"4336",2435995,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4337",2436001,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4338",2436104,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4339",2436106,"qccuny","allowed","support banning anti-democratic speeches"
"4340",2436108,"qccuny","allowed","does not support banning anti-democratic speeches"
"4341",2436109,"qccuny","allowed","does not support banning anti-democratic speeches"
"4342",2440777,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4343",2442207,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4344",2442594,"qccuny","allowed","support banning anti-democratic speeches"
"4345",2442597,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4346",2442600,"qccuny","allowed","does not support banning anti-democratic speeches"
"4347",2442616,"qccuny","allowed","does not support banning anti-democratic speeches"
"4348",2443480,"qccuny","allowed","does not support banning anti-democratic speeches"
"4349",2443559,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4350",2445944,"qccuny","allowed","support banning anti-democratic speeches"
"4351",2445947,"qccuny","allowed","does not support banning anti-democratic speeches"
"4352",2445952,"qccuny","allowed","support banning anti-democratic speeches"
"4353",2445955,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4354",2446058,"qccuny","allowed","support banning anti-democratic speeches"
"4355",2446093,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4356",2446098,"qccuny","allowed","support banning anti-democratic speeches"
"4357",2446101,"qccuny","allowed","support banning anti-democratic speeches"
"4358",2446232,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4359",2446279,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4360",2446283,"qccuny","allowed","does not support banning anti-democratic speeches"
"4361",2447378,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4362",2447379,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4363",2447381,"qccuny","forbidden","support banning anti-democratic speeches"
"4364",2447382,"qccuny","allowed","does not support banning anti-democratic speeches"
"4365",2447428,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4366",2447431,"qccuny","allowed","does not support banning anti-democratic speeches"
"4367",2447432,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4368",2447571,"qccuny","allowed","support banning anti-democratic speeches"
"4369",2451780,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4370",2452217,"qccuny","allowed","does not support banning anti-democratic speeches"
"4371",2452227,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4372",2452232,"qccuny","allowed","does not support banning anti-democratic speeches"
"4373",2452233,"qccuny","allowed","does not support banning anti-democratic speeches"
"4374",2452291,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4375",2452351,"qccuny","allowed","support banning anti-democratic speeches"
"4376",2452354,"qccuny","allowed","does not support banning anti-democratic speeches"
"4377",2452358,"qccuny","allowed","does not support banning anti-democratic speeches"
"4378",2454871,"qccuny","allowed","does not support banning anti-democratic speeches"
"4379",2454875,"qccuny","allowed","does not support banning anti-democratic speeches"
"4380",2454880,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4381",2454887,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4382",2454953,"qccuny","allowed","support banning anti-democratic speeches"
"4383",2458773,"qccuny","allowed","support banning anti-democratic speeches"
"4384",2458792,"qccuny","allowed","does not support banning anti-democratic speeches"
"4385",2458793,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4386",2458871,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4387",2458873,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4388",2458876,"qccuny","allowed","does not support banning anti-democratic speeches"
"4389",2458906,"qccuny","allowed","support banning anti-democratic speeches"
"4390",2458992,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4391",2458996,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4392",2459011,"qccuny","allowed","support banning anti-democratic speeches"
"4393",2459017,"qccuny","forbidden","support banning anti-democratic speeches"
"4394",2460980,"qccuny","allowed","does not support banning anti-democratic speeches"
"4395",2460982,"qccuny","allowed","does not support banning anti-democratic speeches"
"4396",2460988,"qccuny","allowed","does not support banning anti-democratic speeches"
"4397",2461079,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4398",2461192,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4399",2461195,"qccuny","allowed","does not support banning anti-democratic speeches"
"4400",2461359,"qccuny","allowed","support banning anti-democratic speeches"
"4401",2465670,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4402",2465683,"qccuny","allowed","does not support banning anti-democratic speeches"
"4403",2466121,"qccuny","allowed","support banning anti-democratic speeches"
"4404",2466123,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4405",2466125,"qccuny","allowed","does not support banning anti-democratic speeches"
"4406",2468372,"qccuny","allowed","does not support banning anti-democratic speeches"
"4407",2468381,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4408",2468429,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4409",2468430,"qccuny","allowed","does not support banning anti-democratic speeches"
"4410",2468439,"qccuny","allowed","support banning anti-democratic speeches"
"4411",2468449,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4412",2469494,"qccuny","forbidden","support banning anti-democratic speeches"
"4413",2469495,"qccuny","forbidden","does not support banning anti-democratic speeches"
"4414",2469498,"qccuny","allowed","support banning anti-democratic speeches"
"4415",2469526,"qccuny","allowed","does not support banning anti-democratic speeches"
