"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"4434",2451561,"qccuny2","allowed","support banning anti-democratic speeches"
"4435",2451696,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4436",2451970,"qccuny2","allowed","support banning anti-democratic speeches"
"4437",2452017,"qccuny2","allowed","support banning anti-democratic speeches"
"4438",2452373,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4439",2454002,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4440",2454025,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4441",2454108,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4442",2454143,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4443",2456274,"qccuny2","forbidden","support banning anti-democratic speeches"
"4444",2456275,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4445",2458336,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4446",2458349,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4447",2458491,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4448",2458529,"qccuny2","allowed","support banning anti-democratic speeches"
"4449",2458637,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4450",2458648,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4451",2458725,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4452",2458855,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4453",2458860,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4454",2459013,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4455",2459018,"qccuny2","allowed","support banning anti-democratic speeches"
"4456",2466324,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4457",2466409,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4458",2466418,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4459",2467562,"qccuny2","allowed","support banning anti-democratic speeches"
"4460",2467654,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4461",2467659,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4462",2467746,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4463",2467869,"qccuny2","forbidden","does not support banning anti-democratic speeches"
"4464",2469514,"qccuny2","allowed","does not support banning anti-democratic speeches"
"4465",2469967,"qccuny2","allowed","support banning anti-democratic speeches"
"4466",2470136,"qccuny2","allowed","support banning anti-democratic speeches"
