"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"5861",2448165,"vcu","allowed","does not support banning anti-democratic speeches"
"5862",2451793,"vcu","forbidden","does not support banning anti-democratic speeches"
"5863",2451903,"vcu","allowed","does not support banning anti-democratic speeches"
"5864",2451987,"vcu","allowed","does not support banning anti-democratic speeches"
"5865",2457829,"vcu","allowed","does not support banning anti-democratic speeches"
"5866",2458789,"vcu","forbidden","does not support banning anti-democratic speeches"
"5867",2458795,"vcu","forbidden","does not support banning anti-democratic speeches"
"5868",2458799,"vcu","forbidden","does not support banning anti-democratic speeches"
"5869",2458838,"vcu","forbidden","does not support banning anti-democratic speeches"
"5870",2458840,"vcu","forbidden","does not support banning anti-democratic speeches"
"5871",2458846,"vcu","forbidden","does not support banning anti-democratic speeches"
"5872",2458891,"vcu","allowed","does not support banning anti-democratic speeches"
"5873",2458896,"vcu","forbidden","does not support banning anti-democratic speeches"
"5874",2458907,"vcu","forbidden","does not support banning anti-democratic speeches"
"5875",2458917,"vcu","forbidden","does not support banning anti-democratic speeches"
"5876",2458939,"vcu","allowed","does not support banning anti-democratic speeches"
"5877",2458963,"vcu","forbidden","does not support banning anti-democratic speeches"
"5878",2458993,"vcu","forbidden","does not support banning anti-democratic speeches"
"5879",2459055,"vcu","forbidden","does not support banning anti-democratic speeches"
"5880",2459062,"vcu","forbidden","does not support banning anti-democratic speeches"
"5881",2459110,"vcu","allowed","support banning anti-democratic speeches"
"5882",2461604,"vcu","allowed","does not support banning anti-democratic speeches"
"5883",2461607,"vcu","forbidden","does not support banning anti-democratic speeches"
"5884",2461614,"vcu","forbidden","does not support banning anti-democratic speeches"
"5885",2461714,"vcu","allowed","support banning anti-democratic speeches"
"5886",2461716,"vcu","forbidden","does not support banning anti-democratic speeches"
"5887",2465635,"vcu","forbidden","does not support banning anti-democratic speeches"
"5888",2465638,"vcu","forbidden","does not support banning anti-democratic speeches"
"5889",2465639,"vcu","forbidden","does not support banning anti-democratic speeches"
"5890",2465710,"vcu","allowed","support banning anti-democratic speeches"
"5891",2465711,"vcu","allowed","support banning anti-democratic speeches"
"5892",2465713,"vcu","forbidden","does not support banning anti-democratic speeches"
"5893",2465756,"vcu","forbidden","does not support banning anti-democratic speeches"
"5894",2465758,"vcu","allowed","does not support banning anti-democratic speeches"
"5895",2465793,"vcu","allowed","does not support banning anti-democratic speeches"
"5896",2465826,"vcu","allowed","does not support banning anti-democratic speeches"
"5897",2465946,"vcu","allowed","support banning anti-democratic speeches"
"5898",2467333,"vcu","allowed","support banning anti-democratic speeches"
"5899",2467427,"vcu","forbidden","does not support banning anti-democratic speeches"
"5900",2467490,"vcu","forbidden","does not support banning anti-democratic speeches"
"5901",2472268,"vcu","allowed","does not support banning anti-democratic speeches"
"5902",2472270,"vcu","forbidden","does not support banning anti-democratic speeches"
"5903",2472311,"vcu","forbidden","does not support banning anti-democratic speeches"
"5904",2472313,"vcu","forbidden","does not support banning anti-democratic speeches"
"5905",2472314,"vcu","allowed","does not support banning anti-democratic speeches"
"5906",2472424,"vcu","allowed","support banning anti-democratic speeches"
"5907",2472454,"vcu","allowed","does not support banning anti-democratic speeches"
"5909",2472484,"vcu","allowed","does not support banning anti-democratic speeches"
"5910",2472527,"vcu","allowed","does not support banning anti-democratic speeches"
"5911",2472533,"vcu","forbidden","support banning anti-democratic speeches"
"5912",2473443,"vcu","allowed","does not support banning anti-democratic speeches"
"5913",2473491,"vcu","forbidden","does not support banning anti-democratic speeches"
"5914",2473628,"vcu","forbidden","does not support banning anti-democratic speeches"
"5915",2473629,"vcu","allowed","does not support banning anti-democratic speeches"
"5916",2473630,"vcu","allowed","support banning anti-democratic speeches"
"5917",2477381,"vcu","forbidden","does not support banning anti-democratic speeches"
"5918",2477384,"vcu","forbidden","does not support banning anti-democratic speeches"
"5919",2477392,"vcu","forbidden","does not support banning anti-democratic speeches"
"5920",2477407,"vcu","allowed","does not support banning anti-democratic speeches"
"5921",2477432,"vcu","forbidden","does not support banning anti-democratic speeches"
"5922",2477481,"vcu","allowed","support banning anti-democratic speeches"
"5923",2477552,"vcu","allowed","does not support banning anti-democratic speeches"
"5924",2477553,"vcu","forbidden","does not support banning anti-democratic speeches"
"5925",2477608,"vcu","forbidden","does not support banning anti-democratic speeches"
"5926",2479419,"vcu","forbidden","does not support banning anti-democratic speeches"
"5928",2479459,"vcu","allowed","does not support banning anti-democratic speeches"
"5929",2479461,"vcu","forbidden","support banning anti-democratic speeches"
"5930",2479491,"vcu","forbidden","does not support banning anti-democratic speeches"
"5931",2479492,"vcu","allowed","does not support banning anti-democratic speeches"
"5932",2479551,"vcu","allowed","support banning anti-democratic speeches"
"5933",2479552,"vcu","forbidden","does not support banning anti-democratic speeches"
"5934",2479556,"vcu","forbidden","does not support banning anti-democratic speeches"
"5935",2479606,"vcu","forbidden","does not support banning anti-democratic speeches"
"5936",2479607,"vcu","forbidden","does not support banning anti-democratic speeches"
"5937",2479610,"vcu","allowed","support banning anti-democratic speeches"
"5938",2484393,"vcu","forbidden","does not support banning anti-democratic speeches"
"5939",2484394,"vcu","forbidden","does not support banning anti-democratic speeches"
"5940",2484409,"vcu","allowed","does not support banning anti-democratic speeches"
"5941",2484479,"vcu","forbidden","does not support banning anti-democratic speeches"
"5942",2484583,"vcu","allowed","support banning anti-democratic speeches"
"5943",2484584,"vcu","forbidden","does not support banning anti-democratic speeches"
"5944",2484605,"vcu","forbidden","does not support banning anti-democratic speeches"
"5945",2484731,"vcu","forbidden","does not support banning anti-democratic speeches"
"5946",2484821,"vcu","allowed","does not support banning anti-democratic speeches"
"5947",2484823,"vcu","forbidden","does not support banning anti-democratic speeches"
