"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"1",2400853,"abington","allowed","does not support banning anti-democratic speeches"
"2",2400856,"abington","forbidden","does not support banning anti-democratic speeches"
"3",2400860,"abington","forbidden","does not support banning anti-democratic speeches"
"4",2400868,"abington","allowed","does not support banning anti-democratic speeches"
"5",2400872,"abington","forbidden","does not support banning anti-democratic speeches"
"6",2400914,"abington","forbidden","does not support banning anti-democratic speeches"
"7",2400916,"abington","forbidden","does not support banning anti-democratic speeches"
"8",2400925,"abington","forbidden","does not support banning anti-democratic speeches"
"9",2400934,"abington","forbidden","does not support banning anti-democratic speeches"
"10",2407192,"abington","allowed","does not support banning anti-democratic speeches"
"11",2407222,"abington","allowed","does not support banning anti-democratic speeches"
"12",2407225,"abington","allowed","does not support banning anti-democratic speeches"
"13",2407227,"abington","forbidden","does not support banning anti-democratic speeches"
"14",2407268,"abington","forbidden","does not support banning anti-democratic speeches"
"15",2407271,"abington","forbidden","does not support banning anti-democratic speeches"
"16",2407288,"abington","allowed","does not support banning anti-democratic speeches"
"17",2407289,"abington","forbidden","does not support banning anti-democratic speeches"
"18",2407335,"abington","forbidden","does not support banning anti-democratic speeches"
"19",2407367,"abington","allowed","does not support banning anti-democratic speeches"
"20",2407368,"abington","allowed","does not support banning anti-democratic speeches"
"21",2407369,"abington","forbidden","does not support banning anti-democratic speeches"
"23",2407373,"abington","allowed","support banning anti-democratic speeches"
"24",2407395,"abington","allowed","support banning anti-democratic speeches"
"25",2407403,"abington","allowed","does not support banning anti-democratic speeches"
"26",2407404,"abington","forbidden","does not support banning anti-democratic speeches"
"27",2407405,"abington","forbidden","support banning anti-democratic speeches"
"28",2407407,"abington","allowed","does not support banning anti-democratic speeches"
"29",2407412,"abington","forbidden","does not support banning anti-democratic speeches"
"31",2407866,"abington","allowed","support banning anti-democratic speeches"
"32",2407983,"abington","forbidden","does not support banning anti-democratic speeches"
"33",2407987,"abington","forbidden","does not support banning anti-democratic speeches"
"34",2408017,"abington","allowed","does not support banning anti-democratic speeches"
"35",2408033,"abington","forbidden","does not support banning anti-democratic speeches"
"36",2408059,"abington","forbidden","does not support banning anti-democratic speeches"
"37",2408084,"abington","allowed","does not support banning anti-democratic speeches"
"38",2409135,"abington","allowed","does not support banning anti-democratic speeches"
"39",2409137,"abington","allowed","does not support banning anti-democratic speeches"
"40",2409138,"abington","forbidden","does not support banning anti-democratic speeches"
"41",2409144,"abington","forbidden","does not support banning anti-democratic speeches"
"42",2409145,"abington","allowed","does not support banning anti-democratic speeches"
"43",2409147,"abington","allowed","support banning anti-democratic speeches"
"44",2409150,"abington","allowed","does not support banning anti-democratic speeches"
"45",2409203,"abington","allowed","does not support banning anti-democratic speeches"
"46",2409204,"abington","forbidden","does not support banning anti-democratic speeches"
"47",2409209,"abington","allowed","does not support banning anti-democratic speeches"
"48",2409214,"abington","forbidden","support banning anti-democratic speeches"
"49",2409217,"abington","forbidden","does not support banning anti-democratic speeches"
"50",2409255,"abington","forbidden","does not support banning anti-democratic speeches"
"51",2409256,"abington","forbidden","does not support banning anti-democratic speeches"
"52",2409259,"abington","forbidden","does not support banning anti-democratic speeches"
"53",2409260,"abington","forbidden","does not support banning anti-democratic speeches"
"54",2409264,"abington","allowed","does not support banning anti-democratic speeches"
"55",2409552,"abington","allowed","does not support banning anti-democratic speeches"
"56",2409555,"abington","forbidden","does not support banning anti-democratic speeches"
"57",2409556,"abington","allowed","does not support banning anti-democratic speeches"
"58",2409603,"abington","forbidden","does not support banning anti-democratic speeches"
"59",2409605,"abington","allowed","does not support banning anti-democratic speeches"
"60",2409606,"abington","allowed","does not support banning anti-democratic speeches"
"61",2409607,"abington","allowed","does not support banning anti-democratic speeches"
"62",2410995,"abington","allowed","support banning anti-democratic speeches"
"63",2410997,"abington","allowed","does not support banning anti-democratic speeches"
"64",2411137,"abington","allowed","support banning anti-democratic speeches"
"65",2411191,"abington","allowed","does not support banning anti-democratic speeches"
"66",2411192,"abington","forbidden","does not support banning anti-democratic speeches"
"67",2411195,"abington","forbidden","does not support banning anti-democratic speeches"
"68",2411198,"abington","forbidden","does not support banning anti-democratic speeches"
"69",2411199,"abington","forbidden","does not support banning anti-democratic speeches"
"70",2411202,"abington","allowed","does not support banning anti-democratic speeches"
"71",2411203,"abington","allowed","support banning anti-democratic speeches"
"72",2411204,"abington","forbidden","does not support banning anti-democratic speeches"
"73",2411205,"abington","forbidden","does not support banning anti-democratic speeches"
"74",2411301,"abington","allowed","support banning anti-democratic speeches"
"75",2411308,"abington","allowed","support banning anti-democratic speeches"
"76",2411379,"abington","forbidden","does not support banning anti-democratic speeches"
"77",2411382,"abington","forbidden","does not support banning anti-democratic speeches"
"78",2411384,"abington","forbidden","does not support banning anti-democratic speeches"
"79",2411385,"abington","forbidden","support banning anti-democratic speeches"
"80",2411395,"abington","forbidden","does not support banning anti-democratic speeches"
"81",2411401,"abington","forbidden","does not support banning anti-democratic speeches"
"82",2411402,"abington","forbidden","does not support banning anti-democratic speeches"
"83",2411443,"abington","forbidden","does not support banning anti-democratic speeches"
"84",2411445,"abington","forbidden","does not support banning anti-democratic speeches"
