"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"6065",2401013,"wku","allowed","support banning anti-democratic speeches"
"6066",2401059,"wku","allowed","does not support banning anti-democratic speeches"
"6067",2401273,"wku","allowed","does not support banning anti-democratic speeches"
"6068",2401275,"wku","allowed","support banning anti-democratic speeches"
"6069",2401277,"wku","allowed","support banning anti-democratic speeches"
"6070",2401278,"wku","forbidden","does not support banning anti-democratic speeches"
"6071",2401294,"wku","forbidden","does not support banning anti-democratic speeches"
"6072",2401426,"wku","allowed","does not support banning anti-democratic speeches"
"6073",2411348,"wku","allowed","does not support banning anti-democratic speeches"
"6074",2411349,"wku","allowed","support banning anti-democratic speeches"
"6075",2411350,"wku","allowed","does not support banning anti-democratic speeches"
"6076",2411352,"wku","forbidden","does not support banning anti-democratic speeches"
"6077",2411472,"wku","allowed","does not support banning anti-democratic speeches"
"6078",2411473,"wku","allowed","support banning anti-democratic speeches"
"6079",2411474,"wku","forbidden","does not support banning anti-democratic speeches"
"6080",2411475,"wku","forbidden","does not support banning anti-democratic speeches"
"6081",2411479,"wku","allowed","support banning anti-democratic speeches"
"6082",2411560,"wku","allowed","support banning anti-democratic speeches"
"6083",2411561,"wku","allowed","support banning anti-democratic speeches"
"6084",2411562,"wku","forbidden","does not support banning anti-democratic speeches"
"6085",2411564,"wku","forbidden","does not support banning anti-democratic speeches"
"6086",2411568,"wku","allowed","does not support banning anti-democratic speeches"
"6087",2411569,"wku","forbidden","does not support banning anti-democratic speeches"
"6088",2411724,"wku","forbidden","does not support banning anti-democratic speeches"
"6089",2411727,"wku","allowed","support banning anti-democratic speeches"
"6090",2411854,"wku","allowed","does not support banning anti-democratic speeches"
"6091",2411858,"wku","forbidden","does not support banning anti-democratic speeches"
"6092",2411860,"wku","allowed","does not support banning anti-democratic speeches"
"6093",2411862,"wku","forbidden","does not support banning anti-democratic speeches"
"6094",2411945,"wku","forbidden","does not support banning anti-democratic speeches"
"6095",2411946,"wku","forbidden","does not support banning anti-democratic speeches"
"6096",2411947,"wku","allowed","does not support banning anti-democratic speeches"
"6097",2411954,"wku","forbidden","does not support banning anti-democratic speeches"
"6098",2412031,"wku","allowed","does not support banning anti-democratic speeches"
"6099",2412032,"wku","forbidden","does not support banning anti-democratic speeches"
"6100",2412033,"wku","allowed","does not support banning anti-democratic speeches"
"6101",2412035,"wku","forbidden","does not support banning anti-democratic speeches"
"6102",2412037,"wku","allowed","does not support banning anti-democratic speeches"
"6103",2412071,"wku","forbidden","does not support banning anti-democratic speeches"
"6104",2412072,"wku","forbidden","does not support banning anti-democratic speeches"
"6105",2412075,"wku","allowed","does not support banning anti-democratic speeches"
"6107",2412085,"wku","allowed","does not support banning anti-democratic speeches"
"6108",2426096,"wku","allowed","does not support banning anti-democratic speeches"
"6109",2426218,"wku","allowed","does not support banning anti-democratic speeches"
"6110",2426308,"wku","allowed","does not support banning anti-democratic speeches"
"6111",2426586,"wku","forbidden","does not support banning anti-democratic speeches"
"6112",2442947,"wku","forbidden","does not support banning anti-democratic speeches"
"6113",2442959,"wku","forbidden","support banning anti-democratic speeches"
"6114",2443365,"wku","forbidden","does not support banning anti-democratic speeches"
"6115",2443463,"wku","forbidden","does not support banning anti-democratic speeches"
"6116",2443466,"wku","forbidden","does not support banning anti-democratic speeches"
"6117",2443468,"wku","forbidden","does not support banning anti-democratic speeches"
"6118",2443632,"wku","allowed","does not support banning anti-democratic speeches"
"6119",2443634,"wku","forbidden","does not support banning anti-democratic speeches"
"6120",2456929,"wku","forbidden","support banning anti-democratic speeches"
"6121",2456974,"wku","allowed","does not support banning anti-democratic speeches"
"6122",2467295,"wku","allowed","does not support banning anti-democratic speeches"
"6123",2469962,"wku","forbidden","does not support banning anti-democratic speeches"
"6124",2469972,"wku","forbidden","does not support banning anti-democratic speeches"
"6125",2470019,"wku","allowed","support banning anti-democratic speeches"
"6126",2470021,"wku","forbidden","does not support banning anti-democratic speeches"
"6127",2470108,"wku","allowed","does not support banning anti-democratic speeches"
"6128",2470118,"wku","allowed","does not support banning anti-democratic speeches"
"6129",2470120,"wku","allowed","does not support banning anti-democratic speeches"
"6130",2470122,"wku","allowed","does not support banning anti-democratic speeches"
"6131",2470195,"wku","allowed","does not support banning anti-democratic speeches"
"6132",2470289,"wku","forbidden","does not support banning anti-democratic speeches"
"6133",2470353,"wku","allowed","does not support banning anti-democratic speeches"
"6134",2470356,"wku","allowed","does not support banning anti-democratic speeches"
"6135",2470433,"wku","forbidden","does not support banning anti-democratic speeches"
"6136",2470434,"wku","forbidden","does not support banning anti-democratic speeches"
"6137",2470510,"wku","allowed","does not support banning anti-democratic speeches"
"6138",2477199,"wku","forbidden","does not support banning anti-democratic speeches"
"6139",2477200,"wku","forbidden","does not support banning anti-democratic speeches"
"6140",2481988,"wku","allowed","does not support banning anti-democratic speeches"
