"","session_id","referrer","allowedforbiddenGroup","allowedforbidden"
"6258",2454344,"wpi","allowed","does not support banning anti-democratic speeches"
"6259",2454353,"wpi","allowed","support banning anti-democratic speeches"
"6260",2454385,"wpi","forbidden","does not support banning anti-democratic speeches"
"6261",2456569,"wpi","allowed","does not support banning anti-democratic speeches"
"6262",2456576,"wpi","forbidden","does not support banning anti-democratic speeches"
"6263",2458809,"wpi","forbidden","does not support banning anti-democratic speeches"
"6264",2458813,"wpi","forbidden","does not support banning anti-democratic speeches"
"6265",2458816,"wpi","forbidden","support banning anti-democratic speeches"
"6266",2458872,"wpi","forbidden","does not support banning anti-democratic speeches"
"6267",2458893,"wpi","allowed","does not support banning anti-democratic speeches"
"6268",2458967,"wpi","forbidden","does not support banning anti-democratic speeches"
"6269",2458970,"wpi","forbidden","does not support banning anti-democratic speeches"
"6270",2458987,"wpi","forbidden","does not support banning anti-democratic speeches"
"6271",2459014,"wpi","forbidden","does not support banning anti-democratic speeches"
"6272",2461595,"wpi","forbidden","does not support banning anti-democratic speeches"
"6273",2467812,"wpi","forbidden","does not support banning anti-democratic speeches"
"6274",2472292,"wpi","allowed","support banning anti-democratic speeches"
"6275",2472304,"wpi","forbidden","does not support banning anti-democratic speeches"
"6276",2472376,"wpi","forbidden","does not support banning anti-democratic speeches"
"6277",2472395,"wpi","allowed","support banning anti-democratic speeches"
"6278",2474017,"wpi","allowed","does not support banning anti-democratic speeches"
"6279",2474025,"wpi","allowed","does not support banning anti-democratic speeches"
"6280",2474095,"wpi","forbidden","does not support banning anti-democratic speeches"
"6281",2474102,"wpi","forbidden","does not support banning anti-democratic speeches"
"6282",2477627,"wpi","allowed","does not support banning anti-democratic speeches"
"6283",2477634,"wpi","allowed","does not support banning anti-democratic speeches"
"6284",2477719,"wpi","allowed","does not support banning anti-democratic speeches"
"6285",2477729,"wpi","forbidden","support banning anti-democratic speeches"
"6286",2477731,"wpi","forbidden","does not support banning anti-democratic speeches"
"6287",2477736,"wpi","allowed","does not support banning anti-democratic speeches"
"6288",2477756,"wpi","allowed","does not support banning anti-democratic speeches"
"6289",2477766,"wpi","allowed","does not support banning anti-democratic speeches"
"6290",2477773,"wpi","forbidden","does not support banning anti-democratic speeches"
"6291",2477776,"wpi","forbidden","does not support banning anti-democratic speeches"
"6292",2481938,"wpi","forbidden","does not support banning anti-democratic speeches"
"6293",2481944,"wpi","forbidden","does not support banning anti-democratic speeches"
"6294",2482004,"wpi","allowed","does not support banning anti-democratic speeches"
"6295",2482043,"wpi","allowed","support banning anti-democratic speeches"
"6296",2482055,"wpi","allowed","does not support banning anti-democratic speeches"
"6297",2482067,"wpi","allowed","support banning anti-democratic speeches"
"6298",2482078,"wpi","allowed","support banning anti-democratic speeches"
"6299",2484324,"wpi","forbidden","does not support banning anti-democratic speeches"
"6300",2484327,"wpi","forbidden","does not support banning anti-democratic speeches"
"6301",2484328,"wpi","allowed","support banning anti-democratic speeches"
"6302",2484570,"wpi","forbidden","does not support banning anti-democratic speeches"
"6303",2484574,"wpi","allowed","does not support banning anti-democratic speeches"
"6304",2484654,"wpi","allowed","support banning anti-democratic speeches"
"6305",2484679,"wpi","allowed","support banning anti-democratic speeches"
"6306",2484690,"wpi","forbidden","does not support banning anti-democratic speeches"
"6307",2484696,"wpi","allowed","does not support banning anti-democratic speeches"
"6308",2484748,"wpi","allowed","does not support banning anti-democratic speeches"
"6309",2484783,"wpi","forbidden","does not support banning anti-democratic speeches"
"6310",2484805,"wpi","forbidden","does not support banning anti-democratic speeches"
"6311",2484862,"wpi","allowed","does not support banning anti-democratic speeches"
"6312",2484863,"wpi","allowed","does not support banning anti-democratic speeches"
"6313",2484876,"wpi","forbidden","support banning anti-democratic speeches"
"6314",2484887,"wpi","forbidden","does not support banning anti-democratic speeches"
"6315",2484890,"wpi","allowed","does not support banning anti-democratic speeches"
"6316",2484896,"wpi","forbidden","support banning anti-democratic speeches"
"6317",2484969,"wpi","allowed","does not support banning anti-democratic speeches"
"6318",2484972,"wpi","allowed","does not support banning anti-democratic speeches"
"6319",2484973,"wpi","allowed","does not support banning anti-democratic speeches"
"6320",2486492,"wpi","forbidden","does not support banning anti-democratic speeches"
"6321",2490381,"wpi","forbidden","does not support banning anti-democratic speeches"
"6322",2490384,"wpi","forbidden","does not support banning anti-democratic speeches"
"6323",2492391,"wpi","forbidden","does not support banning anti-democratic speeches"
"6324",2492394,"wpi","forbidden","does not support banning anti-democratic speeches"
"6325",2493944,"wpi","forbidden","does not support banning anti-democratic speeches"
"6326",2493955,"wpi","forbidden","does not support banning anti-democratic speeches"
"6327",2493959,"wpi","allowed","does not support banning anti-democratic speeches"
"6328",2493964,"wpi","allowed","does not support banning anti-democratic speeches"
"6329",2493970,"wpi","allowed","does not support banning anti-democratic speeches"
"6330",2493974,"wpi","allowed","support banning anti-democratic speeches"
"6331",2494028,"wpi","forbidden","does not support banning anti-democratic speeches"
"6332",2494032,"wpi","allowed","does not support banning anti-democratic speeches"
"6333",2494074,"wpi","forbidden","does not support banning anti-democratic speeches"
"6334",2494078,"wpi","allowed","does not support banning anti-democratic speeches"
"6335",2494402,"wpi","allowed","support banning anti-democratic speeches"
"6336",2494404,"wpi","forbidden","does not support banning anti-democratic speeches"
"6337",2494405,"wpi","forbidden","support banning anti-democratic speeches"
"6338",2494407,"wpi","allowed","support banning anti-democratic speeches"
"6339",2495930,"wpi","allowed","does not support banning anti-democratic speeches"
"6340",2495934,"wpi","allowed","support banning anti-democratic speeches"
"6341",2496017,"wpi","forbidden","does not support banning anti-democratic speeches"
"6342",2496023,"wpi","forbidden","does not support banning anti-democratic speeches"
"6343",2496026,"wpi","allowed","does not support banning anti-democratic speeches"
"6344",2496226,"wpi","allowed","support banning anti-democratic speeches"
