"","session_id","referrer","gainlossgroup","gainlossDV"
"480",2478532,"help","People will die","chose program with probability outcome"
"481",2478534,"help","People will die","chose program with exact outcome"
"482",2478570,"help","People will die","chose program with probability outcome"
"483",2478574,"help","People will be saved","chose program with probability outcome"
"484",2478584,"help","People will die","chose program with probability outcome"
"485",2478593,"help","People will die","chose program with exact outcome"
"486",2478626,"help","People will die","chose program with exact outcome"
"487",2478643,"help","People will die","chose program with probability outcome"
"488",2478644,"help","People will be saved","chose program with probability outcome"
"489",2478657,"help","People will be saved","chose program with probability outcome"
"490",2478672,"help","People will die","chose program with exact outcome"
"491",2478681,"help","People will die","chose program with probability outcome"
"492",2478687,"help","People will be saved","chose program with probability outcome"
"493",2478688,"help","People will die","chose program with probability outcome"
"494",2478703,"help","People will die","chose program with probability outcome"
"495",2478706,"help","People will be saved","chose program with probability outcome"
"496",2478718,"help","People will die","chose program with probability outcome"
"497",2478726,"help","People will die","chose program with probability outcome"
"498",2478727,"help","People will die","chose program with probability outcome"
"499",2478764,"help","People will be saved","chose program with probability outcome"
"500",2480748,"help","People will be saved","chose program with exact outcome"
"501",2480756,"help","People will be saved","chose program with exact outcome"
"503",2480786,"help","People will be saved","chose program with exact outcome"
"504",2480821,"help","People will be saved","chose program with exact outcome"
"505",2480823,"help","People will die","chose program with exact outcome"
"506",2480862,"help","People will be saved","chose program with exact outcome"
"507",2480891,"help","People will die","chose program with probability outcome"
"508",2480894,"help","People will be saved","chose program with exact outcome"
"509",2480933,"help","People will be saved","chose program with exact outcome"
"511",2480961,"help","People will die","chose program with probability outcome"
"512",2480965,"help","People will be saved","chose program with probability outcome"
"513",2481000,"help","People will be saved","chose program with probability outcome"
"514",2481002,"help","People will die","chose program with probability outcome"
"515",2481015,"help","People will be saved","chose program with exact outcome"
"516",2481016,"help","People will be saved","chose program with exact outcome"
"517",2481028,"help","People will be saved","chose program with exact outcome"
"518",2481030,"help","People will die","chose program with probability outcome"
"519",2481059,"help","People will be saved","chose program with exact outcome"
"520",2481060,"help","People will die","chose program with probability outcome"
"521",2481065,"help","People will die","chose program with probability outcome"
"522",2481066,"help","People will be saved","chose program with exact outcome"
"523",2481079,"help","People will be saved","chose program with exact outcome"
"524",2481090,"help","People will die","chose program with exact outcome"
"525",2483090,"help","People will die","chose program with probability outcome"
"526",2483097,"help","People will be saved","chose program with probability outcome"
"527",2483124,"help","People will be saved","chose program with probability outcome"
"528",2483188,"help","People will be saved","chose program with exact outcome"
"529",2483238,"help","People will die","chose program with probability outcome"
"530",2483246,"help","People will be saved","chose program with exact outcome"
"531",2483286,"help","People will die","chose program with probability outcome"
"532",2483295,"help","People will die","chose program with exact outcome"
"533",2483343,"help","People will be saved","chose program with exact outcome"
"534",2483345,"help","People will be saved","chose program with exact outcome"
"535",2483375,"help","People will die","chose program with probability outcome"
"536",2483396,"help","People will die","chose program with exact outcome"
"537",2483399,"help","People will be saved","chose program with exact outcome"
"538",2483434,"help","People will be saved","chose program with probability outcome"
"539",2483460,"help","People will die","chose program with probability outcome"
"540",2483461,"help","People will be saved","chose program with exact outcome"
"541",2483488,"help","People will die","chose program with probability outcome"
"542",2483491,"help","People will die","chose program with probability outcome"
"543",2483512,"help","People will be saved","chose program with probability outcome"
"544",2483513,"help","People will die","chose program with probability outcome"
"545",2483540,"help","People will be saved","chose program with probability outcome"
"546",2483542,"help","People will be saved","chose program with probability outcome"
"547",2483554,"help","People will be saved","chose program with exact outcome"
"548",2483555,"help","People will be saved","chose program with probability outcome"
"549",2483574,"help","People will be saved","chose program with exact outcome"
"550",2483575,"help","People will be saved","chose program with exact outcome"
"551",2483587,"help","People will be saved","chose program with exact outcome"
"552",2483588,"help","People will die","chose program with probability outcome"
"553",2483613,"help","People will be saved","chose program with exact outcome"
"554",2483614,"help","People will die","chose program with exact outcome"
"555",2483640,"help","People will die","chose program with probability outcome"
"556",2483641,"help","People will be saved","chose program with exact outcome"
"557",2484192,"help","People will be saved","chose program with probability outcome"
"558",2485486,"help","People will be saved","chose program with exact outcome"
"559",2485537,"help","People will be saved","chose program with probability outcome"
"560",2485604,"help","People will be saved","chose program with exact outcome"
"561",2485607,"help","People will die","chose program with exact outcome"
"562",2485651,"help","People will die","chose program with probability outcome"
"563",2485653,"help","People will be saved","chose program with probability outcome"
"564",2485691,"help","People will be saved","chose program with probability outcome"
"565",2485699,"help","People will be saved","chose program with exact outcome"
"566",2485753,"help","People will be saved","chose program with probability outcome"
"567",2485755,"help","People will die","chose program with probability outcome"
"568",2485804,"help","People will die","chose program with exact outcome"
"569",2485842,"help","People will be saved","chose program with exact outcome"
"570",2485852,"help","People will be saved","chose program with probability outcome"
"571",2485882,"help","People will be saved","chose program with probability outcome"
"572",2485885,"help","People will be saved","chose program with probability outcome"
"573",2485905,"help","People will be saved","chose program with probability outcome"
"574",2485906,"help","People will die","chose program with probability outcome"
"575",2485964,"help","People will die","chose program with probability outcome"
"576",2485966,"help","People will be saved","chose program with exact outcome"
"577",2485988,"help","People will be saved","chose program with probability outcome"
"578",2486008,"help","People will die","chose program with probability outcome"
"579",2486012,"help","People will be saved","chose program with probability outcome"
"581",2486032,"help","People will die","chose program with probability outcome"
