"","session_id","referrer","gainlossgroup","gainlossDV"
"4434",2451561,"qccuny2","People will die","chose program with exact outcome"
"4435",2451696,"qccuny2","People will be saved","chose program with probability outcome"
"4436",2451970,"qccuny2","People will die","chose program with probability outcome"
"4438",2452373,"qccuny2","People will be saved","chose program with exact outcome"
"4439",2454002,"qccuny2","People will die","chose program with exact outcome"
"4440",2454025,"qccuny2","People will be saved","chose program with probability outcome"
"4441",2454108,"qccuny2","People will die","chose program with probability outcome"
"4442",2454143,"qccuny2","People will die","chose program with probability outcome"
"4443",2456274,"qccuny2","People will die","chose program with probability outcome"
"4444",2456275,"qccuny2","People will die","chose program with probability outcome"
"4445",2458336,"qccuny2","People will be saved","chose program with exact outcome"
"4447",2458491,"qccuny2","People will be saved","chose program with exact outcome"
"4448",2458529,"qccuny2","People will die","chose program with exact outcome"
"4449",2458637,"qccuny2","People will be saved","chose program with probability outcome"
"4450",2458648,"qccuny2","People will be saved","chose program with probability outcome"
"4451",2458725,"qccuny2","People will die","chose program with probability outcome"
"4452",2458855,"qccuny2","People will be saved","chose program with exact outcome"
"4453",2458860,"qccuny2","People will die","chose program with probability outcome"
"4454",2459013,"qccuny2","People will be saved","chose program with exact outcome"
"4456",2466324,"qccuny2","People will be saved","chose program with probability outcome"
"4457",2466409,"qccuny2","People will be saved","chose program with exact outcome"
"4458",2466418,"qccuny2","People will be saved","chose program with exact outcome"
"4459",2467562,"qccuny2","People will die","chose program with exact outcome"
"4460",2467654,"qccuny2","People will be saved","chose program with exact outcome"
"4461",2467659,"qccuny2","People will die","chose program with exact outcome"
"4462",2467746,"qccuny2","People will die","chose program with probability outcome"
"4463",2467869,"qccuny2","People will die","chose program with probability outcome"
"4464",2469514,"qccuny2","People will be saved","chose program with exact outcome"
"4465",2469967,"qccuny2","People will be saved","chose program with probability outcome"
"4466",2470136,"qccuny2","People will be saved","chose program with probability outcome"
"4467",2471564,"qccuny2","People will be saved","chose program with probability outcome"
"4468",2472069,"qccuny2","People will die","chose program with exact outcome"
"4470",2472452,"qccuny2","People will die","chose program with exact outcome"
"4472",2473609,"qccuny2","People will be saved","chose program with exact outcome"
"4473",2473632,"qccuny2","People will be saved","chose program with probability outcome"
"4474",2477146,"qccuny2","People will be saved","chose program with probability outcome"
"4475",2477328,"qccuny2","People will be saved","chose program with probability outcome"
"4476",2477372,"qccuny2","People will die","chose program with exact outcome"
"4477",2477487,"qccuny2","People will die","chose program with exact outcome"
"4478",2478030,"qccuny2","People will be saved","chose program with probability outcome"
"4479",2479462,"qccuny2","People will die","chose program with exact outcome"
"4480",2479503,"qccuny2","People will die","chose program with probability outcome"
"4481",2482076,"qccuny2","People will die","chose program with probability outcome"
"4482",2482102,"qccuny2","People will be saved","chose program with probability outcome"
"4483",2484342,"qccuny2","People will be saved","chose program with probability outcome"
"4484",2484478,"qccuny2","People will die","chose program with probability outcome"
"4485",2484663,"qccuny2","People will die","chose program with exact outcome"
"4486",2484842,"qccuny2","People will be saved","chose program with exact outcome"
"4487",2484849,"qccuny2","People will be saved","chose program with probability outcome"
"4488",2484873,"qccuny2","People will die","chose program with exact outcome"
"4489",2486261,"qccuny2","People will die","chose program with probability outcome"
"4490",2486284,"qccuny2","People will die","chose program with exact outcome"
"4491",2486296,"qccuny2","People will be saved","chose program with exact outcome"
"4492",2486966,"qccuny2","People will be saved","chose program with exact outcome"
"4493",2486976,"qccuny2","People will die","chose program with probability outcome"
"4494",2486984,"qccuny2","People will die","chose program with probability outcome"
"4495",2491919,"qccuny2","People will die","chose program with exact outcome"
"4496",2491962,"qccuny2","People will be saved","chose program with exact outcome"
"4497",2491966,"qccuny2","People will be saved","chose program with probability outcome"
"4498",2491968,"qccuny2","People will be saved","chose program with probability outcome"
"4499",2492034,"qccuny2","People will die","chose program with probability outcome"
"4500",2492042,"qccuny2","People will be saved","chose program with exact outcome"
"4501",2492080,"qccuny2","People will die","chose program with exact outcome"
"4502",2492082,"qccuny2","People will die","chose program with probability outcome"
"4503",2492115,"qccuny2","People will be saved","chose program with exact outcome"
"4504",2492153,"qccuny2","People will be saved","chose program with probability outcome"
"4505",2492273,"qccuny2","People will be saved","chose program with exact outcome"
"4506",2492344,"qccuny2","People will die","chose program with probability outcome"
"4507",2492389,"qccuny2","People will be saved","chose program with exact outcome"
"4508",2492398,"qccuny2","People will die","chose program with probability outcome"
"4509",2492400,"qccuny2","People will die","chose program with probability outcome"
"4510",2492408,"qccuny2","People will die","chose program with probability outcome"
"4511",2493524,"qccuny2","People will be saved","chose program with exact outcome"
"4512",2493652,"qccuny2","People will die","chose program with probability outcome"
"4513",2493656,"qccuny2","People will be saved","chose program with exact outcome"
"4514",2495872,"qccuny2","People will be saved","chose program with exact outcome"
"4515",2495975,"qccuny2","People will be saved","chose program with exact outcome"
"4516",2495984,"qccuny2","People will die","chose program with probability outcome"
"4517",2496323,"qccuny2","People will die","chose program with exact outcome"
"4518",2496332,"qccuny2","People will be saved","chose program with exact outcome"
