"","session_id","referrer","gainlossgroup","gainlossDV"
"4520",2436706,"sdsu","People will be saved","chose program with probability outcome"
"4521",2436967,"sdsu","People will die","chose program with probability outcome"
"4522",2440429,"sdsu","People will die","chose program with probability outcome"
"4523",2440430,"sdsu","People will die","chose program with probability outcome"
"4524",2440431,"sdsu","People will be saved","chose program with exact outcome"
"4525",2440596,"sdsu","People will be saved","chose program with exact outcome"
"4526",2440598,"sdsu","People will be saved","chose program with exact outcome"
"4527",2440621,"sdsu","People will be saved","chose program with probability outcome"
"4528",2440623,"sdsu","People will be saved","chose program with probability outcome"
"4529",2440733,"sdsu","People will die","chose program with probability outcome"
"4530",2440734,"sdsu","People will die","chose program with probability outcome"
"4531",2440737,"sdsu","People will die","chose program with exact outcome"
"4532",2440740,"sdsu","People will die","chose program with probability outcome"
"4533",2440881,"sdsu","People will be saved","chose program with exact outcome"
"4534",2440883,"sdsu","People will die","chose program with exact outcome"
"4535",2440885,"sdsu","People will die","chose program with probability outcome"
"4536",2443108,"sdsu","People will die","chose program with probability outcome"
"4537",2443109,"sdsu","People will be saved","chose program with exact outcome"
"4538",2443110,"sdsu","People will be saved","chose program with exact outcome"
"4539",2443367,"sdsu","People will be saved","chose program with probability outcome"
"4540",2443371,"sdsu","People will be saved","chose program with exact outcome"
"4541",2443373,"sdsu","People will be saved","chose program with exact outcome"
"4542",2443376,"sdsu","People will die","chose program with probability outcome"
"4543",2443761,"sdsu","People will be saved","chose program with exact outcome"
"4544",2443763,"sdsu","People will be saved","chose program with exact outcome"
"4545",2443765,"sdsu","People will be saved","chose program with probability outcome"
"4546",2443767,"sdsu","People will be saved","chose program with exact outcome"
"4547",2443879,"sdsu","People will die","chose program with exact outcome"
"4548",2443882,"sdsu","People will die","chose program with exact outcome"
"4549",2443886,"sdsu","People will be saved","chose program with exact outcome"
"4550",2443887,"sdsu","People will die","chose program with exact outcome"
"4551",2445906,"sdsu","People will die","chose program with probability outcome"
"4552",2445908,"sdsu","People will die","chose program with exact outcome"
"4553",2445912,"sdsu","People will be saved","chose program with exact outcome"
"4554",2445951,"sdsu","People will die","chose program with probability outcome"
"4556",2446072,"sdsu","People will die","chose program with exact outcome"
"4557",2446074,"sdsu","People will be saved","chose program with exact outcome"
"4558",2446076,"sdsu","People will be saved","chose program with exact outcome"
"4559",2447580,"sdsu","People will die","chose program with probability outcome"
"4560",2447581,"sdsu","People will die","chose program with probability outcome"
"4561",2447582,"sdsu","People will die","chose program with probability outcome"
"4562",2447591,"sdsu","People will be saved","chose program with exact outcome"
"4563",2447692,"sdsu","People will die","chose program with probability outcome"
"4564",2447693,"sdsu","People will be saved","chose program with exact outcome"
"4565",2447744,"sdsu","People will be saved","chose program with exact outcome"
"4566",2447904,"sdsu","People will be saved","chose program with probability outcome"
"4567",2447907,"sdsu","People will die","chose program with exact outcome"
"4568",2448199,"sdsu","People will die","chose program with probability outcome"
"4569",2448201,"sdsu","People will be saved","chose program with exact outcome"
"4570",2448202,"sdsu","People will be saved","chose program with exact outcome"
"4571",2448203,"sdsu","People will be saved","chose program with exact outcome"
"4572",2448352,"sdsu","People will be saved","chose program with exact outcome"
"4573",2448354,"sdsu","People will die","chose program with probability outcome"
"4574",2448355,"sdsu","People will be saved","chose program with exact outcome"
"4575",2448359,"sdsu","People will die","chose program with exact outcome"
"4576",2448429,"sdsu","People will be saved","chose program with exact outcome"
"4577",2448430,"sdsu","People will die","chose program with probability outcome"
"4578",2448433,"sdsu","People will be saved","chose program with exact outcome"
"4579",2452411,"sdsu","People will die","chose program with probability outcome"
"4580",2452413,"sdsu","People will be saved","chose program with probability outcome"
"4581",2452422,"sdsu","People will die","chose program with probability outcome"
"4582",2452479,"sdsu","People will die","chose program with exact outcome"
"4583",2452480,"sdsu","People will die","chose program with probability outcome"
"4584",2452481,"sdsu","People will die","chose program with exact outcome"
"4585",2452747,"sdsu","People will die","chose program with probability outcome"
"4586",2452749,"sdsu","People will die","chose program with probability outcome"
"4587",2452750,"sdsu","People will die","chose program with exact outcome"
"4588",2452842,"sdsu","People will be saved","chose program with probability outcome"
"4589",2452844,"sdsu","People will die","chose program with probability outcome"
"4590",2452845,"sdsu","People will die","chose program with exact outcome"
"4591",2452849,"sdsu","People will die","chose program with probability outcome"
"4592",2452928,"sdsu","People will die","chose program with exact outcome"
"4593",2452930,"sdsu","People will be saved","chose program with exact outcome"
"4594",2452931,"sdsu","People will be saved","chose program with probability outcome"
"4595",2452932,"sdsu","People will die","chose program with exact outcome"
"4596",2454751,"sdsu","People will die","chose program with exact outcome"
"4597",2454752,"sdsu","People will be saved","chose program with probability outcome"
"4598",2454753,"sdsu","People will die","chose program with probability outcome"
"4599",2455017,"sdsu","People will die","chose program with exact outcome"
"4600",2455019,"sdsu","People will be saved","chose program with exact outcome"
"4601",2455106,"sdsu","People will die","chose program with exact outcome"
"4602",2455109,"sdsu","People will be saved","chose program with exact outcome"
"4603",2455110,"sdsu","People will die","chose program with probability outcome"
"4604",2455111,"sdsu","People will die","chose program with exact outcome"
"4605",2456774,"sdsu","People will be saved","chose program with exact outcome"
"4606",2456780,"sdsu","People will die","chose program with exact outcome"
"4607",2456782,"sdsu","People will die","chose program with probability outcome"
"4608",2456795,"sdsu","People will die","chose program with exact outcome"
"4609",2456913,"sdsu","People will be saved","chose program with probability outcome"
"4610",2456914,"sdsu","People will be saved","chose program with probability outcome"
"4611",2456915,"sdsu","People will die","chose program with exact outcome"
"4612",2456917,"sdsu","People will be saved","chose program with probability outcome"
"4613",2457079,"sdsu","People will be saved","chose program with exact outcome"
"4614",2457081,"sdsu","People will be saved","chose program with exact outcome"
"4615",2457083,"sdsu","People will be saved","chose program with exact outcome"
"4616",2457192,"sdsu","People will die","chose program with probability outcome"
"4617",2457193,"sdsu","People will die","chose program with probability outcome"
"4618",2457195,"sdsu","People will be saved","chose program with probability outcome"
"4619",2457197,"sdsu","People will be saved","chose program with exact outcome"
"4620",2457342,"sdsu","People will be saved","chose program with exact outcome"
"4621",2457345,"sdsu","People will die","chose program with probability outcome"
"4622",2457348,"sdsu","People will die","chose program with probability outcome"
"4623",2457350,"sdsu","People will die","chose program with probability outcome"
"4624",2458806,"sdsu","People will die","chose program with probability outcome"
"4625",2458808,"sdsu","People will be saved","chose program with probability outcome"
"4626",2458811,"sdsu","People will die","chose program with exact outcome"
"4627",2458812,"sdsu","People will be saved","chose program with exact outcome"
"4628",2458913,"sdsu","People will be saved","chose program with probability outcome"
"4629",2458914,"sdsu","People will be saved","chose program with probability outcome"
"4630",2458915,"sdsu","People will be saved","chose program with probability outcome"
"4631",2458916,"sdsu","People will be saved","chose program with probability outcome"
"4632",2461397,"sdsu","People will be saved","chose program with probability outcome"
"4633",2461398,"sdsu","People will die","chose program with exact outcome"
"4634",2461402,"sdsu","People will die","chose program with probability outcome"
"4635",2461621,"sdsu","People will be saved","chose program with exact outcome"
"4636",2461625,"sdsu","People will be saved","chose program with probability outcome"
"4637",2461629,"sdsu","People will die","chose program with probability outcome"
"4638",2461892,"sdsu","People will be saved","chose program with probability outcome"
"4639",2461893,"sdsu","People will be saved","chose program with exact outcome"
"4640",2461894,"sdsu","People will die","chose program with exact outcome"
"4641",2461895,"sdsu","People will be saved","chose program with exact outcome"
"4642",2462430,"sdsu","People will be saved","chose program with exact outcome"
"4643",2462431,"sdsu","People will be saved","chose program with exact outcome"
"4644",2462432,"sdsu","People will die","chose program with exact outcome"
"4645",2462434,"sdsu","People will die","chose program with probability outcome"
"4646",2462501,"sdsu","People will die","chose program with probability outcome"
"4647",2462503,"sdsu","People will die","chose program with exact outcome"
"4648",2462505,"sdsu","People will die","chose program with exact outcome"
"4649",2462572,"sdsu","People will die","chose program with exact outcome"
"4650",2462573,"sdsu","People will be saved","chose program with probability outcome"
"4651",2462574,"sdsu","People will die","chose program with exact outcome"
"4652",2462575,"sdsu","People will die","chose program with probability outcome"
"4653",2466137,"sdsu","People will die","chose program with probability outcome"
"4654",2466138,"sdsu","People will be saved","chose program with exact outcome"
"4655",2466142,"sdsu","People will be saved","chose program with exact outcome"
"4656",2466152,"sdsu","People will die","chose program with probability outcome"
"4657",2466236,"sdsu","People will die","chose program with probability outcome"
"4658",2466240,"sdsu","People will be saved","chose program with exact outcome"
"4659",2466241,"sdsu","People will be saved","chose program with probability outcome"
"4660",2466441,"sdsu","People will die","chose program with probability outcome"
"4661",2466442,"sdsu","People will be saved","chose program with exact outcome"
"4662",2466443,"sdsu","People will die","chose program with exact outcome"
"4663",2466547,"sdsu","People will be saved","chose program with exact outcome"
"4664",2466548,"sdsu","People will be saved","chose program with probability outcome"
"4665",2466549,"sdsu","People will be saved","chose program with exact outcome"
"4666",2466635,"sdsu","People will be saved","chose program with exact outcome"
"4667",2466638,"sdsu","People will be saved","chose program with probability outcome"
"4668",2468204,"sdsu","People will be saved","chose program with exact outcome"
"4669",2468205,"sdsu","People will be saved","chose program with probability outcome"
"4670",2468206,"sdsu","People will die","chose program with exact outcome"
"4671",2468345,"sdsu","People will be saved","chose program with probability outcome"
"4672",2468347,"sdsu","People will be saved","chose program with probability outcome"
"4673",2468348,"sdsu","People will die","chose program with probability outcome"
"4674",2468350,"sdsu","People will die","chose program with probability outcome"
"4675",2468450,"sdsu","People will be saved","chose program with exact outcome"
"4676",2468451,"sdsu","People will die","chose program with probability outcome"
"4677",2468454,"sdsu","People will die","chose program with probability outcome"
"4678",2468534,"sdsu","People will die","chose program with exact outcome"
"4679",2468536,"sdsu","People will be saved","chose program with probability outcome"
"4680",2468538,"sdsu","People will die","chose program with exact outcome"
"4681",2468539,"sdsu","People will be saved","chose program with exact outcome"
