"","session_id","referrer","gainlossgroup","gainlossDV"
"4761",2435230,"swpson","People will die","chose program with probability outcome"
"4762",2435236,"swpson","People will die","chose program with exact outcome"
"4763",2435237,"swpson","People will be saved","chose program with probability outcome"
"4764",2435239,"swpson","People will die","chose program with probability outcome"
"4765",2435240,"swpson","People will be saved","chose program with probability outcome"
"4766",2435243,"swpson","People will be saved","chose program with probability outcome"
"4767",2435245,"swpson","People will die","chose program with probability outcome"
"4768",2435247,"swpson","People will die","chose program with probability outcome"
"4769",2435249,"swpson","People will be saved","chose program with probability outcome"
"4770",2435256,"swpson","People will die","chose program with probability outcome"
"4771",2435258,"swpson","People will die","chose program with exact outcome"
"4772",2435262,"swpson","People will die","chose program with probability outcome"
"4773",2435274,"swpson","People will be saved","chose program with probability outcome"
"4774",2435279,"swpson","People will be saved","chose program with probability outcome"
"4775",2435283,"swpson","People will be saved","chose program with probability outcome"
"4776",2435301,"swpson","People will be saved","chose program with probability outcome"
"4777",2435303,"swpson","People will be saved","chose program with exact outcome"
"4778",2435307,"swpson","People will be saved","chose program with exact outcome"
"4779",2435319,"swpson","People will be saved","chose program with probability outcome"
"4780",2435320,"swpson","People will die","chose program with probability outcome"
"4781",2435371,"swpson","People will be saved","chose program with probability outcome"
"4782",2435417,"swpson","People will die","chose program with probability outcome"
"4783",2435424,"swpson","People will be saved","chose program with exact outcome"
"4784",2435430,"swpson","People will die","chose program with exact outcome"
"4785",2435433,"swpson","People will die","chose program with probability outcome"
"4787",2435464,"swpson","People will be saved","chose program with exact outcome"
"4788",2435472,"swpson","People will die","chose program with probability outcome"
"4789",2435540,"swpson","People will be saved","chose program with probability outcome"
"4790",2435554,"swpson","People will be saved","chose program with exact outcome"
"4791",2435619,"swpson","People will die","chose program with probability outcome"
"4792",2435653,"swpson","People will die","chose program with probability outcome"
"4793",2435695,"swpson","People will die","chose program with exact outcome"
"4794",2435842,"swpson","People will die","chose program with probability outcome"
"4795",2435851,"swpson","People will be saved","chose program with probability outcome"
"4796",2435854,"swpson","People will die","chose program with exact outcome"
"4797",2435895,"swpson","People will die","chose program with probability outcome"
"4799",2435961,"swpson","People will be saved","chose program with exact outcome"
"4800",2435964,"swpson","People will be saved","chose program with probability outcome"
"4801",2436064,"swpson","People will die","chose program with probability outcome"
"4802",2436403,"swpson","People will die","chose program with probability outcome"
"4803",2436426,"swpson","People will die","chose program with probability outcome"
"4804",2436504,"swpson","People will die","chose program with probability outcome"
"4805",2436551,"swpson","People will die","chose program with probability outcome"
"4806",2438531,"swpson","People will be saved","chose program with exact outcome"
"4807",2438839,"swpson","People will die","chose program with probability outcome"
"4808",2438844,"swpson","People will die","chose program with probability outcome"
"4809",2438847,"swpson","People will die","chose program with probability outcome"
"4810",2439394,"swpson","People will be saved","chose program with exact outcome"
"4811",2439453,"swpson","People will die","chose program with probability outcome"
"4812",2439491,"swpson","People will be saved","chose program with exact outcome"
"4813",2439602,"swpson","People will die","chose program with exact outcome"
"4814",2439734,"swpson","People will be saved","chose program with exact outcome"
"4815",2439750,"swpson","People will die","chose program with probability outcome"
"4816",2439756,"swpson","People will be saved","chose program with probability outcome"
"4817",2439810,"swpson","People will be saved","chose program with exact outcome"
"4818",2439812,"swpson","People will die","chose program with probability outcome"
"4819",2440011,"swpson","People will be saved","chose program with probability outcome"
"4820",2440042,"swpson","People will die","chose program with probability outcome"
"4821",2440045,"swpson","People will be saved","chose program with probability outcome"
"4822",2440083,"swpson","People will be saved","chose program with probability outcome"
"4823",2440139,"swpson","People will be saved","chose program with probability outcome"
"4824",2440298,"swpson","People will die","chose program with exact outcome"
"4825",2440371,"swpson","People will be saved","chose program with exact outcome"
"4826",2441860,"swpson","People will be saved","chose program with probability outcome"
"4827",2441985,"swpson","People will be saved","chose program with exact outcome"
"4828",2442005,"swpson","People will die","chose program with exact outcome"
"4829",2442014,"swpson","People will die","chose program with probability outcome"
"4830",2442029,"swpson","People will die","chose program with exact outcome"
"4831",2442034,"swpson","People will die","chose program with probability outcome"
"4832",2442091,"swpson","People will be saved","chose program with exact outcome"
"4833",2442112,"swpson","People will die","chose program with probability outcome"
"4834",2442170,"swpson","People will be saved","chose program with probability outcome"
"4835",2442182,"swpson","People will die","chose program with probability outcome"
"4836",2442192,"swpson","People will be saved","chose program with exact outcome"
"4837",2442193,"swpson","People will die","chose program with probability outcome"
"4838",2442197,"swpson","People will die","chose program with probability outcome"
"4839",2442205,"swpson","People will be saved","chose program with probability outcome"
"4840",2442973,"swpson","People will be saved","chose program with exact outcome"
"4841",2443181,"swpson","People will be saved","chose program with exact outcome"
"4842",2443337,"swpson","People will die","chose program with exact outcome"
"4843",2443603,"swpson","People will be saved","chose program with exact outcome"
"4844",2443849,"swpson","People will die","chose program with probability outcome"
"4845",2445068,"swpson","People will be saved","chose program with exact outcome"
"4846",2445072,"swpson","People will die","chose program with probability outcome"
"4847",2445074,"swpson","People will be saved","chose program with exact outcome"
"4848",2445081,"swpson","People will be saved","chose program with probability outcome"
"4849",2445082,"swpson","People will be saved","chose program with probability outcome"
"4850",2445092,"swpson","People will die","chose program with probability outcome"
"4851",2445093,"swpson","People will die","chose program with probability outcome"
"4852",2445094,"swpson","People will be saved","chose program with probability outcome"
"4853",2445097,"swpson","People will die","chose program with probability outcome"
"4854",2445099,"swpson","People will be saved","chose program with exact outcome"
"4855",2445104,"swpson","People will die","chose program with probability outcome"
"4856",2445107,"swpson","People will be saved","chose program with exact outcome"
"4857",2445108,"swpson","People will die","chose program with probability outcome"
"4858",2445110,"swpson","People will die","chose program with probability outcome"
"4860",2445118,"swpson","People will die","chose program with probability outcome"
"4861",2445125,"swpson","People will be saved","chose program with exact outcome"
"4862",2445131,"swpson","People will die","chose program with probability outcome"
"4863",2445133,"swpson","People will be saved","chose program with exact outcome"
"4864",2445166,"swpson","People will die","chose program with exact outcome"
"4865",2445167,"swpson","People will die","chose program with exact outcome"
"4866",2445174,"swpson","People will die","chose program with probability outcome"
"4867",2445175,"swpson","People will be saved","chose program with exact outcome"
"4868",2445227,"swpson","People will die","chose program with exact outcome"
"4869",2445305,"swpson","People will be saved","chose program with exact outcome"
"4870",2445310,"swpson","People will die","chose program with probability outcome"
