"","session_id","referrer","gainlossgroup","gainlossDV"
"5636",2479466,"unipd","People will be saved","chose program with exact outcome"
"5637",2481208,"unipd","People will be saved","chose program with exact outcome"
"5638",2481277,"unipd","People will be saved","chose program with exact outcome"
"5639",2481290,"unipd","People will be saved","chose program with probability outcome"
"5640",2481300,"unipd","People will be saved","chose program with exact outcome"
"5641",2481329,"unipd","People will die","chose program with probability outcome"
"5642",2481381,"unipd","People will be saved","chose program with probability outcome"
"5643",2481594,"unipd","People will be saved","chose program with exact outcome"
"5644",2481642,"unipd","People will be saved","chose program with exact outcome"
"5645",2481650,"unipd","People will be saved","chose program with exact outcome"
"5646",2481666,"unipd","People will be saved","chose program with exact outcome"
"5647",2481669,"unipd","People will be saved","chose program with probability outcome"
"5648",2481678,"unipd","People will die","chose program with probability outcome"
"5649",2481688,"unipd","People will be saved","chose program with exact outcome"
"5650",2481705,"unipd","People will be saved","chose program with probability outcome"
"5651",2481724,"unipd","People will be saved","chose program with exact outcome"
"5652",2481736,"unipd","People will die","chose program with exact outcome"
"5653",2481756,"unipd","People will die","chose program with probability outcome"
"5654",2481761,"unipd","People will be saved","chose program with probability outcome"
"5655",2481762,"unipd","People will be saved","chose program with exact outcome"
"5656",2481766,"unipd","People will die","chose program with probability outcome"
"5657",2481772,"unipd","People will be saved","chose program with probability outcome"
"5658",2481780,"unipd","People will die","chose program with probability outcome"
"5659",2481795,"unipd","People will be saved","chose program with exact outcome"
"5660",2481809,"unipd","People will be saved","chose program with exact outcome"
"5661",2481814,"unipd","People will die","chose program with exact outcome"
"5662",2481863,"unipd","People will be saved","chose program with probability outcome"
"5663",2481866,"unipd","People will be saved","chose program with probability outcome"
"5664",2481867,"unipd","People will be saved","chose program with exact outcome"
"5665",2481915,"unipd","People will be saved","chose program with exact outcome"
"5666",2481937,"unipd","People will die","chose program with probability outcome"
"5667",2482069,"unipd","People will be saved","chose program with exact outcome"
"5668",2482157,"unipd","People will die","chose program with probability outcome"
"5669",2482162,"unipd","People will die","chose program with exact outcome"
"5670",2482188,"unipd","People will die","chose program with exact outcome"
"5671",2482220,"unipd","People will die","chose program with probability outcome"
"5672",2482247,"unipd","People will be saved","chose program with exact outcome"
"5673",2482249,"unipd","People will die","chose program with probability outcome"
"5674",2482262,"unipd","People will be saved","chose program with exact outcome"
"5675",2482438,"unipd","People will be saved","chose program with exact outcome"
"5676",2482453,"unipd","People will be saved","chose program with exact outcome"
"5677",2482461,"unipd","People will die","chose program with probability outcome"
"5678",2482476,"unipd","People will die","chose program with probability outcome"
"5679",2482519,"unipd","People will be saved","chose program with probability outcome"
"5680",2482591,"unipd","People will die","chose program with exact outcome"
"5681",2482626,"unipd","People will die","chose program with probability outcome"
"5682",2482641,"unipd","People will die","chose program with probability outcome"
"5683",2482777,"unipd","People will be saved","chose program with exact outcome"
"5684",2482864,"unipd","People will be saved","chose program with probability outcome"
"5685",2483502,"unipd","People will be saved","chose program with probability outcome"
"5686",2483553,"unipd","People will die","chose program with exact outcome"
"5687",2483595,"unipd","People will die","chose program with probability outcome"
"5688",2483612,"unipd","People will be saved","chose program with probability outcome"
"5689",2483629,"unipd","People will be saved","chose program with exact outcome"
"5690",2483770,"unipd","People will die","chose program with probability outcome"
"5691",2483791,"unipd","People will be saved","chose program with exact outcome"
"5692",2483792,"unipd","People will die","chose program with probability outcome"
"5693",2483871,"unipd","People will die","chose program with probability outcome"
"5694",2483932,"unipd","People will be saved","chose program with exact outcome"
"5695",2483985,"unipd","People will die","chose program with probability outcome"
"5696",2484019,"unipd","People will be saved","chose program with probability outcome"
"5697",2484059,"unipd","People will be saved","chose program with exact outcome"
"5698",2484318,"unipd","People will be saved","chose program with probability outcome"
"5699",2484326,"unipd","People will be saved","chose program with probability outcome"
"5700",2484426,"unipd","People will be saved","chose program with exact outcome"
"5701",2484434,"unipd","People will die","chose program with probability outcome"
"5702",2484464,"unipd","People will die","chose program with exact outcome"
"5703",2484467,"unipd","People will be saved","chose program with probability outcome"
"5704",2484491,"unipd","People will die","chose program with probability outcome"
"5705",2484505,"unipd","People will die","chose program with probability outcome"
"5706",2484642,"unipd","People will be saved","chose program with probability outcome"
"5707",2484702,"unipd","People will die","chose program with probability outcome"
"5708",2484722,"unipd","People will die","chose program with probability outcome"
"5709",2484843,"unipd","People will die","chose program with probability outcome"
"5710",2484977,"unipd","People will be saved","chose program with exact outcome"
"5711",2485013,"unipd","People will be saved","chose program with exact outcome"
"5712",2485029,"unipd","People will die","chose program with probability outcome"
"5713",2485084,"unipd","People will be saved","chose program with probability outcome"
"5714",2485107,"unipd","People will be saved","chose program with probability outcome"
"5715",2485579,"unipd","People will die","chose program with probability outcome"
"5716",2485979,"unipd","People will be saved","chose program with exact outcome"
"5717",2485980,"unipd","People will be saved","chose program with probability outcome"
"5718",2485997,"unipd","People will be saved","chose program with exact outcome"
"5719",2486001,"unipd","People will die","chose program with probability outcome"
"5720",2486003,"unipd","People will be saved","chose program with probability outcome"
"5721",2486015,"unipd","People will be saved","chose program with probability outcome"
"5722",2486023,"unipd","People will die","chose program with probability outcome"
"5723",2486027,"unipd","People will be saved","chose program with probability outcome"
"5724",2486037,"unipd","People will be saved","chose program with exact outcome"
"5725",2486040,"unipd","People will be saved","chose program with exact outcome"
"5726",2486108,"unipd","People will die","chose program with probability outcome"
"5727",2486115,"unipd","People will die","chose program with probability outcome"
"5728",2486145,"unipd","People will be saved","chose program with exact outcome"
"5729",2486157,"unipd","People will die","chose program with exact outcome"
"5730",2486158,"unipd","People will die","chose program with probability outcome"
"5731",2486167,"unipd","People will die","chose program with probability outcome"
"5732",2486181,"unipd","People will die","chose program with probability outcome"
"5734",2486204,"unipd","People will be saved","chose program with probability outcome"
"5735",2486230,"unipd","People will be saved","chose program with exact outcome"
"5736",2486263,"unipd","People will be saved","chose program with exact outcome"
"5737",2486285,"unipd","People will be saved","chose program with exact outcome"
"5738",2486620,"unipd","People will be saved","chose program with exact outcome"
"5739",2486678,"unipd","People will die","chose program with probability outcome"
"5740",2486682,"unipd","People will die","chose program with probability outcome"
"5741",2486702,"unipd","People will be saved","chose program with exact outcome"
"5742",2486982,"unipd","People will die","chose program with exact outcome"
"5743",2487020,"unipd","People will be saved","chose program with probability outcome"
"5744",2487026,"unipd","People will die","chose program with probability outcome"
"5745",2487058,"unipd","People will be saved","chose program with exact outcome"
"5746",2487140,"unipd","People will be saved","chose program with exact outcome"
"5747",2487183,"unipd","People will die","chose program with probability outcome"
"5748",2487244,"unipd","People will be saved","chose program with probability outcome"
"5749",2487591,"unipd","People will die","chose program with probability outcome"
"5750",2487605,"unipd","People will be saved","chose program with exact outcome"
"5751",2487621,"unipd","People will die","chose program with exact outcome"
"5752",2487622,"unipd","People will be saved","chose program with exact outcome"
"5753",2487624,"unipd","People will die","chose program with exact outcome"
"5754",2487632,"unipd","People will be saved","chose program with exact outcome"
"5755",2487640,"unipd","People will die","chose program with probability outcome"
"5756",2487668,"unipd","People will be saved","chose program with probability outcome"
"5757",2487815,"unipd","People will be saved","chose program with probability outcome"
"5758",2487825,"unipd","People will be saved","chose program with probability outcome"
"5759",2487830,"unipd","People will be saved","chose program with exact outcome"
"5760",2487891,"unipd","People will die","chose program with probability outcome"
"5761",2487978,"unipd","People will die","chose program with exact outcome"
"5762",2488018,"unipd","People will die","chose program with probability outcome"
"5763",2488497,"unipd","People will be saved","chose program with probability outcome"
"5764",2488508,"unipd","People will be saved","chose program with probability outcome"
"5765",2488532,"unipd","People will die","chose program with probability outcome"
"5766",2488542,"unipd","People will be saved","chose program with exact outcome"
"5767",2488545,"unipd","People will die","chose program with probability outcome"
"5768",2488556,"unipd","People will die","chose program with probability outcome"
"5769",2488614,"unipd","People will be saved","chose program with probability outcome"
"5770",2488655,"unipd","People will be saved","chose program with exact outcome"
"5771",2488731,"unipd","People will be saved","chose program with exact outcome"
"5772",2488886,"unipd","People will die","chose program with probability outcome"
"5773",2489769,"unipd","People will die","chose program with probability outcome"
"5774",2489807,"unipd","People will die","chose program with probability outcome"
"5775",2489876,"unipd","People will die","chose program with probability outcome"
"5776",2490054,"unipd","People will be saved","chose program with probability outcome"
"5777",2490369,"unipd","People will be saved","chose program with exact outcome"
"5778",2491671,"unipd","People will be saved","chose program with probability outcome"
"5779",2493475,"unipd","People will die","chose program with probability outcome"
