"","session_id","referrer","gainlossgroup","gainlossDV"
"5780",2443384,"uva","People will die","chose program with probability outcome"
"5781",2443392,"uva","People will be saved","chose program with probability outcome"
"5782",2443401,"uva","People will die","chose program with probability outcome"
"5783",2443436,"uva","People will be saved","chose program with exact outcome"
"5784",2443445,"uva","People will die","chose program with exact outcome"
"5785",2443449,"uva","People will die","chose program with probability outcome"
"5786",2443485,"uva","People will die","chose program with exact outcome"
"5787",2443494,"uva","People will die","chose program with probability outcome"
"5788",2443583,"uva","People will die","chose program with probability outcome"
"5789",2443625,"uva","People will be saved","chose program with probability outcome"
"5790",2443643,"uva","People will die","chose program with probability outcome"
"5791",2443646,"uva","People will be saved","chose program with exact outcome"
"5792",2443669,"uva","People will die","chose program with probability outcome"
"5793",2456535,"uva","People will die","chose program with probability outcome"
"5794",2456539,"uva","People will be saved","chose program with exact outcome"
"5796",2456550,"uva","People will die","chose program with probability outcome"
"5797",2456616,"uva","People will be saved","chose program with probability outcome"
"5798",2456620,"uva","People will be saved","chose program with exact outcome"
"5799",2456621,"uva","People will die","chose program with probability outcome"
"5800",2456649,"uva","People will die","chose program with probability outcome"
"5801",2456690,"uva","People will be saved","chose program with probability outcome"
"5802",2456696,"uva","People will die","chose program with exact outcome"
"5803",2456699,"uva","People will die","chose program with probability outcome"
"5804",2456709,"uva","People will be saved","chose program with probability outcome"
"5805",2456741,"uva","People will be saved","chose program with exact outcome"
"5806",2456758,"uva","People will be saved","chose program with probability outcome"
"5807",2456762,"uva","People will be saved","chose program with exact outcome"
"5808",2456767,"uva","People will die","chose program with probability outcome"
"5809",2461896,"uva","People will be saved","chose program with exact outcome"
"5810",2461900,"uva","People will be saved","chose program with exact outcome"
"5811",2461901,"uva","People will die","chose program with probability outcome"
"5812",2461905,"uva","People will be saved","chose program with probability outcome"
"5813",2461947,"uva","People will die","chose program with probability outcome"
"5814",2461950,"uva","People will die","chose program with probability outcome"
"5815",2461952,"uva","People will die","chose program with exact outcome"
"5817",2462040,"uva","People will be saved","chose program with exact outcome"
"5818",2462051,"uva","People will be saved","chose program with exact outcome"
"5819",2462060,"uva","People will die","chose program with probability outcome"
"5820",2462122,"uva","People will die","chose program with exact outcome"
"5821",2493673,"uva","People will die","chose program with probability outcome"
"5822",2493676,"uva","People will die","chose program with exact outcome"
"5823",2493677,"uva","People will be saved","chose program with probability outcome"
"5824",2493724,"uva","People will be saved","chose program with exact outcome"
"5825",2493743,"uva","People will die","chose program with probability outcome"
"5826",2493783,"uva","People will be saved","chose program with probability outcome"
"5827",2493784,"uva","People will die","chose program with probability outcome"
"5828",2493797,"uva","People will be saved","chose program with exact outcome"
"5829",2493804,"uva","People will be saved","chose program with probability outcome"
"5830",2493811,"uva","People will be saved","chose program with exact outcome"
"5831",2493823,"uva","People will die","chose program with exact outcome"
"5832",2493824,"uva","People will die","chose program with probability outcome"
"5833",2493825,"uva","People will die","chose program with exact outcome"
"5834",2495929,"uva","People will die","chose program with probability outcome"
"5835",2495938,"uva","People will die","chose program with exact outcome"
"5836",2495940,"uva","People will be saved","chose program with probability outcome"
"5837",2495995,"uva","People will die","chose program with probability outcome"
"5838",2495998,"uva","People will be saved","chose program with exact outcome"
"5839",2496022,"uva","People will be saved","chose program with probability outcome"
"5840",2496027,"uva","People will die","chose program with probability outcome"
"5841",2497527,"uva","People will die","chose program with probability outcome"
"5842",2497532,"uva","People will be saved","chose program with exact outcome"
"5843",2497560,"uva","People will be saved","chose program with exact outcome"
"5844",2497563,"uva","People will die","chose program with probability outcome"
"5845",2497591,"uva","People will die","chose program with probability outcome"
"5846",2497596,"uva","People will die","chose program with probability outcome"
"5847",2497602,"uva","People will die","chose program with exact outcome"
"5848",2497609,"uva","People will be saved","chose program with exact outcome"
"5849",2497629,"uva","People will die","chose program with probability outcome"
"5850",2497633,"uva","People will die","chose program with probability outcome"
"5851",2497655,"uva","People will die","chose program with probability outcome"
"5852",2497672,"uva","People will be saved","chose program with exact outcome"
"5853",2503816,"uva","People will die","chose program with probability outcome"
"5854",2503817,"uva","People will be saved","chose program with exact outcome"
"5855",2503820,"uva","People will be saved","chose program with probability outcome"
"5856",2503821,"uva","People will be saved","chose program with exact outcome"
"5857",2503900,"uva","People will be saved","chose program with exact outcome"
"5858",2503903,"uva","People will be saved","chose program with probability outcome"
"5859",2503904,"uva","People will be saved","chose program with exact outcome"
"5860",2503907,"uva","People will die","chose program with probability outcome"
