"","session_id","referrer","gainlossgroup","gainlossDV"
"5861",2448165,"vcu","People will be saved","chose program with exact outcome"
"5862",2451793,"vcu","People will die","chose program with exact outcome"
"5863",2451903,"vcu","People will be saved","chose program with probability outcome"
"5864",2451987,"vcu","People will die","chose program with probability outcome"
"5865",2457829,"vcu","People will die","chose program with probability outcome"
"5866",2458789,"vcu","People will die","chose program with probability outcome"
"5867",2458795,"vcu","People will be saved","chose program with exact outcome"
"5868",2458799,"vcu","People will die","chose program with exact outcome"
"5869",2458838,"vcu","People will die","chose program with probability outcome"
"5870",2458840,"vcu","People will be saved","chose program with probability outcome"
"5871",2458846,"vcu","People will be saved","chose program with probability outcome"
"5872",2458891,"vcu","People will be saved","chose program with exact outcome"
"5873",2458896,"vcu","People will die","chose program with probability outcome"
"5874",2458907,"vcu","People will be saved","chose program with probability outcome"
"5875",2458917,"vcu","People will die","chose program with probability outcome"
"5876",2458939,"vcu","People will die","chose program with exact outcome"
"5877",2458963,"vcu","People will die","chose program with exact outcome"
"5878",2458993,"vcu","People will die","chose program with probability outcome"
"5879",2459055,"vcu","People will be saved","chose program with exact outcome"
"5880",2459062,"vcu","People will be saved","chose program with probability outcome"
"5881",2459110,"vcu","People will be saved","chose program with exact outcome"
"5882",2461604,"vcu","People will be saved","chose program with probability outcome"
"5883",2461607,"vcu","People will be saved","chose program with probability outcome"
"5884",2461614,"vcu","People will be saved","chose program with exact outcome"
"5885",2461714,"vcu","People will die","chose program with probability outcome"
"5886",2461716,"vcu","People will be saved","chose program with probability outcome"
"5887",2465635,"vcu","People will die","chose program with probability outcome"
"5888",2465638,"vcu","People will die","chose program with exact outcome"
"5889",2465639,"vcu","People will be saved","chose program with exact outcome"
"5890",2465710,"vcu","People will die","chose program with exact outcome"
"5891",2465711,"vcu","People will die","chose program with probability outcome"
"5892",2465713,"vcu","People will die","chose program with exact outcome"
"5893",2465756,"vcu","People will die","chose program with probability outcome"
"5894",2465758,"vcu","People will be saved","chose program with exact outcome"
"5895",2465793,"vcu","People will be saved","chose program with probability outcome"
"5896",2465826,"vcu","People will die","chose program with exact outcome"
"5897",2465946,"vcu","People will die","chose program with probability outcome"
"5898",2467333,"vcu","People will die","chose program with probability outcome"
"5899",2467427,"vcu","People will die","chose program with probability outcome"
"5900",2467490,"vcu","People will die","chose program with exact outcome"
"5901",2472268,"vcu","People will die","chose program with probability outcome"
"5902",2472270,"vcu","People will die","chose program with exact outcome"
"5903",2472311,"vcu","People will die","chose program with exact outcome"
"5904",2472313,"vcu","People will die","chose program with exact outcome"
"5905",2472314,"vcu","People will die","chose program with probability outcome"
"5906",2472424,"vcu","People will die","chose program with exact outcome"
"5908",2472461,"vcu","People will be saved","chose program with probability outcome"
"5909",2472484,"vcu","People will die","chose program with probability outcome"
"5910",2472527,"vcu","People will be saved","chose program with probability outcome"
"5911",2472533,"vcu","People will be saved","chose program with exact outcome"
"5912",2473443,"vcu","People will die","chose program with exact outcome"
"5913",2473491,"vcu","People will die","chose program with probability outcome"
"5914",2473628,"vcu","People will die","chose program with probability outcome"
"5915",2473629,"vcu","People will die","chose program with exact outcome"
"5916",2473630,"vcu","People will be saved","chose program with exact outcome"
"5917",2477381,"vcu","People will die","chose program with exact outcome"
"5918",2477384,"vcu","People will be saved","chose program with exact outcome"
"5919",2477392,"vcu","People will die","chose program with exact outcome"
"5920",2477407,"vcu","People will die","chose program with probability outcome"
"5921",2477432,"vcu","People will die","chose program with exact outcome"
"5922",2477481,"vcu","People will die","chose program with probability outcome"
"5923",2477552,"vcu","People will die","chose program with probability outcome"
"5924",2477553,"vcu","People will be saved","chose program with probability outcome"
"5925",2477608,"vcu","People will be saved","chose program with probability outcome"
"5926",2479419,"vcu","People will die","chose program with probability outcome"
"5927",2479456,"vcu","People will be saved","chose program with probability outcome"
"5928",2479459,"vcu","People will be saved","chose program with exact outcome"
"5929",2479461,"vcu","People will be saved","chose program with exact outcome"
"5930",2479491,"vcu","People will be saved","chose program with exact outcome"
"5931",2479492,"vcu","People will be saved","chose program with exact outcome"
"5932",2479551,"vcu","People will die","chose program with probability outcome"
"5933",2479552,"vcu","People will be saved","chose program with probability outcome"
"5934",2479556,"vcu","People will die","chose program with exact outcome"
"5935",2479606,"vcu","People will die","chose program with exact outcome"
"5936",2479607,"vcu","People will be saved","chose program with exact outcome"
"5937",2479610,"vcu","People will die","chose program with probability outcome"
"5938",2484393,"vcu","People will die","chose program with probability outcome"
"5939",2484394,"vcu","People will be saved","chose program with probability outcome"
"5940",2484409,"vcu","People will die","chose program with probability outcome"
"5941",2484479,"vcu","People will be saved","chose program with probability outcome"
"5942",2484583,"vcu","People will be saved","chose program with exact outcome"
"5943",2484584,"vcu","People will die","chose program with probability outcome"
"5944",2484605,"vcu","People will die","chose program with probability outcome"
"5945",2484731,"vcu","People will die","chose program with probability outcome"
"5946",2484821,"vcu","People will die","chose program with probability outcome"
"5947",2484823,"vcu","People will be saved","chose program with exact outcome"
"5948",2486359,"vcu","People will be saved","chose program with probability outcome"
"5949",2486360,"vcu","People will die","chose program with probability outcome"
"5950",2486471,"vcu","People will die","chose program with probability outcome"
"5951",2486800,"vcu","People will die","chose program with exact outcome"
"5952",2486813,"vcu","People will be saved","chose program with exact outcome"
"5953",2486820,"vcu","People will die","chose program with exact outcome"
"5954",2486838,"vcu","People will die","chose program with exact outcome"
"5955",2486843,"vcu","People will be saved","chose program with exact outcome"
"5956",2490264,"vcu","People will die","chose program with probability outcome"
"5957",2490265,"vcu","People will be saved","chose program with exact outcome"
"5958",2490268,"vcu","People will die","chose program with probability outcome"
"5959",2490275,"vcu","People will die","chose program with exact outcome"
"5960",2490276,"vcu","People will be saved","chose program with exact outcome"
"5961",2490281,"vcu","People will be saved","chose program with exact outcome"
"5962",2490326,"vcu","People will be saved","chose program with exact outcome"
"5963",2490327,"vcu","People will die","chose program with probability outcome"
"5964",2490328,"vcu","People will be saved","chose program with exact outcome"
"5965",2490371,"vcu","People will die","chose program with probability outcome"
"5966",2490398,"vcu","People will die","chose program with exact outcome"
"5967",2492269,"vcu","People will die","chose program with exact outcome"
"5968",2492270,"vcu","People will die","chose program with exact outcome"
