"","session_id","referrer","gainlossgroup","gainlossDV"
"6168",619630,"wl","People will be saved","chose program with exact outcome"
"6169",619631,"wl","People will be saved","chose program with exact outcome"
"6170",619674,"wl","People will die","chose program with probability outcome"
"6171",619812,"wl","People will be saved","chose program with exact outcome"
"6172",619813,"wl","People will be saved","chose program with probability outcome"
"6173",619814,"wl","People will be saved","chose program with exact outcome"
"6174",619815,"wl","People will die","chose program with probability outcome"
"6175",619816,"wl","People will die","chose program with exact outcome"
"6176",619817,"wl","People will die","chose program with probability outcome"
"6177",619818,"wl","People will die","chose program with exact outcome"
"6178",619819,"wl","People will die","chose program with exact outcome"
"6179",619820,"wl","People will die","chose program with exact outcome"
"6180",619821,"wl","People will be saved","chose program with exact outcome"
"6181",619823,"wl","People will die","chose program with exact outcome"
"6182",620180,"wl","People will be saved","chose program with exact outcome"
"6183",2402361,"wl","People will die","chose program with probability outcome"
"6184",2402364,"wl","People will be saved","chose program with exact outcome"
"6185",2402367,"wl","People will be saved","chose program with exact outcome"
"6186",2402609,"wl","People will be saved","chose program with probability outcome"
"6187",2407256,"wl","People will be saved","chose program with exact outcome"
"6188",2423119,"wl","People will die","chose program with exact outcome"
"6189",2423124,"wl","People will die","chose program with probability outcome"
"6190",2423129,"wl","People will be saved","chose program with exact outcome"
"6191",2423140,"wl","People will be saved","chose program with exact outcome"
"6192",2423146,"wl","People will die","chose program with exact outcome"
"6193",2423150,"wl","People will be saved","chose program with exact outcome"
"6194",2423158,"wl","People will die","chose program with probability outcome"
"6195",2423161,"wl","People will die","chose program with probability outcome"
"6196",2423162,"wl","People will die","chose program with exact outcome"
"6197",2423166,"wl","People will be saved","chose program with exact outcome"
"6198",2423175,"wl","People will die","chose program with probability outcome"
"6199",2423178,"wl","People will die","chose program with exact outcome"
"6200",2423187,"wl","People will die","chose program with exact outcome"
"6201",2423190,"wl","People will die","chose program with probability outcome"
"6202",2427277,"wl","People will be saved","chose program with probability outcome"
"6203",2427306,"wl","People will die","chose program with exact outcome"
"6204",2427312,"wl","People will die","chose program with probability outcome"
"6205",2427315,"wl","People will die","chose program with probability outcome"
"6206",2427318,"wl","People will be saved","chose program with probability outcome"
"6207",2427319,"wl","People will die","chose program with probability outcome"
"6208",2427320,"wl","People will be saved","chose program with probability outcome"
"6209",2427321,"wl","People will be saved","chose program with probability outcome"
"6210",2429800,"wl","People will be saved","chose program with exact outcome"
"6211",2429801,"wl","People will be saved","chose program with exact outcome"
"6212",2429807,"wl","People will be saved","chose program with probability outcome"
"6213",2429809,"wl","People will die","chose program with exact outcome"
"6214",2429812,"wl","People will be saved","chose program with exact outcome"
"6215",2429813,"wl","People will be saved","chose program with exact outcome"
"6216",2429816,"wl","People will be saved","chose program with probability outcome"
"6217",2429817,"wl","People will die","chose program with exact outcome"
"6218",2429818,"wl","People will be saved","chose program with exact outcome"
"6219",2429820,"wl","People will die","chose program with probability outcome"
"6220",2429823,"wl","People will die","chose program with probability outcome"
"6221",2429824,"wl","People will die","chose program with exact outcome"
"6222",2429826,"wl","People will die","chose program with exact outcome"
"6223",2429827,"wl","People will be saved","chose program with exact outcome"
"6224",2429830,"wl","People will be saved","chose program with exact outcome"
"6225",2431590,"wl","People will die","chose program with probability outcome"
"6226",2431595,"wl","People will be saved","chose program with probability outcome"
"6227",2431601,"wl","People will be saved","chose program with probability outcome"
"6228",2431607,"wl","People will die","chose program with probability outcome"
"6229",2431662,"wl","People will die","chose program with exact outcome"
"6230",2443981,"wl","People will be saved","chose program with exact outcome"
"6231",2447928,"wl","People will die","chose program with exact outcome"
"6232",2447956,"wl","People will die","chose program with probability outcome"
"6233",2454317,"wl","People will be saved","chose program with exact outcome"
"6234",2458555,"wl","People will die","chose program with exact outcome"
"6235",2459510,"wl","People will die","chose program with exact outcome"
"6236",2459512,"wl","People will die","chose program with probability outcome"
"6237",2459514,"wl","People will die","chose program with probability outcome"
"6238",2459517,"wl","People will die","chose program with exact outcome"
"6239",2459520,"wl","People will die","chose program with exact outcome"
"6240",2459588,"wl","People will be saved","chose program with exact outcome"
"6241",2462162,"wl","People will die","chose program with probability outcome"
"6242",2462166,"wl","People will die","chose program with exact outcome"
"6243",2466078,"wl","People will be saved","chose program with exact outcome"
"6244",2479546,"wl","People will be saved","chose program with exact outcome"
"6245",2479565,"wl","People will be saved","chose program with exact outcome"
"6246",2479845,"wl","People will die","chose program with probability outcome"
"6247",2479851,"wl","People will die","chose program with probability outcome"
"6248",2479861,"wl","People will be saved","chose program with exact outcome"
"6249",2479943,"wl","People will be saved","chose program with probability outcome"
"6250",2480471,"wl","People will die","chose program with probability outcome"
"6251",2480476,"wl","People will die","chose program with exact outcome"
"6252",2480478,"wl","People will be saved","chose program with exact outcome"
"6253",2480480,"wl","People will be saved","chose program with exact outcome"
"6254",2480482,"wl","People will die","chose program with probability outcome"
"6255",2480484,"wl","People will die","chose program with probability outcome"
"6256",2481270,"wl","People will be saved","chose program with probability outcome"
"6257",2481507,"wl","People will be saved","chose program with exact outcome"
