"","session_id","referrer","gainlossgroup","gainlossDV"
"6065",2401013,"wku","People will die","chose program with exact outcome"
"6066",2401059,"wku","People will die","chose program with probability outcome"
"6067",2401273,"wku","People will be saved","chose program with exact outcome"
"6068",2401275,"wku","People will be saved","chose program with probability outcome"
"6069",2401277,"wku","People will die","chose program with probability outcome"
"6070",2401278,"wku","People will die","chose program with probability outcome"
"6071",2401294,"wku","People will die","chose program with probability outcome"
"6072",2401426,"wku","People will die","chose program with probability outcome"
"6073",2411348,"wku","People will die","chose program with exact outcome"
"6074",2411349,"wku","People will be saved","chose program with exact outcome"
"6075",2411350,"wku","People will be saved","chose program with exact outcome"
"6076",2411352,"wku","People will be saved","chose program with exact outcome"
"6077",2411472,"wku","People will die","chose program with exact outcome"
"6078",2411473,"wku","People will be saved","chose program with exact outcome"
"6079",2411474,"wku","People will be saved","chose program with probability outcome"
"6080",2411475,"wku","People will die","chose program with probability outcome"
"6081",2411479,"wku","People will die","chose program with exact outcome"
"6082",2411560,"wku","People will die","chose program with probability outcome"
"6083",2411561,"wku","People will be saved","chose program with exact outcome"
"6084",2411562,"wku","People will be saved","chose program with exact outcome"
"6085",2411564,"wku","People will be saved","chose program with exact outcome"
"6086",2411568,"wku","People will be saved","chose program with exact outcome"
"6087",2411569,"wku","People will be saved","chose program with exact outcome"
"6088",2411724,"wku","People will die","chose program with probability outcome"
"6089",2411727,"wku","People will be saved","chose program with probability outcome"
"6090",2411854,"wku","People will be saved","chose program with exact outcome"
"6091",2411858,"wku","People will die","chose program with probability outcome"
"6092",2411860,"wku","People will be saved","chose program with probability outcome"
"6093",2411862,"wku","People will die","chose program with exact outcome"
"6094",2411945,"wku","People will be saved","chose program with exact outcome"
"6095",2411946,"wku","People will die","chose program with probability outcome"
"6096",2411947,"wku","People will die","chose program with exact outcome"
"6097",2411954,"wku","People will be saved","chose program with exact outcome"
"6098",2412031,"wku","People will die","chose program with exact outcome"
"6099",2412032,"wku","People will die","chose program with probability outcome"
"6100",2412033,"wku","People will die","chose program with probability outcome"
"6101",2412035,"wku","People will be saved","chose program with exact outcome"
"6102",2412037,"wku","People will be saved","chose program with exact outcome"
"6103",2412071,"wku","People will die","chose program with probability outcome"
"6104",2412072,"wku","People will die","chose program with exact outcome"
"6105",2412075,"wku","People will die","chose program with probability outcome"
"6106",2412084,"wku","People will die","chose program with probability outcome"
"6107",2412085,"wku","People will die","chose program with exact outcome"
"6108",2426096,"wku","People will die","chose program with probability outcome"
"6109",2426218,"wku","People will die","chose program with probability outcome"
"6110",2426308,"wku","People will die","chose program with probability outcome"
"6111",2426586,"wku","People will die","chose program with exact outcome"
"6112",2442947,"wku","People will be saved","chose program with exact outcome"
"6113",2442959,"wku","People will die","chose program with exact outcome"
"6114",2443365,"wku","People will be saved","chose program with exact outcome"
"6115",2443463,"wku","People will die","chose program with probability outcome"
"6116",2443466,"wku","People will die","chose program with exact outcome"
"6117",2443468,"wku","People will be saved","chose program with exact outcome"
"6118",2443632,"wku","People will be saved","chose program with exact outcome"
"6119",2443634,"wku","People will be saved","chose program with exact outcome"
"6120",2456929,"wku","People will be saved","chose program with exact outcome"
"6121",2456974,"wku","People will be saved","chose program with exact outcome"
"6122",2467295,"wku","People will be saved","chose program with probability outcome"
"6123",2469962,"wku","People will die","chose program with probability outcome"
"6124",2469972,"wku","People will die","chose program with probability outcome"
"6125",2470019,"wku","People will die","chose program with exact outcome"
"6126",2470021,"wku","People will be saved","chose program with probability outcome"
"6127",2470108,"wku","People will die","chose program with probability outcome"
"6128",2470118,"wku","People will be saved","chose program with probability outcome"
"6129",2470120,"wku","People will be saved","chose program with exact outcome"
"6130",2470122,"wku","People will be saved","chose program with probability outcome"
"6131",2470195,"wku","People will be saved","chose program with exact outcome"
"6132",2470289,"wku","People will die","chose program with exact outcome"
"6133",2470353,"wku","People will be saved","chose program with exact outcome"
"6134",2470356,"wku","People will die","chose program with exact outcome"
"6135",2470433,"wku","People will die","chose program with exact outcome"
"6136",2470434,"wku","People will die","chose program with probability outcome"
"6137",2470510,"wku","People will be saved","chose program with probability outcome"
"6139",2477200,"wku","People will be saved","chose program with exact outcome"
"6140",2481988,"wku","People will be saved","chose program with exact outcome"
"6141",2482008,"wku","People will die","chose program with probability outcome"
"6142",2482011,"wku","People will die","chose program with exact outcome"
"6143",2482012,"wku","People will die","chose program with probability outcome"
"6144",2482013,"wku","People will die","chose program with exact outcome"
"6145",2482014,"wku","People will die","chose program with probability outcome"
"6146",2482015,"wku","People will be saved","chose program with exact outcome"
"6147",2482103,"wku","People will die","chose program with probability outcome"
"6148",2482104,"wku","People will die","chose program with probability outcome"
"6149",2482117,"wku","People will die","chose program with exact outcome"
"6150",2482123,"wku","People will die","chose program with exact outcome"
"6151",2482124,"wku","People will die","chose program with probability outcome"
"6152",2482149,"wku","People will be saved","chose program with probability outcome"
"6153",2482150,"wku","People will be saved","chose program with probability outcome"
"6154",2482199,"wku","People will die","chose program with exact outcome"
"6155",2482203,"wku","People will die","chose program with probability outcome"
"6156",2482275,"wku","People will die","chose program with probability outcome"
"6157",2482278,"wku","People will die","chose program with exact outcome"
"6158",2482280,"wku","People will be saved","chose program with exact outcome"
"6159",2482481,"wku","People will die","chose program with probability outcome"
"6160",2482485,"wku","People will be saved","chose program with exact outcome"
"6161",2482487,"wku","People will be saved","chose program with exact outcome"
"6162",2482573,"wku","People will be saved","chose program with exact outcome"
"6163",2482576,"wku","People will be saved","chose program with exact outcome"
"6164",2482577,"wku","People will be saved","chose program with exact outcome"
"6165",2482581,"wku","People will be saved","chose program with probability outcome"
"6166",2482596,"wku","People will die","chose program with exact outcome"
"6167",2482610,"wku","People will die","chose program with probability outcome"
