"","session_id","referrer","scalesgroup","scales"
"205",2430718,"charles","high category scale","less than 2 1/2 hrs"
"206",2430722,"charles","high category scale","less than 2 1/2 hrs"
"207",2430809,"charles","low category scale","less than 2 1/2 hrs"
"208",2430815,"charles","low category scale","less than 2 1/2 hrs"
"209",2430817,"charles","high category scale","less than 2 1/2 hrs"
"210",2458124,"charles","high category scale","less than 2 1/2 hrs"
"211",2458125,"charles","low category scale","less than 2 1/2 hrs"
"213",2458128,"charles","high category scale","less than 2 1/2 hrs"
"214",2458129,"charles","low category scale","less than 2 1/2 hrs"
"215",2458130,"charles","high category scale","less than 2 1/2 hrs"
"216",2458136,"charles","high category scale","less than 2 1/2 hrs"
"217",2458138,"charles","high category scale","less than 2 1/2 hrs"
"218",2458139,"charles","low category scale","less than 2 1/2 hrs"
"219",2458156,"charles","low category scale","less than 2 1/2 hrs"
"220",2458158,"charles","low category scale","less than 2 1/2 hrs"
"221",2458159,"charles","high category scale","less than 2 1/2 hrs"
"222",2458160,"charles","low category scale","less than 2 1/2 hrs"
"223",2458161,"charles","high category scale","less than 2 1/2 hrs"
"224",2458162,"charles","low category scale","less than 2 1/2 hrs"
"226",2458168,"charles","low category scale","less than 2 1/2 hrs"
"227",2458193,"charles","high category scale","less than 2 1/2 hrs"
"228",2458195,"charles","low category scale","less than 2 1/2 hrs"
"229",2458197,"charles","low category scale","less than 2 1/2 hrs"
"230",2458198,"charles","high category scale","less than 2 1/2 hrs"
"231",2458200,"charles","low category scale","less than 2 1/2 hrs"
"232",2458202,"charles","high category scale","less than 2 1/2 hrs"
"233",2467052,"charles","high category scale","less than 2 1/2 hrs"
"234",2467053,"charles","low category scale","less than 2 1/2 hrs"
"235",2467054,"charles","low category scale","less than 2 1/2 hrs"
"237",2467057,"charles","low category scale","less than 2 1/2 hrs"
"238",2467058,"charles","high category scale","less than 2 1/2 hrs"
"239",2467059,"charles","low category scale","less than 2 1/2 hrs"
"240",2469642,"charles","high category scale","less than 2 1/2 hrs"
"241",2469646,"charles","high category scale","less than 2 1/2 hrs"
"242",2469648,"charles","low category scale","less than 2 1/2 hrs"
"243",2469799,"charles","high category scale","less than 2 1/2 hrs"
"244",2469803,"charles","high category scale","less than 2 1/2 hrs"
"246",2469814,"charles","high category scale","less than 2 1/2 hrs"
"247",2469821,"charles","low category scale","less than 2 1/2 hrs"
"248",2469823,"charles","low category scale","less than 2 1/2 hrs"
"249",2469829,"charles","low category scale","less than 2 1/2 hrs"
"250",2469833,"charles","low category scale","less than 2 1/2 hrs"
"251",2471619,"charles","high category scale","less than 2 1/2 hrs"
"252",2471620,"charles","high category scale","less than 2 1/2 hrs"
"253",2471621,"charles","high category scale","more than 2 1/2 hrs"
"255",2471626,"charles","high category scale","less than 2 1/2 hrs"
"256",2471628,"charles","high category scale","more than 2 1/2 hrs"
"257",2478671,"charles","high category scale","more than 2 1/2 hrs"
"258",2478675,"charles","low category scale","less than 2 1/2 hrs"
"259",2478695,"charles","high category scale","less than 2 1/2 hrs"
"260",2478696,"charles","high category scale","less than 2 1/2 hrs"
"261",2478697,"charles","low category scale","less than 2 1/2 hrs"
"262",2481659,"charles","low category scale","less than 2 1/2 hrs"
"263",2481660,"charles","high category scale","less than 2 1/2 hrs"
"264",2481672,"charles","high category scale","more than 2 1/2 hrs"
"265",2481673,"charles","high category scale","more than 2 1/2 hrs"
"266",2481674,"charles","low category scale","less than 2 1/2 hrs"
"267",2481677,"charles","high category scale","less than 2 1/2 hrs"
"268",2481691,"charles","low category scale","less than 2 1/2 hrs"
"269",2481697,"charles","low category scale","less than 2 1/2 hrs"
"270",2481698,"charles","low category scale","less than 2 1/2 hrs"
"271",2481708,"charles","low category scale","less than 2 1/2 hrs"
"272",2481827,"charles","low category scale","less than 2 1/2 hrs"
"273",2481828,"charles","high category scale","less than 2 1/2 hrs"
"274",2481830,"charles","low category scale","less than 2 1/2 hrs"
"275",2481831,"charles","high category scale","less than 2 1/2 hrs"
"276",2481833,"charles","low category scale","less than 2 1/2 hrs"
"277",2481834,"charles","low category scale","less than 2 1/2 hrs"
"278",2483864,"charles","high category scale","less than 2 1/2 hrs"
"279",2483865,"charles","high category scale","less than 2 1/2 hrs"
"280",2483867,"charles","high category scale","less than 2 1/2 hrs"
"281",2483869,"charles","high category scale","less than 2 1/2 hrs"
"282",2483875,"charles","low category scale","less than 2 1/2 hrs"
"284",2484010,"charles","low category scale","less than 2 1/2 hrs"
"285",2484011,"charles","low category scale","less than 2 1/2 hrs"
"286",2484012,"charles","low category scale","less than 2 1/2 hrs"
"287",2484013,"charles","low category scale","less than 2 1/2 hrs"
"288",2484014,"charles","low category scale","less than 2 1/2 hrs"
