"","session_id","referrer","scalesgroup","scales"
"582",2409609,"ithaca","low category scale","less than 2 1/2 hrs"
"584",2442662,"ithaca","low category scale","less than 2 1/2 hrs"
"585",2442673,"ithaca","low category scale","less than 2 1/2 hrs"
"586",2442680,"ithaca","low category scale","more than 2 1/2 hrs"
"588",2442700,"ithaca","high category scale","less than 2 1/2 hrs"
"590",2442718,"ithaca","low category scale","less than 2 1/2 hrs"
"591",2442903,"ithaca","low category scale","more than 2 1/2 hrs"
"592",2442906,"ithaca","low category scale","less than 2 1/2 hrs"
"594",2443194,"ithaca","low category scale","less than 2 1/2 hrs"
"595",2443210,"ithaca","low category scale","less than 2 1/2 hrs"
"596",2443211,"ithaca","high category scale","less than 2 1/2 hrs"
"597",2443215,"ithaca","low category scale","less than 2 1/2 hrs"
"599",2443413,"ithaca","low category scale","less than 2 1/2 hrs"
"600",2443419,"ithaca","low category scale","less than 2 1/2 hrs"
"601",2451795,"ithaca","low category scale","less than 2 1/2 hrs"
"602",2451900,"ithaca","low category scale","less than 2 1/2 hrs"
"604",2451911,"ithaca","low category scale","less than 2 1/2 hrs"
"605",2451919,"ithaca","low category scale","less than 2 1/2 hrs"
"606",2451922,"ithaca","high category scale","less than 2 1/2 hrs"
"607",2451925,"ithaca","low category scale","less than 2 1/2 hrs"
"608",2451932,"ithaca","high category scale","less than 2 1/2 hrs"
"609",2453957,"ithaca","high category scale","less than 2 1/2 hrs"
"610",2453961,"ithaca","low category scale","less than 2 1/2 hrs"
"611",2454068,"ithaca","high category scale","less than 2 1/2 hrs"
"612",2454073,"ithaca","high category scale","less than 2 1/2 hrs"
"613",2454074,"ithaca","high category scale","less than 2 1/2 hrs"
"614",2454076,"ithaca","high category scale","less than 2 1/2 hrs"
"615",2454080,"ithaca","low category scale","less than 2 1/2 hrs"
"616",2454084,"ithaca","low category scale","less than 2 1/2 hrs"
"617",2454086,"ithaca","high category scale","less than 2 1/2 hrs"
"618",2454088,"ithaca","low category scale","less than 2 1/2 hrs"
"619",2454089,"ithaca","high category scale","less than 2 1/2 hrs"
"620",2454090,"ithaca","low category scale","less than 2 1/2 hrs"
"621",2454460,"ithaca","high category scale","less than 2 1/2 hrs"
"622",2454461,"ithaca","low category scale","less than 2 1/2 hrs"
"623",2454494,"ithaca","low category scale","less than 2 1/2 hrs"
"624",2454600,"ithaca","low category scale","less than 2 1/2 hrs"
"625",2456447,"ithaca","high category scale","less than 2 1/2 hrs"
"626",2456450,"ithaca","high category scale","less than 2 1/2 hrs"
"627",2456456,"ithaca","low category scale","less than 2 1/2 hrs"
"628",2456459,"ithaca","high category scale","less than 2 1/2 hrs"
"629",2456460,"ithaca","high category scale","more than 2 1/2 hrs"
"630",2456463,"ithaca","low category scale","less than 2 1/2 hrs"
"631",2456625,"ithaca","high category scale","less than 2 1/2 hrs"
"632",2456811,"ithaca","high category scale","less than 2 1/2 hrs"
"633",2456933,"ithaca","high category scale","less than 2 1/2 hrs"
"634",2456936,"ithaca","low category scale","less than 2 1/2 hrs"
"636",2465686,"ithaca","high category scale","less than 2 1/2 hrs"
"638",2465799,"ithaca","low category scale","less than 2 1/2 hrs"
"639",2465800,"ithaca","low category scale","less than 2 1/2 hrs"
"640",2465802,"ithaca","high category scale","less than 2 1/2 hrs"
"641",2465803,"ithaca","high category scale","more than 2 1/2 hrs"
"644",2467466,"ithaca","low category scale","less than 2 1/2 hrs"
"646",2467477,"ithaca","high category scale","less than 2 1/2 hrs"
"647",2467622,"ithaca","high category scale","more than 2 1/2 hrs"
"648",2467625,"ithaca","high category scale","less than 2 1/2 hrs"
"649",2467630,"ithaca","high category scale","more than 2 1/2 hrs"
"650",2467632,"ithaca","low category scale","less than 2 1/2 hrs"
"651",2467930,"ithaca","low category scale","less than 2 1/2 hrs"
"652",2467935,"ithaca","high category scale","less than 2 1/2 hrs"
"653",2467937,"ithaca","high category scale","less than 2 1/2 hrs"
"654",2468023,"ithaca","low category scale","less than 2 1/2 hrs"
"655",2468025,"ithaca","high category scale","less than 2 1/2 hrs"
"657",2470134,"ithaca","low category scale","less than 2 1/2 hrs"
"658",2470138,"ithaca","high category scale","less than 2 1/2 hrs"
"659",2470304,"ithaca","high category scale","less than 2 1/2 hrs"
"660",2470307,"ithaca","high category scale","more than 2 1/2 hrs"
"661",2470311,"ithaca","low category scale","less than 2 1/2 hrs"
"662",2477383,"ithaca","high category scale","more than 2 1/2 hrs"
"663",2477497,"ithaca","low category scale","less than 2 1/2 hrs"
"664",2477498,"ithaca","low category scale","less than 2 1/2 hrs"
"665",2477501,"ithaca","low category scale","less than 2 1/2 hrs"
"667",2477504,"ithaca","high category scale","less than 2 1/2 hrs"
"669",2477509,"ithaca","low category scale","less than 2 1/2 hrs"
"670",2477515,"ithaca","high category scale","less than 2 1/2 hrs"
"671",2477516,"ithaca","low category scale","less than 2 1/2 hrs"
