"","session_id","referrer","scalesgroup","scales"
"4331",2435605,"qccuny","high category scale","less than 2 1/2 hrs"
"4332",2435609,"qccuny","low category scale","less than 2 1/2 hrs"
"4333",2435611,"qccuny","high category scale","less than 2 1/2 hrs"
"4334",2435693,"qccuny","low category scale","less than 2 1/2 hrs"
"4335",2435994,"qccuny","low category scale","less than 2 1/2 hrs"
"4336",2435995,"qccuny","high category scale","more than 2 1/2 hrs"
"4337",2436001,"qccuny","high category scale","less than 2 1/2 hrs"
"4338",2436104,"qccuny","low category scale","less than 2 1/2 hrs"
"4339",2436106,"qccuny","low category scale","less than 2 1/2 hrs"
"4340",2436108,"qccuny","low category scale","less than 2 1/2 hrs"
"4341",2436109,"qccuny","high category scale","less than 2 1/2 hrs"
"4342",2440777,"qccuny","low category scale","less than 2 1/2 hrs"
"4343",2442207,"qccuny","low category scale","less than 2 1/2 hrs"
"4344",2442594,"qccuny","low category scale","less than 2 1/2 hrs"
"4345",2442597,"qccuny","high category scale","less than 2 1/2 hrs"
"4346",2442600,"qccuny","low category scale","less than 2 1/2 hrs"
"4347",2442616,"qccuny","low category scale","less than 2 1/2 hrs"
"4348",2443480,"qccuny","high category scale","less than 2 1/2 hrs"
"4349",2443559,"qccuny","high category scale","less than 2 1/2 hrs"
"4350",2445944,"qccuny","low category scale","less than 2 1/2 hrs"
"4351",2445947,"qccuny","low category scale","less than 2 1/2 hrs"
"4352",2445952,"qccuny","low category scale","more than 2 1/2 hrs"
"4353",2445955,"qccuny","low category scale","less than 2 1/2 hrs"
"4354",2446058,"qccuny","high category scale","less than 2 1/2 hrs"
"4355",2446093,"qccuny","low category scale","less than 2 1/2 hrs"
"4356",2446098,"qccuny","high category scale","less than 2 1/2 hrs"
"4357",2446101,"qccuny","low category scale","less than 2 1/2 hrs"
"4358",2446232,"qccuny","high category scale","less than 2 1/2 hrs"
"4359",2446279,"qccuny","high category scale","less than 2 1/2 hrs"
"4360",2446283,"qccuny","low category scale","less than 2 1/2 hrs"
"4361",2447378,"qccuny","high category scale","less than 2 1/2 hrs"
"4362",2447379,"qccuny","high category scale","less than 2 1/2 hrs"
"4363",2447381,"qccuny","high category scale","less than 2 1/2 hrs"
"4364",2447382,"qccuny","low category scale","less than 2 1/2 hrs"
"4365",2447428,"qccuny","high category scale","less than 2 1/2 hrs"
"4366",2447431,"qccuny","low category scale","less than 2 1/2 hrs"
"4367",2447432,"qccuny","low category scale","less than 2 1/2 hrs"
"4368",2447571,"qccuny","high category scale","more than 2 1/2 hrs"
"4369",2451780,"qccuny","high category scale","less than 2 1/2 hrs"
"4370",2452217,"qccuny","high category scale","less than 2 1/2 hrs"
"4371",2452227,"qccuny","low category scale","less than 2 1/2 hrs"
"4372",2452232,"qccuny","low category scale","less than 2 1/2 hrs"
"4373",2452233,"qccuny","high category scale","less than 2 1/2 hrs"
"4374",2452291,"qccuny","low category scale","less than 2 1/2 hrs"
"4375",2452351,"qccuny","low category scale","less than 2 1/2 hrs"
"4377",2452358,"qccuny","low category scale","less than 2 1/2 hrs"
