"","session_id","referrer","scalesgroup","scales"
"4434",2451561,"qccuny2","high category scale","less than 2 1/2 hrs"
"4435",2451696,"qccuny2","low category scale","less than 2 1/2 hrs"
"4436",2451970,"qccuny2","high category scale","less than 2 1/2 hrs"
"4437",2452017,"qccuny2","high category scale","less than 2 1/2 hrs"
"4438",2452373,"qccuny2","high category scale","less than 2 1/2 hrs"
"4439",2454002,"qccuny2","low category scale","less than 2 1/2 hrs"
"4440",2454025,"qccuny2","high category scale","less than 2 1/2 hrs"
"4441",2454108,"qccuny2","high category scale","less than 2 1/2 hrs"
"4442",2454143,"qccuny2","low category scale","less than 2 1/2 hrs"
"4444",2456275,"qccuny2","high category scale","more than 2 1/2 hrs"
"4445",2458336,"qccuny2","high category scale","less than 2 1/2 hrs"
"4446",2458349,"qccuny2","low category scale","less than 2 1/2 hrs"
"4447",2458491,"qccuny2","high category scale","less than 2 1/2 hrs"
"4448",2458529,"qccuny2","low category scale","less than 2 1/2 hrs"
"4449",2458637,"qccuny2","low category scale","less than 2 1/2 hrs"
"4450",2458648,"qccuny2","low category scale","less than 2 1/2 hrs"
"4451",2458725,"qccuny2","low category scale","less than 2 1/2 hrs"
"4452",2458855,"qccuny2","high category scale","less than 2 1/2 hrs"
"4453",2458860,"qccuny2","high category scale","less than 2 1/2 hrs"
"4454",2459013,"qccuny2","high category scale","more than 2 1/2 hrs"
"4455",2459018,"qccuny2","high category scale","more than 2 1/2 hrs"
"4456",2466324,"qccuny2","high category scale","more than 2 1/2 hrs"
"4457",2466409,"qccuny2","high category scale","more than 2 1/2 hrs"
"4458",2466418,"qccuny2","low category scale","less than 2 1/2 hrs"
"4459",2467562,"qccuny2","high category scale","less than 2 1/2 hrs"
"4460",2467654,"qccuny2","high category scale","less than 2 1/2 hrs"
"4461",2467659,"qccuny2","low category scale","less than 2 1/2 hrs"
"4462",2467746,"qccuny2","high category scale","less than 2 1/2 hrs"
"4463",2467869,"qccuny2","high category scale","more than 2 1/2 hrs"
"4464",2469514,"qccuny2","high category scale","less than 2 1/2 hrs"
"4465",2469967,"qccuny2","low category scale","less than 2 1/2 hrs"
"4466",2470136,"qccuny2","high category scale","less than 2 1/2 hrs"
"4467",2471564,"qccuny2","low category scale","less than 2 1/2 hrs"
"4468",2472069,"qccuny2","high category scale","less than 2 1/2 hrs"
"4469",2472330,"qccuny2","high category scale","less than 2 1/2 hrs"
"4470",2472452,"qccuny2","low category scale","less than 2 1/2 hrs"
"4472",2473609,"qccuny2","low category scale","less than 2 1/2 hrs"
"4473",2473632,"qccuny2","high category scale","less than 2 1/2 hrs"
"4474",2477146,"qccuny2","low category scale","less than 2 1/2 hrs"
"4475",2477328,"qccuny2","high category scale","more than 2 1/2 hrs"
"4476",2477372,"qccuny2","low category scale","less than 2 1/2 hrs"
"4477",2477487,"qccuny2","low category scale","less than 2 1/2 hrs"
"4478",2478030,"qccuny2","low category scale","less than 2 1/2 hrs"
"4479",2479462,"qccuny2","high category scale","less than 2 1/2 hrs"
"4480",2479503,"qccuny2","low category scale","less than 2 1/2 hrs"
