"","session_id","referrer","scalesgroup","scales"
"5969",2451755,"wisc","low category scale","less than 2 1/2 hrs"
"5970",2451756,"wisc","low category scale","less than 2 1/2 hrs"
"5971",2451762,"wisc","low category scale","less than 2 1/2 hrs"
"5972",2451763,"wisc","high category scale","less than 2 1/2 hrs"
"5973",2451765,"wisc","high category scale","less than 2 1/2 hrs"
"5974",2451768,"wisc","high category scale","less than 2 1/2 hrs"
"5975",2451769,"wisc","high category scale","less than 2 1/2 hrs"
"5976",2451773,"wisc","high category scale","less than 2 1/2 hrs"
"5977",2451775,"wisc","low category scale","less than 2 1/2 hrs"
"5978",2451782,"wisc","low category scale","less than 2 1/2 hrs"
"5979",2451811,"wisc","high category scale","less than 2 1/2 hrs"
"5980",2451854,"wisc","low category scale","less than 2 1/2 hrs"
"5981",2451914,"wisc","low category scale","less than 2 1/2 hrs"
"5982",2451915,"wisc","high category scale","less than 2 1/2 hrs"
"5983",2451917,"wisc","high category scale","more than 2 1/2 hrs"
"5984",2451918,"wisc","high category scale","less than 2 1/2 hrs"
"5985",2451920,"wisc","high category scale","less than 2 1/2 hrs"
"5986",2451921,"wisc","low category scale","less than 2 1/2 hrs"
"5987",2451924,"wisc","low category scale","less than 2 1/2 hrs"
"5988",2451926,"wisc","high category scale","less than 2 1/2 hrs"
"5989",2451927,"wisc","high category scale","more than 2 1/2 hrs"
"5990",2451929,"wisc","low category scale","less than 2 1/2 hrs"
"5991",2451942,"wisc","high category scale","less than 2 1/2 hrs"
"5992",2451979,"wisc","high category scale","less than 2 1/2 hrs"
"5993",2451983,"wisc","low category scale","less than 2 1/2 hrs"
"5994",2461615,"wisc","high category scale","less than 2 1/2 hrs"
"5996",2461619,"wisc","low category scale","less than 2 1/2 hrs"
"5997",2461623,"wisc","low category scale","less than 2 1/2 hrs"
"5998",2461641,"wisc","low category scale","less than 2 1/2 hrs"
"5999",2461643,"wisc","high category scale","less than 2 1/2 hrs"
"6000",2461658,"wisc","low category scale","less than 2 1/2 hrs"
"6001",2461749,"wisc","low category scale","less than 2 1/2 hrs"
"6002",2461756,"wisc","low category scale","more than 2 1/2 hrs"
"6003",2461765,"wisc","low category scale","less than 2 1/2 hrs"
"6004",2461774,"wisc","high category scale","less than 2 1/2 hrs"
"6005",2461788,"wisc","low category scale","less than 2 1/2 hrs"
"6007",2461792,"wisc","high category scale","less than 2 1/2 hrs"
"6008",2461806,"wisc","low category scale","less than 2 1/2 hrs"
"6009",2461810,"wisc","low category scale","more than 2 1/2 hrs"
"6010",2461899,"wisc","low category scale","less than 2 1/2 hrs"
"6011",2461906,"wisc","high category scale","less than 2 1/2 hrs"
"6013",2461913,"wisc","high category scale","less than 2 1/2 hrs"
"6014",2461915,"wisc","low category scale","less than 2 1/2 hrs"
"6015",2461918,"wisc","low category scale","less than 2 1/2 hrs"
"6016",2461920,"wisc","high category scale","more than 2 1/2 hrs"
"6017",2461921,"wisc","high category scale","less than 2 1/2 hrs"
"6018",2461924,"wisc","high category scale","less than 2 1/2 hrs"
"6019",2461974,"wisc","low category scale","less than 2 1/2 hrs"
"6020",2461982,"wisc","low category scale","less than 2 1/2 hrs"
"6021",2461986,"wisc","low category scale","less than 2 1/2 hrs"
"6022",2461988,"wisc","high category scale","less than 2 1/2 hrs"
"6023",2461994,"wisc","low category scale","less than 2 1/2 hrs"
"6024",2462000,"wisc","high category scale","less than 2 1/2 hrs"
"6025",2462005,"wisc","low category scale","less than 2 1/2 hrs"
"6026",2462007,"wisc","low category scale","less than 2 1/2 hrs"
"6027",2462009,"wisc","low category scale","less than 2 1/2 hrs"
"6028",2462013,"wisc","low category scale","less than 2 1/2 hrs"
"6029",2462014,"wisc","high category scale","less than 2 1/2 hrs"
"6030",2462063,"wisc","low category scale","less than 2 1/2 hrs"
"6031",2462080,"wisc","high category scale","less than 2 1/2 hrs"
"6032",2462088,"wisc","high category scale","more than 2 1/2 hrs"
"6033",2462094,"wisc","high category scale","less than 2 1/2 hrs"
"6034",2462102,"wisc","high category scale","more than 2 1/2 hrs"
"6035",2462104,"wisc","low category scale","less than 2 1/2 hrs"
"6036",2462128,"wisc","low category scale","less than 2 1/2 hrs"
"6037",2462132,"wisc","high category scale","less than 2 1/2 hrs"
"6038",2462133,"wisc","low category scale","less than 2 1/2 hrs"
"6039",2462137,"wisc","low category scale","more than 2 1/2 hrs"
"6040",2462152,"wisc","high category scale","less than 2 1/2 hrs"
"6041",2462184,"wisc","high category scale","less than 2 1/2 hrs"
"6042",2462186,"wisc","low category scale","less than 2 1/2 hrs"
"6043",2462187,"wisc","low category scale","less than 2 1/2 hrs"
"6044",2462188,"wisc","low category scale","less than 2 1/2 hrs"
"6045",2462194,"wisc","low category scale","less than 2 1/2 hrs"
