"","session_id","referrer","scalesgroup","scales"
"2784",2462516,"oxy","low category scale","less than 2 1/2 hrs"
"2785",2466207,"oxy","low category scale","less than 2 1/2 hrs"
"2786",2467505,"oxy","high category scale","less than 2 1/2 hrs"
"2787",2468479,"oxy","high category scale","less than 2 1/2 hrs"
"2788",2468498,"oxy","low category scale","less than 2 1/2 hrs"
"2789",2468526,"oxy","low category scale","less than 2 1/2 hrs"
"2790",2468562,"oxy","high category scale","less than 2 1/2 hrs"
"2792",2472850,"oxy","high category scale","less than 2 1/2 hrs"
"2793",2472858,"oxy","high category scale","less than 2 1/2 hrs"
"2795",2474014,"oxy","high category scale","less than 2 1/2 hrs"
"2796",2474020,"oxy","high category scale","less than 2 1/2 hrs"
"2797",2474056,"oxy","low category scale","less than 2 1/2 hrs"
"2798",2474176,"oxy","low category scale","less than 2 1/2 hrs"
"2799",2474177,"oxy","high category scale","more than 2 1/2 hrs"
"2801",2474252,"oxy","low category scale","less than 2 1/2 hrs"
"2802",2474254,"oxy","low category scale","less than 2 1/2 hrs"
"2804",2477855,"oxy","low category scale","less than 2 1/2 hrs"
"2805",2477933,"oxy","low category scale","less than 2 1/2 hrs"
"2807",2478303,"oxy","low category scale","less than 2 1/2 hrs"
"2808",2478307,"oxy","high category scale","less than 2 1/2 hrs"
"2809",2478344,"oxy","high category scale","less than 2 1/2 hrs"
"2810",2478349,"oxy","high category scale","less than 2 1/2 hrs"
"2811",2479320,"oxy","low category scale","less than 2 1/2 hrs"
"2812",2479506,"oxy","high category scale","less than 2 1/2 hrs"
"2813",2479520,"oxy","high category scale","less than 2 1/2 hrs"
"2815",2479549,"oxy","high category scale","less than 2 1/2 hrs"
"2816",2479567,"oxy","high category scale","less than 2 1/2 hrs"
"2817",2479599,"oxy","high category scale","less than 2 1/2 hrs"
"2818",2480067,"oxy","high category scale","less than 2 1/2 hrs"
"2821",2480103,"oxy","low category scale","less than 2 1/2 hrs"
"2822",2480200,"oxy","high category scale","less than 2 1/2 hrs"
"2823",2480203,"oxy","high category scale","less than 2 1/2 hrs"
"2825",2480312,"oxy","low category scale","less than 2 1/2 hrs"
"2827",2480368,"oxy","high category scale","less than 2 1/2 hrs"
"2828",2480423,"oxy","low category scale","less than 2 1/2 hrs"
"2830",2482032,"oxy","high category scale","less than 2 1/2 hrs"
"2831",2482046,"oxy","low category scale","less than 2 1/2 hrs"
"2832",2482113,"oxy","high category scale","less than 2 1/2 hrs"
"2833",2482637,"oxy","high category scale","less than 2 1/2 hrs"
