"","session_id","referrer","scalesgroup","scales"
"5781",2443392,"uva","low category scale","less than 2 1/2 hrs"
"5782",2443401,"uva","high category scale","less than 2 1/2 hrs"
"5783",2443436,"uva","low category scale","less than 2 1/2 hrs"
"5784",2443445,"uva","low category scale","less than 2 1/2 hrs"
"5785",2443449,"uva","low category scale","less than 2 1/2 hrs"
"5786",2443485,"uva","low category scale","less than 2 1/2 hrs"
"5787",2443494,"uva","high category scale","less than 2 1/2 hrs"
"5788",2443583,"uva","high category scale","less than 2 1/2 hrs"
"5789",2443625,"uva","low category scale","less than 2 1/2 hrs"
"5790",2443643,"uva","high category scale","less than 2 1/2 hrs"
"5794",2456539,"uva","high category scale","less than 2 1/2 hrs"
"5795",2456541,"uva","low category scale","less than 2 1/2 hrs"
"5796",2456550,"uva","high category scale","less than 2 1/2 hrs"
"5797",2456616,"uva","high category scale","less than 2 1/2 hrs"
"5798",2456620,"uva","high category scale","less than 2 1/2 hrs"
"5799",2456621,"uva","low category scale","less than 2 1/2 hrs"
"5800",2456649,"uva","high category scale","less than 2 1/2 hrs"
"5801",2456690,"uva","high category scale","less than 2 1/2 hrs"
"5802",2456696,"uva","low category scale","less than 2 1/2 hrs"
"5804",2456709,"uva","low category scale","less than 2 1/2 hrs"
"5805",2456741,"uva","low category scale","less than 2 1/2 hrs"
"5806",2456758,"uva","low category scale","less than 2 1/2 hrs"
"5807",2456762,"uva","high category scale","less than 2 1/2 hrs"
"5808",2456767,"uva","high category scale","less than 2 1/2 hrs"
"5809",2461896,"uva","low category scale","less than 2 1/2 hrs"
"5810",2461900,"uva","low category scale","less than 2 1/2 hrs"
"5811",2461901,"uva","high category scale","less than 2 1/2 hrs"
"5812",2461905,"uva","high category scale","less than 2 1/2 hrs"
"5813",2461947,"uva","low category scale","less than 2 1/2 hrs"
"5814",2461950,"uva","high category scale","less than 2 1/2 hrs"
"5816",2461953,"uva","high category scale","less than 2 1/2 hrs"
"5817",2462040,"uva","low category scale","less than 2 1/2 hrs"
"5818",2462051,"uva","low category scale","less than 2 1/2 hrs"
"5819",2462060,"uva","low category scale","less than 2 1/2 hrs"
"5821",2493673,"uva","high category scale","less than 2 1/2 hrs"
"5822",2493676,"uva","high category scale","less than 2 1/2 hrs"
"5823",2493677,"uva","high category scale","less than 2 1/2 hrs"
"5824",2493724,"uva","high category scale","less than 2 1/2 hrs"
"5826",2493783,"uva","high category scale","less than 2 1/2 hrs"
"5827",2493784,"uva","high category scale","less than 2 1/2 hrs"
"5828",2493797,"uva","low category scale","less than 2 1/2 hrs"
"5829",2493804,"uva","low category scale","less than 2 1/2 hrs"
"5830",2493811,"uva","low category scale","less than 2 1/2 hrs"
"5831",2493823,"uva","low category scale","less than 2 1/2 hrs"
"5832",2493824,"uva","low category scale","less than 2 1/2 hrs"
"5833",2493825,"uva","low category scale","less than 2 1/2 hrs"
"5834",2495929,"uva","low category scale","less than 2 1/2 hrs"
"5835",2495938,"uva","high category scale","less than 2 1/2 hrs"
"5836",2495940,"uva","low category scale","less than 2 1/2 hrs"
"5837",2495995,"uva","high category scale","more than 2 1/2 hrs"
"5839",2496022,"uva","high category scale","less than 2 1/2 hrs"
"5840",2496027,"uva","high category scale","less than 2 1/2 hrs"
"5841",2497527,"uva","low category scale","less than 2 1/2 hrs"
"5842",2497532,"uva","low category scale","less than 2 1/2 hrs"
"5843",2497560,"uva","low category scale","less than 2 1/2 hrs"
"5844",2497563,"uva","low category scale","less than 2 1/2 hrs"
"5845",2497591,"uva","low category scale","less than 2 1/2 hrs"
"5846",2497596,"uva","low category scale","less than 2 1/2 hrs"
"5848",2497609,"uva","low category scale","less than 2 1/2 hrs"
"5849",2497629,"uva","low category scale","less than 2 1/2 hrs"
"5850",2497633,"uva","low category scale","less than 2 1/2 hrs"
"5852",2497672,"uva","low category scale","less than 2 1/2 hrs"
"5854",2503817,"uva","high category scale","less than 2 1/2 hrs"
"5855",2503820,"uva","high category scale","less than 2 1/2 hrs"
"5857",2503900,"uva","low category scale","less than 2 1/2 hrs"
"5858",2503903,"uva","low category scale","less than 2 1/2 hrs"
"5859",2503904,"uva","low category scale","less than 2 1/2 hrs"
