"","session_id","referrer","reciprocitygroup","reciprocityus"
"480",2478532,"help","Asked first","no"
"481",2478534,"help","Asked second","yes"
"482",2478570,"help","Asked second","yes"
"483",2478574,"help","Asked first","yes"
"484",2478584,"help","Asked second","no"
"485",2478593,"help","Asked second","yes"
"486",2478626,"help","Asked first","yes"
"487",2478643,"help","Asked second","yes"
"488",2478644,"help","Asked second","yes"
"489",2478657,"help","Asked second","yes"
"490",2478672,"help","Asked second","yes"
"491",2478681,"help","Asked second","yes"
"492",2478687,"help","Asked first","yes"
"493",2478688,"help","Asked first","yes"
"494",2478703,"help","Asked second","no"
"495",2478706,"help","Asked first","yes"
"496",2478718,"help","Asked second","yes"
"497",2478726,"help","Asked second","yes"
"498",2478727,"help","Asked first","yes"
"499",2478764,"help","Asked second","yes"
"500",2480748,"help","Asked first","no"
"501",2480756,"help","Asked second","yes"
"502",2480784,"help","Asked second","yes"
"503",2480786,"help","Asked first","yes"
"504",2480821,"help","Asked first","yes"
"505",2480823,"help","Asked second","yes"
"506",2480862,"help","Asked second","yes"
"507",2480891,"help","Asked first","yes"
"508",2480894,"help","Asked first","yes"
"509",2480933,"help","Asked first","no"
"510",2480935,"help","Asked second","no"
"511",2480961,"help","Asked second","yes"
"512",2480965,"help","Asked first","no"
"513",2481000,"help","Asked second","yes"
"514",2481002,"help","Asked second","yes"
"515",2481015,"help","Asked second","yes"
"516",2481016,"help","Asked first","no"
"517",2481028,"help","Asked first","yes"
"518",2481030,"help","Asked first","yes"
"519",2481059,"help","Asked second","yes"
"520",2481060,"help","Asked first","no"
"521",2481065,"help","Asked first","yes"
"522",2481066,"help","Asked first","yes"
"523",2481079,"help","Asked second","yes"
"524",2481090,"help","Asked second","yes"
"525",2483090,"help","Asked second","yes"
"526",2483097,"help","Asked second","yes"
"527",2483124,"help","Asked second","yes"
"528",2483188,"help","Asked first","no"
"529",2483238,"help","Asked first","yes"
"530",2483246,"help","Asked first","yes"
"531",2483286,"help","Asked first","yes"
"532",2483295,"help","Asked second","no"
"533",2483343,"help","Asked first","no"
"534",2483345,"help","Asked first","yes"
"535",2483375,"help","Asked second","no"
"536",2483396,"help","Asked second","no"
"537",2483399,"help","Asked first","yes"
"538",2483434,"help","Asked second","yes"
"539",2483460,"help","Asked second","yes"
"540",2483461,"help","Asked second","no"
"541",2483488,"help","Asked first","yes"
"542",2483491,"help","Asked first","yes"
"543",2483512,"help","Asked first","yes"
"544",2483513,"help","Asked second","yes"
"545",2483540,"help","Asked first","no"
"546",2483542,"help","Asked first","yes"
"547",2483554,"help","Asked second","yes"
"548",2483555,"help","Asked second","yes"
"549",2483574,"help","Asked first","yes"
"550",2483575,"help","Asked first","yes"
"551",2483587,"help","Asked second","yes"
"552",2483588,"help","Asked first","yes"
"553",2483613,"help","Asked second","yes"
"554",2483614,"help","Asked first","yes"
"555",2483640,"help","Asked first","yes"
"556",2483641,"help","Asked second","yes"
"557",2484192,"help","Asked first","yes"
"558",2485486,"help","Asked second","yes"
"559",2485537,"help","Asked second","yes"
"560",2485604,"help","Asked second","no"
"561",2485607,"help","Asked second","yes"
"562",2485651,"help","Asked first","yes"
"563",2485653,"help","Asked first","yes"
"564",2485691,"help","Asked first","yes"
"565",2485699,"help","Asked first","yes"
"566",2485753,"help","Asked first","yes"
"567",2485755,"help","Asked second","yes"
"568",2485804,"help","Asked second","yes"
"569",2485842,"help","Asked first","yes"
"570",2485852,"help","Asked first","no"
"571",2485882,"help","Asked first","yes"
"572",2485885,"help","Asked second","no"
"573",2485905,"help","Asked first","yes"
"574",2485906,"help","Asked second","yes"
"575",2485964,"help","Asked second","yes"
"576",2485966,"help","Asked first","no"
"577",2485988,"help","Asked second","yes"
"578",2486008,"help","Asked first","yes"
"579",2486012,"help","Asked first","yes"
"580",2486028,"help","Asked second","yes"
"581",2486032,"help","Asked first","no"
