"","session_id","referrer","reciprocitygroup","reciprocityus"
"846",2483669,"ku","Asked first","yes"
"847",2483687,"ku","Asked first","yes"
"848",2483760,"ku","Asked second","yes"
"849",2483819,"ku","Asked second","yes"
"850",2483825,"ku","Asked second","yes"
"851",2483870,"ku","Asked second","yes"
"852",2483963,"ku","Asked second","yes"
"853",2484027,"ku","Asked first","yes"
"854",2484223,"ku","Asked first","yes"
"855",2484248,"ku","Asked second","no"
"856",2484282,"ku","Asked second","no"
"857",2484311,"ku","Asked first","yes"
"858",2484495,"ku","Asked first","yes"
"859",2484518,"ku","Asked second","yes"
"860",2484541,"ku","Asked second","yes"
"861",2484655,"ku","Asked first","yes"
"862",2484735,"ku","Asked first","yes"
"863",2484763,"ku","Asked second","yes"
"864",2484839,"ku","Asked second","yes"
"865",2484935,"ku","Asked first","yes"
"866",2484964,"ku","Asked second","yes"
"867",2484991,"ku","Asked first","yes"
"868",2484998,"ku","Asked first","yes"
"869",2485106,"ku","Asked second","yes"
"870",2485128,"ku","Asked second","no"
"871",2485343,"ku","Asked second","yes"
"872",2485384,"ku","Asked second","yes"
"873",2486014,"ku","Asked first","yes"
"874",2486033,"ku","Asked second","yes"
"875",2486087,"ku","Asked first","yes"
"876",2486120,"ku","Asked second","yes"
"877",2486130,"ku","Asked first","yes"
"878",2486139,"ku","Asked second","yes"
"879",2486189,"ku","Asked first","yes"
"880",2486238,"ku","Asked second","yes"
"881",2486297,"ku","Asked first","yes"
"882",2486389,"ku","Asked second","yes"
"883",2486683,"ku","Asked second","yes"
"884",2487627,"ku","Asked second","yes"
"885",2487736,"ku","Asked first","yes"
"886",2487969,"ku","Asked second","yes"
"887",2487986,"ku","Asked first","yes"
"889",2489799,"ku","Asked second","yes"
"890",2489978,"ku","Asked first","yes"
"891",2490370,"ku","Asked second","yes"
"892",2491599,"ku","Asked first","yes"
"893",2491676,"ku","Asked first","no"
"894",2492244,"ku","Asked second","yes"
"895",2493467,"ku","Asked first","no"
"896",2497422,"ku","Asked second","yes"
"897",2497833,"ku","Asked second","no"
"898",2498540,"ku","Asked first","yes"
"899",2500646,"ku","Asked first","no"
"900",2500653,"ku","Asked second","yes"
"901",2500657,"ku","Asked first","yes"
"902",2500684,"ku","Asked first","yes"
"903",2500701,"ku","Asked second","yes"
"904",2500731,"ku","Asked first","yes"
"905",2500735,"ku","Asked first","yes"
"906",2500768,"ku","Asked second","no"
"907",2500814,"ku","Asked first","yes"
"908",2500872,"ku","Asked first","no"
"909",2500947,"ku","Asked first","yes"
"910",2500948,"ku","Asked second","no"
"911",2500958,"ku","Asked second","yes"
"912",2500977,"ku","Asked first","yes"
"913",2501006,"ku","Asked first","yes"
"914",2501189,"ku","Asked second","yes"
"915",2501191,"ku","Asked first","yes"
"916",2501212,"ku","Asked first","yes"
"917",2501262,"ku","Asked first","yes"
"918",2501392,"ku","Asked first","yes"
"919",2501462,"ku","Asked first","no"
"920",2501531,"ku","Asked second","no"
"921",2501765,"ku","Asked first","yes"
"922",2501785,"ku","Asked first","yes"
"923",2501908,"ku","Asked first","yes"
"924",2502030,"ku","Asked second","yes"
"925",2502048,"ku","Asked second","yes"
"926",2502097,"ku","Asked second","yes"
"927",2502180,"ku","Asked first","yes"
"928",2503046,"ku","Asked second","yes"
"929",2503127,"ku","Asked first","yes"
"930",2503177,"ku","Asked second","yes"
"931",2503211,"ku","Asked second","yes"
"932",2503400,"ku","Asked second","yes"
"933",2503441,"ku","Asked second","yes"
"934",2503649,"ku","Asked first","yes"
"935",2503687,"ku","Asked first","yes"
"936",2503943,"ku","Asked second","yes"
"937",2504147,"ku","Asked first","yes"
"938",2504151,"ku","Asked second","yes"
"939",2504793,"ku","Asked first","no"
"940",2504918,"ku","Asked second","yes"
"941",2504958,"ku","Asked first","yes"
"942",2505085,"ku","Asked second","yes"
"943",2505329,"ku","Asked second","yes"
"944",2505448,"ku","Asked first","yes"
"945",2505529,"ku","Asked first","yes"
"946",2505548,"ku","Asked second","yes"
"947",2505570,"ku","Asked second","yes"
"948",2506806,"ku","Asked second","yes"
"949",2506845,"ku","Asked first","yes"
"950",2506881,"ku","Asked second","yes"
"951",2507070,"ku","Asked second","yes"
"952",2507282,"ku","Asked second","yes"
"953",2509148,"ku","Asked first","yes"
"954",2510451,"ku","Asked second","no"
"955",2510549,"ku","Asked second","no"
"956",2510938,"ku","Asked first","yes"
"957",2511223,"ku","Asked second","yes"
"958",2511739,"ku","Asked first","no"
