"","session_id","referrer","reciprocitygroup","reciprocityus"
"1494",2399787,"mcdaniel","Asked first","no"
"1495",2399902,"mcdaniel","Asked second","no"
"1496",2400037,"mcdaniel","Asked first","no"
"1497",2400210,"mcdaniel","Asked first","no"
"1498",2400235,"mcdaniel","Asked first","yes"
"1499",2401208,"mcdaniel","Asked second","no"
"1500",2401951,"mcdaniel","Asked first","no"
"1501",2402044,"mcdaniel","Asked first","yes"
"1502",2402928,"mcdaniel","Asked first","yes"
"1503",2403279,"mcdaniel","Asked first","no"
"1504",2403281,"mcdaniel","Asked second","yes"
"1505",2403486,"mcdaniel","Asked second","no"
"1506",2403994,"mcdaniel","Asked second","no"
"1507",2404062,"mcdaniel","Asked second","no"
"1508",2404410,"mcdaniel","Asked first","no"
"1509",2404963,"mcdaniel","Asked second","yes"
"1510",2406245,"mcdaniel","Asked second","yes"
"1511",2406254,"mcdaniel","Asked first","yes"
"1512",2406284,"mcdaniel","Asked first","no"
"1513",2406393,"mcdaniel","Asked first","no"
"1514",2406430,"mcdaniel","Asked first","no"
"1515",2406659,"mcdaniel","Asked first","no"
"1516",2407838,"mcdaniel","Asked first","no"
"1517",2407974,"mcdaniel","Asked second","yes"
"1518",2408350,"mcdaniel","Asked first","yes"
"1519",2411236,"mcdaniel","Asked second","yes"
"1520",2417482,"mcdaniel","Asked second","yes"
"1521",2417521,"mcdaniel","Asked second","yes"
"1522",2419187,"mcdaniel","Asked second","no"
"1523",2419449,"mcdaniel","Asked first","no"
"1524",2419466,"mcdaniel","Asked first","yes"
"1525",2422137,"mcdaniel","Asked first","no"
"1526",2426038,"mcdaniel","Asked first","no"
"1527",2427815,"mcdaniel","Asked second","no"
"1528",2432796,"mcdaniel","Asked second","yes"
"1529",2432935,"mcdaniel","Asked first","no"
"1530",2437191,"mcdaniel","Asked second","no"
"1531",2443785,"mcdaniel","Asked second","yes"
"1532",2450946,"mcdaniel","Asked second","yes"
"1533",2451040,"mcdaniel","Asked second","yes"
"1534",2451047,"mcdaniel","Asked second","yes"
"1535",2451061,"mcdaniel","Asked second","no"
"1536",2451063,"mcdaniel","Asked first","no"
"1537",2451168,"mcdaniel","Asked first","yes"
"1538",2451581,"mcdaniel","Asked second","yes"
"1539",2452524,"mcdaniel","Asked second","yes"
"1540",2452700,"mcdaniel","Asked second","yes"
"1541",2452715,"mcdaniel","Asked second","yes"
"1542",2453249,"mcdaniel","Asked first","yes"
"1543",2453291,"mcdaniel","Asked second","yes"
"1544",2455264,"mcdaniel","Asked second","yes"
"1545",2457301,"mcdaniel","Asked first","yes"
"1546",2457522,"mcdaniel","Asked first","yes"
"1547",2457617,"mcdaniel","Asked second","yes"
"1548",2463756,"mcdaniel","Asked second","no"
"1549",2465487,"mcdaniel","Asked first","yes"
"1550",2465595,"mcdaniel","Asked second","yes"
"1551",2465691,"mcdaniel","Asked first","no"
"1552",2465895,"mcdaniel","Asked first","no"
"1553",2465948,"mcdaniel","Asked second","yes"
"1554",2465952,"mcdaniel","Asked first","yes"
"1555",2466277,"mcdaniel","Asked first","yes"
"1556",2466426,"mcdaniel","Asked first","yes"
"1557",2466569,"mcdaniel","Asked second","yes"
"1558",2468447,"mcdaniel","Asked second","no"
"1559",2475770,"mcdaniel","Asked second","yes"
"1560",2475870,"mcdaniel","Asked first","no"
"1561",2475950,"mcdaniel","Asked second","yes"
"1562",2475968,"mcdaniel","Asked second","no"
"1563",2475985,"mcdaniel","Asked first","no"
"1564",2476037,"mcdaniel","Asked second","yes"
"1565",2476046,"mcdaniel","Asked first","no"
"1566",2476444,"mcdaniel","Asked second","yes"
"1567",2476544,"mcdaniel","Asked second","yes"
"1568",2476548,"mcdaniel","Asked first","no"
"1569",2476586,"mcdaniel","Asked second","yes"
"1570",2476588,"mcdaniel","Asked second","yes"
"1571",2476678,"mcdaniel","Asked second","no"
"1572",2477597,"mcdaniel","Asked first","yes"
"1573",2478261,"mcdaniel","Asked second","yes"
"1574",2478285,"mcdaniel","Asked second","yes"
"1575",2478338,"mcdaniel","Asked second","no"
"1576",2478384,"mcdaniel","Asked first","no"
"1577",2478426,"mcdaniel","Asked first","no"
"1578",2478477,"mcdaniel","Asked first","no"
"1579",2478500,"mcdaniel","Asked second","yes"
"1580",2478592,"mcdaniel","Asked first","yes"
"1581",2478634,"mcdaniel","Asked second","no"
"1582",2479532,"mcdaniel","Asked first","no"
"1583",2479770,"mcdaniel","Asked first","yes"
"1584",2479919,"mcdaniel","Asked second","yes"
"1585",2480394,"mcdaniel","Asked first","no"
"1586",2480401,"mcdaniel","Asked second","yes"
"1587",2481545,"mcdaniel","Asked second","yes"
"1588",2482952,"mcdaniel","Asked second","yes"
"1589",2483183,"mcdaniel","Asked first","yes"
"1590",2483263,"mcdaniel","Asked second","yes"
"1591",2491455,"mcdaniel","Asked second","yes"
