"","session_id","referrer","reciprocitygroup","reciprocityus"
"2784",2462516,"oxy","Asked second","yes"
"2785",2466207,"oxy","Asked first","yes"
"2786",2467505,"oxy","Asked first","no"
"2787",2468479,"oxy","Asked first","yes"
"2788",2468498,"oxy","Asked second","yes"
"2789",2468526,"oxy","Asked second","yes"
"2790",2468562,"oxy","Asked second","yes"
"2791",2470610,"oxy","Asked first","yes"
"2792",2472850,"oxy","Asked first","yes"
"2793",2472858,"oxy","Asked second","yes"
"2794",2473837,"oxy","Asked first","yes"
"2795",2474014,"oxy","Asked second","no"
"2796",2474020,"oxy","Asked second","yes"
"2797",2474056,"oxy","Asked second","yes"
"2798",2474176,"oxy","Asked first","yes"
"2799",2474177,"oxy","Asked first","yes"
"2800",2474189,"oxy","Asked second","no"
"2801",2474252,"oxy","Asked first","yes"
"2802",2474254,"oxy","Asked second","yes"
"2803",2477323,"oxy","Asked first","yes"
"2804",2477855,"oxy","Asked second","yes"
"2805",2477933,"oxy","Asked first","yes"
"2806",2477938,"oxy","Asked second","yes"
"2807",2478303,"oxy","Asked first","yes"
"2808",2478307,"oxy","Asked second","yes"
"2809",2478344,"oxy","Asked first","no"
"2810",2478349,"oxy","Asked first","yes"
"2811",2479320,"oxy","Asked first","yes"
"2812",2479506,"oxy","Asked second","no"
"2813",2479520,"oxy","Asked first","yes"
"2815",2479549,"oxy","Asked first","yes"
"2816",2479567,"oxy","Asked first","no"
"2817",2479599,"oxy","Asked second","yes"
"2818",2480067,"oxy","Asked first","yes"
"2819",2480069,"oxy","Asked second","yes"
"2820",2480096,"oxy","Asked first","no"
"2821",2480103,"oxy","Asked first","yes"
"2822",2480200,"oxy","Asked second","yes"
"2823",2480203,"oxy","Asked second","yes"
"2824",2480294,"oxy","Asked second","no"
"2825",2480312,"oxy","Asked first","yes"
"2826",2480351,"oxy","Asked second","yes"
"2827",2480368,"oxy","Asked second","yes"
"2828",2480423,"oxy","Asked second","no"
"2830",2482032,"oxy","Asked second","yes"
"2831",2482046,"oxy","Asked second","no"
"2832",2482113,"oxy","Asked second","yes"
"2833",2482637,"oxy","Asked second","yes"
"2834",2482713,"oxy","Asked first","no"
"2835",2482718,"oxy","Asked first","yes"
"2836",2482744,"oxy","Asked first","yes"
"2837",2482764,"oxy","Asked first","no"
"2838",2482785,"oxy","Asked second","yes"
"2839",2482886,"oxy","Asked second","no"
"2840",2482887,"oxy","Asked second","yes"
"2841",2482889,"oxy","Asked first","yes"
"2842",2483043,"oxy","Asked first","yes"
"2843",2483379,"oxy","Asked second","yes"
"2844",2483385,"oxy","Asked first","yes"
"2845",2484212,"oxy","Asked first","yes"
"2846",2484256,"oxy","Asked second","yes"
"2847",2484273,"oxy","Asked second","yes"
"2848",2484301,"oxy","Asked second","yes"
"2849",2484312,"oxy","Asked first","yes"
"2850",2484316,"oxy","Asked first","no"
"2851",2484345,"oxy","Asked second","yes"
"2852",2484429,"oxy","Asked first","yes"
"2853",2484440,"oxy","Asked second","yes"
"2854",2484486,"oxy","Asked second","yes"
"2855",2484488,"oxy","Asked first","no"
"2856",2484532,"oxy","Asked second","yes"
"2857",2484632,"oxy","Asked first","yes"
"2858",2484634,"oxy","Asked first","yes"
"2859",2484656,"oxy","Asked first","yes"
"2860",2484661,"oxy","Asked first","yes"
"2861",2484737,"oxy","Asked second","yes"
"2862",2484741,"oxy","Asked first","yes"
"2863",2484870,"oxy","Asked second","yes"
"2864",2484875,"oxy","Asked second","yes"
"2865",2485179,"oxy","Asked first","no"
"2866",2485308,"oxy","Asked second","yes"
"2867",2485317,"oxy","Asked first","yes"
"2868",2485321,"oxy","Asked second","yes"
"2869",2485328,"oxy","Asked second","yes"
"2870",2485335,"oxy","Asked first","no"
"2871",2485350,"oxy","Asked first","yes"
"2872",2485352,"oxy","Asked first","yes"
"2873",2485378,"oxy","Asked first","yes"
"2874",2485381,"oxy","Asked first","yes"
"2875",2485408,"oxy","Asked first","yes"
"2876",2485423,"oxy","Asked second","yes"
"2877",2485616,"oxy","Asked first","yes"
"2878",2486362,"oxy","Asked second","yes"
"2879",2486467,"oxy","Asked first","yes"
"2880",2486468,"oxy","Asked second","yes"
"2881",2486681,"oxy","Asked first","yes"
"2882",2486686,"oxy","Asked first","yes"
"2883",2486705,"oxy","Asked first","yes"
"2884",2486762,"oxy","Asked first","no"
"2885",2487006,"oxy","Asked first","no"
"2886",2487036,"oxy","Asked first","yes"
"2887",2487040,"oxy","Asked second","yes"
"2888",2487042,"oxy","Asked first","yes"
"2889",2487072,"oxy","Asked second","no"
"2890",2487074,"oxy","Asked second","yes"
"2891",2487113,"oxy","Asked second","yes"
"2892",2487115,"oxy","Asked first","yes"
"2893",2487152,"oxy","Asked first","yes"
"2894",2487187,"oxy","Asked second","yes"
"2895",2487188,"oxy","Asked second","yes"
"2896",2487191,"oxy","Asked second","yes"
"2897",2487196,"oxy","Asked first","yes"
"2898",2487219,"oxy","Asked second","yes"
"2899",2487225,"oxy","Asked first","yes"
"2900",2487227,"oxy","Asked second","yes"
"2901",2487255,"oxy","Asked second","yes"
"2902",2487257,"oxy","Asked first","yes"
"2903",2487268,"oxy","Asked second","yes"
"2904",2487272,"oxy","Asked second","yes"
"2905",2487330,"oxy","Asked first","yes"
"2906",2496938,"oxy","Asked first","yes"
