"","session_id","referrer","reciprocitygroup","reciprocityus"
"6168",619630,"wl","Asked second","yes"
"6169",619631,"wl","Asked second","no"
"6170",619674,"wl","Asked second","no"
"6171",619812,"wl","Asked second","yes"
"6172",619813,"wl","Asked second","no"
"6173",619814,"wl","Asked first","yes"
"6174",619815,"wl","Asked second","yes"
"6175",619816,"wl","Asked first","yes"
"6176",619817,"wl","Asked second","no"
"6177",619818,"wl","Asked first","yes"
"6178",619819,"wl","Asked second","no"
"6179",619820,"wl","Asked second","yes"
"6180",619821,"wl","Asked second","yes"
"6181",619823,"wl","Asked first","yes"
"6182",620180,"wl","Asked first","yes"
"6183",2402361,"wl","Asked second","yes"
"6184",2402364,"wl","Asked first","yes"
"6185",2402367,"wl","Asked second","no"
"6186",2402609,"wl","Asked second","yes"
"6187",2407256,"wl","Asked first","yes"
"6188",2423119,"wl","Asked second","yes"
"6189",2423124,"wl","Asked second","yes"
"6190",2423129,"wl","Asked first","yes"
"6191",2423140,"wl","Asked second","yes"
"6192",2423146,"wl","Asked second","yes"
"6193",2423150,"wl","Asked first","yes"
"6194",2423158,"wl","Asked second","no"
"6195",2423161,"wl","Asked second","yes"
"6196",2423162,"wl","Asked second","yes"
"6197",2423166,"wl","Asked second","yes"
"6198",2423175,"wl","Asked first","yes"
"6199",2423178,"wl","Asked first","no"
"6200",2423187,"wl","Asked second","yes"
"6201",2423190,"wl","Asked first","yes"
"6202",2427277,"wl","Asked first","yes"
"6203",2427306,"wl","Asked first","no"
"6204",2427312,"wl","Asked first","no"
"6205",2427315,"wl","Asked second","yes"
"6206",2427318,"wl","Asked second","yes"
"6207",2427319,"wl","Asked second","no"
"6208",2427320,"wl","Asked second","yes"
"6209",2427321,"wl","Asked first","yes"
"6210",2429800,"wl","Asked first","yes"
"6211",2429801,"wl","Asked first","yes"
"6212",2429807,"wl","Asked first","yes"
"6213",2429809,"wl","Asked second","yes"
"6214",2429812,"wl","Asked first","no"
"6215",2429813,"wl","Asked second","no"
"6216",2429816,"wl","Asked first","yes"
"6217",2429817,"wl","Asked second","yes"
"6218",2429818,"wl","Asked first","yes"
"6219",2429820,"wl","Asked first","yes"
"6220",2429823,"wl","Asked first","yes"
"6221",2429824,"wl","Asked first","yes"
"6222",2429826,"wl","Asked second","yes"
"6223",2429827,"wl","Asked second","yes"
"6224",2429830,"wl","Asked first","yes"
"6225",2431590,"wl","Asked first","yes"
"6226",2431595,"wl","Asked second","yes"
"6227",2431601,"wl","Asked second","yes"
"6228",2431607,"wl","Asked first","no"
"6229",2431662,"wl","Asked second","yes"
"6230",2443981,"wl","Asked first","yes"
"6231",2447928,"wl","Asked first","no"
"6232",2447956,"wl","Asked first","yes"
"6233",2454317,"wl","Asked second","yes"
"6234",2458555,"wl","Asked first","yes"
"6235",2459510,"wl","Asked first","no"
"6236",2459512,"wl","Asked second","yes"
"6237",2459514,"wl","Asked second","yes"
"6238",2459517,"wl","Asked second","no"
"6239",2459520,"wl","Asked second","yes"
"6240",2459588,"wl","Asked first","yes"
"6241",2462162,"wl","Asked second","yes"
"6242",2462166,"wl","Asked second","yes"
"6243",2466078,"wl","Asked first","yes"
"6244",2479546,"wl","Asked second","yes"
"6245",2479565,"wl","Asked second","yes"
"6246",2479845,"wl","Asked first","yes"
"6247",2479851,"wl","Asked second","yes"
"6248",2479861,"wl","Asked first","no"
"6249",2479943,"wl","Asked second","yes"
"6250",2480471,"wl","Asked second","yes"
"6251",2480476,"wl","Asked first","no"
"6252",2480478,"wl","Asked first","yes"
"6253",2480480,"wl","Asked second","yes"
"6254",2480482,"wl","Asked first","yes"
"6255",2480484,"wl","Asked first","yes"
"6256",2481270,"wl","Asked second","yes"
"6257",2481507,"wl","Asked second","yes"
