"","session_id","referrer","reciprocitygroup","reciprocityus"
"85",2401243,"brasilia","Asked second","yes"
"86",2401244,"brasilia","Asked second","yes"
"87",2401246,"brasilia","Asked first","yes"
"88",2401249,"brasilia","Asked first","yes"
"89",2401250,"brasilia","Asked second","no"
"90",2401251,"brasilia","Asked first","yes"
"91",2401252,"brasilia","Asked first","yes"
"92",2401255,"brasilia","Asked second","yes"
"93",2401257,"brasilia","Asked first","yes"
"94",2401258,"brasilia","Asked first","no"
"95",2401259,"brasilia","Asked first","no"
"96",2401260,"brasilia","Asked second","yes"
"97",2401261,"brasilia","Asked second","yes"
"98",2401305,"brasilia","Asked first","no"
"99",2401306,"brasilia","Asked second","yes"
"100",2401308,"brasilia","Asked second","yes"
"101",2401309,"brasilia","Asked first","yes"
"102",2401312,"brasilia","Asked first","no"
"103",2401316,"brasilia","Asked second","yes"
"104",2401319,"brasilia","Asked second","yes"
"105",2401320,"brasilia","Asked second","no"
"106",2401322,"brasilia","Asked first","no"
"107",2401325,"brasilia","Asked first","yes"
"108",2401328,"brasilia","Asked first","yes"
"109",2401329,"brasilia","Asked second","no"
"110",2401335,"brasilia","Asked first","yes"
"111",2401336,"brasilia","Asked first","no"
"112",2401341,"brasilia","Asked second","yes"
"113",2401343,"brasilia","Asked first","yes"
"114",2401352,"brasilia","Asked second","yes"
"115",2401368,"brasilia","Asked second","yes"
"116",2401371,"brasilia","Asked second","yes"
"117",2401380,"brasilia","Asked first","yes"
"118",2401382,"brasilia","Asked first","no"
"119",2401385,"brasilia","Asked first","yes"
"120",2401388,"brasilia","Asked first","no"
"121",2401389,"brasilia","Asked second","yes"
"122",2401390,"brasilia","Asked first","yes"
"123",2401391,"brasilia","Asked first","no"
"124",2401393,"brasilia","Asked second","yes"
"125",2401396,"brasilia","Asked second","yes"
"126",2401398,"brasilia","Asked second","yes"
"127",2401399,"brasilia","Asked second","no"
"128",2401400,"brasilia","Asked second","yes"
"129",2401402,"brasilia","Asked second","yes"
"130",2401405,"brasilia","Asked second","yes"
"131",2401417,"brasilia","Asked second","yes"
"132",2401440,"brasilia","Asked first","no"
"133",2401462,"brasilia","Asked second","yes"
"134",2401463,"brasilia","Asked first","yes"
"135",2401464,"brasilia","Asked first","yes"
"136",2401466,"brasilia","Asked second","no"
"137",2401472,"brasilia","Asked first","yes"
"138",2401476,"brasilia","Asked first","yes"
"139",2401485,"brasilia","Asked first","yes"
"140",2401488,"brasilia","Asked first","yes"
"141",2401489,"brasilia","Asked first","yes"
"142",2401490,"brasilia","Asked first","yes"
"143",2401494,"brasilia","Asked first","yes"
"144",2401495,"brasilia","Asked second","no"
"145",2401497,"brasilia","Asked second","yes"
"146",2402832,"brasilia","Asked second","no"
"147",2403781,"brasilia","Asked second","yes"
"148",2404006,"brasilia","Asked first","no"
"149",2406260,"brasilia","Asked first","yes"
"150",2413394,"brasilia","Asked second","yes"
"151",2413458,"brasilia","Asked first","no"
"152",2422247,"brasilia","Asked first","no"
"153",2422422,"brasilia","Asked second","no"
"154",2422639,"brasilia","Asked second","yes"
"155",2426482,"brasilia","Asked first","yes"
"156",2428845,"brasilia","Asked second","yes"
"157",2428937,"brasilia","Asked first","yes"
"158",2429105,"brasilia","Asked first","yes"
"159",2429257,"brasilia","Asked second","yes"
"160",2439535,"brasilia","Asked second","yes"
"161",2442313,"brasilia","Asked first","yes"
"162",2442618,"brasilia","Asked second","yes"
"163",2442751,"brasilia","Asked second","yes"
"164",2445814,"brasilia","Asked first","yes"
"165",2446096,"brasilia","Asked second","yes"
"166",2451802,"brasilia","Asked second","yes"
"167",2452252,"brasilia","Asked first","yes"
"168",2452326,"brasilia","Asked first","no"
"169",2453867,"brasilia","Asked first","yes"
"170",2457082,"brasilia","Asked first","no"
"171",2457236,"brasilia","Asked first","yes"
"172",2458747,"brasilia","Asked second","yes"
"173",2458796,"brasilia","Asked second","yes"
"174",2458919,"brasilia","Asked first","yes"
"175",2462035,"brasilia","Asked second","yes"
"176",2465382,"brasilia","Asked first","no"
"177",2465673,"brasilia","Asked first","yes"
"178",2465905,"brasilia","Asked second","yes"
"179",2466041,"brasilia","Asked second","no"
"180",2466133,"brasilia","Asked first","yes"
"181",2467447,"brasilia","Asked first","no"
"182",2467639,"brasilia","Asked second","yes"
"183",2467777,"brasilia","Asked second","no"
"184",2467949,"brasilia","Asked second","yes"
"185",2468111,"brasilia","Asked first","yes"
"186",2469707,"brasilia","Asked first","yes"
"187",2469812,"brasilia","Asked first","yes"
"188",2469887,"brasilia","Asked second","no"
"189",2470010,"brasilia","Asked first","no"
"190",2470140,"brasilia","Asked second","yes"
"191",2471873,"brasilia","Asked first","yes"
"192",2472163,"brasilia","Asked second","yes"
"193",2472247,"brasilia","Asked first","no"
"194",2472309,"brasilia","Asked first","yes"
"195",2477425,"brasilia","Asked second","yes"
"196",2477613,"brasilia","Asked second","yes"
"197",2477757,"brasilia","Asked first","yes"
"198",2477847,"brasilia","Asked second","yes"
"199",2479434,"brasilia","Asked first","no"
"200",2479598,"brasilia","Asked first","yes"
"201",2479656,"brasilia","Asked second","yes"
"202",2479774,"brasilia","Asked first","no"
"203",2482449,"brasilia","Asked first","no"
"204",2482575,"brasilia","Asked first","yes"
