"","session_id","referrer","reciprocitygroup","reciprocityus"
"384",2456784,"csun","Asked first","no"
"385",2456788,"csun","Asked second","no"
"386",2456823,"csun","Asked second","yes"
"387",2456844,"csun","Asked first","no"
"388",2456892,"csun","Asked first","yes"
"389",2456916,"csun","Asked first","no"
"390",2456928,"csun","Asked first","no"
"391",2457020,"csun","Asked second","no"
"392",2457046,"csun","Asked second","yes"
"393",2457073,"csun","Asked first","yes"
"394",2457074,"csun","Asked first","yes"
"395",2457085,"csun","Asked second","yes"
"396",2457121,"csun","Asked second","no"
"397",2457137,"csun","Asked first","yes"
"398",2457163,"csun","Asked first","no"
"399",2457186,"csun","Asked second","no"
"400",2457202,"csun","Asked second","yes"
"401",2457261,"csun","Asked second","yes"
"402",2457268,"csun","Asked second","no"
"403",2457292,"csun","Asked second","yes"
"404",2457303,"csun","Asked second","no"
"405",2457311,"csun","Asked first","no"
"406",2457318,"csun","Asked second","no"
"407",2457331,"csun","Asked second","no"
"408",2457380,"csun","Asked first","yes"
"409",2457385,"csun","Asked second","yes"
"410",2457394,"csun","Asked first","yes"
"411",2457404,"csun","Asked second","no"
"412",2457450,"csun","Asked first","no"
"413",2457471,"csun","Asked second","yes"
"414",2457473,"csun","Asked first","yes"
"415",2457480,"csun","Asked second","yes"
"416",2457504,"csun","Asked second","yes"
"417",2457572,"csun","Asked second","yes"
"418",2457577,"csun","Asked first","no"
"419",2457600,"csun","Asked first","no"
"420",2457611,"csun","Asked second","yes"
"421",2457620,"csun","Asked second","yes"
"422",2457623,"csun","Asked first","yes"
"423",2457637,"csun","Asked first","yes"
"424",2457650,"csun","Asked second","yes"
"425",2457661,"csun","Asked second","no"
"426",2457672,"csun","Asked first","yes"
"427",2457686,"csun","Asked first","no"
"428",2457695,"csun","Asked first","yes"
"429",2457718,"csun","Asked second","no"
"430",2457739,"csun","Asked second","yes"
"431",2457741,"csun","Asked second","no"
"432",2457742,"csun","Asked first","yes"
"433",2457780,"csun","Asked second","yes"
"434",2457800,"csun","Asked second","no"
"435",2457808,"csun","Asked second","no"
"436",2457821,"csun","Asked second","no"
"437",2457822,"csun","Asked second","no"
"438",2457828,"csun","Asked first","yes"
"439",2457868,"csun","Asked first","yes"
"440",2457886,"csun","Asked first","no"
"441",2457897,"csun","Asked first","no"
"442",2457898,"csun","Asked first","no"
"443",2457899,"csun","Asked second","no"
"444",2457900,"csun","Asked first","yes"
"445",2457901,"csun","Asked second","no"
"446",2457904,"csun","Asked first","no"
"447",2457917,"csun","Asked second","no"
"448",2457928,"csun","Asked first","no"
"449",2457932,"csun","Asked first","no"
"450",2457937,"csun","Asked first","no"
"451",2457943,"csun","Asked first","yes"
"452",2457949,"csun","Asked first","no"
"453",2457954,"csun","Asked first","no"
"454",2457958,"csun","Asked second","no"
"455",2457975,"csun","Asked second","yes"
"456",2457988,"csun","Asked first","no"
"457",2457992,"csun","Asked second","no"
"458",2457994,"csun","Asked first","no"
"459",2458037,"csun","Asked second","yes"
"460",2458042,"csun","Asked first","no"
"461",2458045,"csun","Asked second","yes"
"462",2458056,"csun","Asked second","no"
"463",2458063,"csun","Asked first","no"
"464",2458069,"csun","Asked first","no"
"465",2458097,"csun","Asked first","no"
"466",2458116,"csun","Asked second","no"
"467",2458145,"csun","Asked first","yes"
"468",2458488,"csun","Asked first","yes"
"469",2459401,"csun","Asked second","yes"
"470",2459660,"csun","Asked second","yes"
"471",2459700,"csun","Asked second","yes"
"472",2459706,"csun","Asked first","yes"
"473",2459739,"csun","Asked first","no"
"474",2459840,"csun","Asked second","yes"
"475",2459976,"csun","Asked first","yes"
"476",2459977,"csun","Asked second","yes"
"477",2460053,"csun","Asked first","yes"
"478",2461684,"csun","Asked second","no"
"479",2462263,"csun","Asked first","no"
