"","session_id","referrer","reciprocitygroup","reciprocityus"
"5969",2451755,"wisc","Asked second","no"
"5970",2451756,"wisc","Asked second","yes"
"5971",2451762,"wisc","Asked first","yes"
"5972",2451763,"wisc","Asked first","yes"
"5973",2451765,"wisc","Asked second","yes"
"5974",2451768,"wisc","Asked first","no"
"5975",2451769,"wisc","Asked second","yes"
"5976",2451773,"wisc","Asked first","yes"
"5977",2451775,"wisc","Asked first","yes"
"5978",2451782,"wisc","Asked first","no"
"5979",2451811,"wisc","Asked first","no"
"5980",2451854,"wisc","Asked second","yes"
"5981",2451914,"wisc","Asked second","no"
"5982",2451915,"wisc","Asked second","yes"
"5983",2451917,"wisc","Asked second","yes"
"5984",2451918,"wisc","Asked first","no"
"5985",2451920,"wisc","Asked first","no"
"5986",2451921,"wisc","Asked first","no"
"5987",2451924,"wisc","Asked second","no"
"5988",2451926,"wisc","Asked second","yes"
"5989",2451927,"wisc","Asked first","no"
"5990",2451929,"wisc","Asked first","yes"
"5991",2451942,"wisc","Asked first","no"
"5992",2451979,"wisc","Asked first","yes"
"5993",2451983,"wisc","Asked first","yes"
"5994",2461615,"wisc","Asked second","yes"
"5995",2461618,"wisc","Asked first","yes"
"5996",2461619,"wisc","Asked first","yes"
"5997",2461623,"wisc","Asked second","yes"
"5998",2461641,"wisc","Asked first","no"
"5999",2461643,"wisc","Asked second","no"
"6000",2461658,"wisc","Asked first","yes"
"6001",2461749,"wisc","Asked first","no"
"6002",2461756,"wisc","Asked second","yes"
"6003",2461765,"wisc","Asked first","yes"
"6004",2461774,"wisc","Asked second","yes"
"6005",2461788,"wisc","Asked second","no"
"6006",2461790,"wisc","Asked first","yes"
"6007",2461792,"wisc","Asked second","yes"
"6008",2461806,"wisc","Asked first","yes"
"6009",2461810,"wisc","Asked first","yes"
"6010",2461899,"wisc","Asked second","yes"
"6011",2461906,"wisc","Asked first","yes"
"6012",2461911,"wisc","Asked first","yes"
"6013",2461913,"wisc","Asked second","yes"
"6014",2461915,"wisc","Asked second","yes"
"6015",2461918,"wisc","Asked second","yes"
"6016",2461920,"wisc","Asked first","yes"
"6017",2461921,"wisc","Asked second","yes"
"6018",2461924,"wisc","Asked second","yes"
"6019",2461974,"wisc","Asked first","yes"
"6020",2461982,"wisc","Asked first","yes"
"6021",2461986,"wisc","Asked first","yes"
"6022",2461988,"wisc","Asked second","yes"
"6023",2461994,"wisc","Asked first","no"
"6024",2462000,"wisc","Asked second","no"
"6025",2462005,"wisc","Asked first","no"
"6026",2462007,"wisc","Asked first","yes"
"6027",2462009,"wisc","Asked second","yes"
"6028",2462013,"wisc","Asked first","no"
"6029",2462014,"wisc","Asked second","yes"
"6030",2462063,"wisc","Asked second","yes"
"6031",2462080,"wisc","Asked first","yes"
"6032",2462088,"wisc","Asked first","yes"
"6033",2462094,"wisc","Asked second","yes"
"6034",2462102,"wisc","Asked first","yes"
"6035",2462104,"wisc","Asked first","yes"
"6036",2462128,"wisc","Asked first","yes"
"6037",2462132,"wisc","Asked first","no"
"6038",2462133,"wisc","Asked second","yes"
"6039",2462137,"wisc","Asked first","yes"
"6040",2462152,"wisc","Asked first","yes"
"6041",2462184,"wisc","Asked second","no"
"6042",2462186,"wisc","Asked first","yes"
"6043",2462187,"wisc","Asked first","yes"
"6044",2462188,"wisc","Asked first","yes"
"6045",2462194,"wisc","Asked first","yes"
"6046",2465656,"wisc","Asked second","yes"
"6047",2465659,"wisc","Asked first","yes"
"6048",2465663,"wisc","Asked second","no"
"6049",2465664,"wisc","Asked second","no"
"6050",2465666,"wisc","Asked first","no"
"6051",2465667,"wisc","Asked second","no"
"6052",2465671,"wisc","Asked first","yes"
"6053",2465672,"wisc","Asked second","yes"
"6054",2465677,"wisc","Asked first","no"
"6055",2465714,"wisc","Asked second","yes"
"6056",2465716,"wisc","Asked first","yes"
"6057",2477361,"wisc","Asked second","yes"
"6058",2477363,"wisc","Asked second","yes"
"6059",2477365,"wisc","Asked second","no"
"6060",2477368,"wisc","Asked first","yes"
"6061",2477371,"wisc","Asked first","no"
"6062",2477374,"wisc","Asked first","no"
"6063",2477375,"wisc","Asked first","yes"
"6064",2477418,"wisc","Asked second","no"
