"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"523","1","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"525","100","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Fail"
"528","103","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"529","104","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"530","105","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"531","106","MichiganStateUniversity","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"536","110","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"537","111","MichiganStateUniversity","object-centric","Ego-Inconsistent","Yes","20","Sophomore","Female","Other","Fail"
"538","112","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Fail"
"542","116","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"544","118","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"548","121","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"549","122","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Male","White, non-Hispanic or latino","Fail"
"550","123","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"551","124","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"554","127","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"555","127","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","21","Senior","Female","White, non-Hispanic or latino","Pass"
"556","128","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"557","129","MichiganStateUniversity","object-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"558","13","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"559","130","MichiganStateUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","Multiracial","Pass"
"562","133","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"563","134","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"565","136","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"568","139","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","25","Senior","Female","Asian-American","Pass"
"569","14","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"571","141","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"572","142","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"575","145","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
"576","146","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Junior","Female","White, non-Hispanic or latino","Pass"
"577","147","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"578","148","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"582","151","MichiganStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"585","154","MichiganStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"589","158","MichiganStateUniversity","ego-centric","Ego-Consistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"590","159","MichiganStateUniversity","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","White, non-Hispanic or latino","Pass"
