"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2335","1","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Fail"
"2336","10","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","21","Senior","Male","Multiracial","Pass"
"2341","105","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2345","109","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2347","110","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"2352","115","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Latino or Hispanic","Pass"
"2353","116","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"2354","117","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Multiracial","Pass"
"2355","118","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","African-American","Pass"
"2359","121","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2360","122","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"2365","127","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","35","Junior","Female","African-American","Fail"
"2366","128","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2367","129","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","Asian-American","Pass"
"2368","13","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Female","Asian-American","Pass"
"2369","130","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2372","133","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2377","14","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"2379","16","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Pass"
"2382","19","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2383","2","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","38","Other","Female","Multiracial","Pass"
"2385","21","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","20","Sophomore","Male","Latino or Hispanic","Pass"
"2386","22","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2389","25","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"2391","27","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2394","3","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","20","Junior",NA,"Other","Fail"
"2396","31","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2397","32","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2398","33","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Multiracial","Pass"
"2399","34","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2402","37","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","25","First-year","Male","Other","Pass"
"2403","38","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Multiracial","Pass"
"2404","39","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2409","43","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2410","44","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2411","45","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
"2412","46","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","Asian-American","Fail"
"2415","49","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2417","50","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","Sophomore","Female","African-American","Pass"
"2419","52","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Fail"
"2422","55","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","Latino or Hispanic","Pass"
"2423","56","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","22","Other","Male","White, non-Hispanic or latino","Pass"
"2424","57","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","First-year","Male","Latino or Hispanic","Pass"
"2425","58","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino",NA
"2429","61","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Fail"
"2432","64","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"2435","67","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Female","Asian-American","Pass"
"2436","68","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2438","7","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","19","First-year","Male","Other","Pass"
"2442","73","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2443","74","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Asian-American","Fail"
"2444","75","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","20","Junior","Male","White, non-Hispanic or latino","Pass"
"2445","76","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Pass"
"2448","79","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2449","8","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"2450","80","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2455","85","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"2458","88","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2460","9","SanDiegoStateUniversity","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","Asian-American","Pass"
"2462","91","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","29","Senior","Female","Latino or Hispanic","Pass"
"2463","92","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2464","93","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"2465","94","SanDiegoStateUniversity","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"2468","97","SanDiegoStateUniversity","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Multiracial","Pass"
"2469","98","SanDiegoStateUniversity","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Multiracial","Pass"
