"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"2815","10","UCRiverside","object-centric","Ego-Consistent","Yes","23","Junior","Female","Asian-American","Pass"
"2820","104","UCRiverside","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","Asian-American","Pass"
"2821","105","UCRiverside","object-centric","Ego-Consistent","Yes","22","Senior","Female","Asian-American","Pass"
"2822","106","UCRiverside","object-centric","Ego-Inconsistent","Yes","20","Junior","Female","Asian-American","Pass"
"2825","109","UCRiverside","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Multiracial","Fail"
"2827","110","UCRiverside","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2828","111","UCRiverside","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"2829","112","UCRiverside","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"2832","115","UCRiverside","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","Asian-American","Pass"
"2835","118","UCRiverside","object-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2839","121","UCRiverside","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2840","122","UCRiverside","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Fail"
"2841","123","UCRiverside","object-centric","Ego-Consistent","Yes","20","Junior","Female","Asian-American","Fail"
"2845","127","UCRiverside","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"2846","128","UCRiverside","ego-centric","Ego-Consistent","Yes",NA,"Junior","Female","White, non-Hispanic or latino","Pass"
"2848","13","UCRiverside","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"2852","133","UCRiverside","ego-centric","Ego-Consistent","Yes","17","First-year","Female","African-American","Pass"
"2858","139","UCRiverside","ego-centric","Ego-Inconsistent","Yes","20","Junior","Male","African-American","Pass"
