"","Participant_ID","referrer","SRCondition","SRMeetingResponse","SRTFCorrect","age","year","Genderfactor","ethnicity","AttentionCheck"
"3078","1","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","Asian-American","Pass"
"3079","10","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"3080","100","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3084","104","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3085","105","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Male","Asian-American","Pass"
"3086","106","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3089","109","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3091","110","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3093","112","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","Latino or Hispanic","Pass"
"3097","116","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3099","118","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","22","Senior","Male","African-American","Pass"
"3104","122","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3105","123","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3106","124","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Male","Latino or Hispanic","Fail"
"3109","127","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3110","128","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3111","129","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3112","13","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3113","130","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3116","133","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3117","134","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3118","135","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3119","136","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","20","Sophomore","Male","Asian-American","Fail"
"3121","14","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3122","15","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3126","19","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"3127","2","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3128","20","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3129","21","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3130","22","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3133","25","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Fail"
"3134","26","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3136","28","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3138","3","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"3140","31","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","21","Junior","Female","White, non-Hispanic or latino","Pass"
"3141","32","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","Latino or Hispanic","Pass"
"3142","33","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3143","34","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3146","37","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","20","Junior","Female","Asian-American","Pass"
"3147","38","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","21","Junior","Female","Latino or Hispanic","Pass"
"3150","40","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes",NA,NA,NA,NA,NA
"3153","43","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","First-year","Male","White, non-Hispanic or latino","Pass"
"3155","45","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Female","Asian-American","Pass"
"3156","46","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3159","49","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","African-American","Pass"
"3161","50","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3162","51","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Fail"
"3163","52","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3166","55","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3167","56","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3168","57","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3173","61","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","20","Sophomore","Female","Asian-American","Fail"
"3174","62","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3179","67","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3181","69","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3182","7","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3186","73","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3189","76","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Male","African-American","Pass"
"3192","79","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","26","Junior","Female","White, non-Hispanic or latino","Fail"
"3193","8","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes",NA,NA,NA,NA,NA
"3194","80","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","Latino or Hispanic","Pass"
"3195","81","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3199","85","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","First-year","Female","African-American","Pass"
"3200","86","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3201","87","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3202","88","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3206","91","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3207","92","UniversityOfFlorida","ego-centric","Ego-Inconsistent","Yes","19","Sophomore","Female","African-American","Fail"
"3208","93","UniversityOfFlorida","object-centric","Ego-Inconsistent","Yes","18","First-year","Male","Other","Fail"
"3209","94","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","19","First-year","Female","White, non-Hispanic or latino","Pass"
"3212","97","UniversityOfFlorida","ego-centric","Ego-Consistent","Yes","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3214","99","UniversityOfFlorida","object-centric","Ego-Consistent","Yes","24","Junior","Male","Latino or Hispanic","Pass"
