"","session_id","referrer","reciprocitygroup","reciprocityus"
"1",2400853,"abington","Asked first","yes"
"2",2400856,"abington","Asked second","yes"
"3",2400860,"abington","Asked second","yes"
"4",2400868,"abington","Asked second","yes"
"5",2400872,"abington","Asked second","no"
"6",2400914,"abington","Asked first","yes"
"7",2400916,"abington","Asked first","yes"
"8",2400925,"abington","Asked second","yes"
"9",2400934,"abington","Asked second","yes"
"10",2407192,"abington","Asked first","yes"
"11",2407222,"abington","Asked first","no"
"12",2407225,"abington","Asked second","yes"
"13",2407227,"abington","Asked second","no"
"14",2407268,"abington","Asked first","yes"
"15",2407271,"abington","Asked second","yes"
"16",2407288,"abington","Asked second","no"
"17",2407289,"abington","Asked first","yes"
"18",2407335,"abington","Asked first","no"
"19",2407367,"abington","Asked second","no"
"20",2407368,"abington","Asked second","yes"
"21",2407369,"abington","Asked second","yes"
"22",2407370,"abington","Asked first","no"
"23",2407373,"abington","Asked first","no"
"24",2407395,"abington","Asked first","no"
"25",2407403,"abington","Asked second","yes"
"26",2407404,"abington","Asked second","yes"
"27",2407405,"abington","Asked second","no"
"28",2407407,"abington","Asked second","yes"
"29",2407412,"abington","Asked second","yes"
"30",2407864,"abington","Asked first","no"
"31",2407866,"abington","Asked second","no"
"32",2407983,"abington","Asked second","no"
"33",2407987,"abington","Asked second","yes"
"34",2408017,"abington","Asked first","yes"
"35",2408033,"abington","Asked first","yes"
"36",2408059,"abington","Asked first","no"
"37",2408084,"abington","Asked second","yes"
"38",2409135,"abington","Asked second","yes"
"39",2409137,"abington","Asked second","no"
"40",2409138,"abington","Asked second","yes"
"41",2409144,"abington","Asked second","no"
"42",2409145,"abington","Asked first","yes"
"43",2409147,"abington","Asked first","no"
"44",2409150,"abington","Asked first","no"
"45",2409203,"abington","Asked first","no"
"46",2409204,"abington","Asked first","yes"
"47",2409209,"abington","Asked first","yes"
"48",2409214,"abington","Asked first","no"
"49",2409217,"abington","Asked second","yes"
"50",2409255,"abington","Asked first","yes"
"51",2409256,"abington","Asked second","yes"
"52",2409259,"abington","Asked second","no"
"53",2409260,"abington","Asked second","no"
"54",2409264,"abington","Asked first","yes"
"55",2409552,"abington","Asked first","no"
"56",2409555,"abington","Asked second","yes"
"57",2409556,"abington","Asked second","no"
"58",2409603,"abington","Asked first","yes"
"59",2409605,"abington","Asked second","yes"
"60",2409606,"abington","Asked first","yes"
"61",2409607,"abington","Asked first","yes"
"62",2410995,"abington","Asked second","yes"
"63",2410997,"abington","Asked second","yes"
"64",2411137,"abington","Asked second","no"
"65",2411191,"abington","Asked first","no"
"66",2411192,"abington","Asked first","no"
"67",2411195,"abington","Asked first","yes"
"68",2411198,"abington","Asked second","yes"
"69",2411199,"abington","Asked first","yes"
"70",2411202,"abington","Asked first","yes"
"71",2411203,"abington","Asked first","no"
"72",2411204,"abington","Asked second","yes"
"73",2411205,"abington","Asked second","yes"
"74",2411301,"abington","Asked first","yes"
"75",2411308,"abington","Asked first","no"
"76",2411379,"abington","Asked second","yes"
"77",2411382,"abington","Asked second","yes"
"78",2411384,"abington","Asked first","yes"
"79",2411385,"abington","Asked first","yes"
"80",2411395,"abington","Asked second","no"
"81",2411401,"abington","Asked second","no"
"82",2411402,"abington","Asked second","yes"
"83",2411443,"abington","Asked first","yes"
"84",2411445,"abington","Asked first","yes"
