"","session_id","referrer","reciprocitygroup","reciprocityus"
"4331",2435605,"qccuny","Asked first","no"
"4332",2435609,"qccuny","Asked first","no"
"4333",2435611,"qccuny","Asked second","no"
"4335",2435994,"qccuny","Asked second","yes"
"4336",2435995,"qccuny","Asked first","yes"
"4337",2436001,"qccuny","Asked first","yes"
"4338",2436104,"qccuny","Asked first","no"
"4339",2436106,"qccuny","Asked second","yes"
"4340",2436108,"qccuny","Asked first","yes"
"4341",2436109,"qccuny","Asked first","no"
"4342",2440777,"qccuny","Asked first","yes"
"4343",2442207,"qccuny","Asked first","no"
"4344",2442594,"qccuny","Asked first","yes"
"4345",2442597,"qccuny","Asked first","no"
"4346",2442600,"qccuny","Asked first","no"
"4347",2442616,"qccuny","Asked second","no"
"4348",2443480,"qccuny","Asked first","no"
"4349",2443559,"qccuny","Asked second","no"
"4350",2445944,"qccuny","Asked first","no"
"4351",2445947,"qccuny","Asked first","yes"
"4352",2445952,"qccuny","Asked second","yes"
"4353",2445955,"qccuny","Asked second","no"
"4354",2446058,"qccuny","Asked second","yes"
"4355",2446093,"qccuny","Asked first","no"
"4356",2446098,"qccuny","Asked second","yes"
"4357",2446101,"qccuny","Asked first","yes"
"4358",2446232,"qccuny","Asked first","no"
"4359",2446279,"qccuny","Asked first","no"
"4360",2446283,"qccuny","Asked second","no"
"4361",2447378,"qccuny","Asked second","no"
"4362",2447379,"qccuny","Asked first","yes"
"4363",2447381,"qccuny","Asked first","no"
"4364",2447382,"qccuny","Asked first","no"
"4365",2447428,"qccuny","Asked first","yes"
"4366",2447431,"qccuny","Asked first","no"
"4367",2447432,"qccuny","Asked second","yes"
"4368",2447571,"qccuny","Asked first","no"
"4369",2451780,"qccuny","Asked second","yes"
"4370",2452217,"qccuny","Asked second","yes"
"4371",2452227,"qccuny","Asked second","yes"
"4372",2452232,"qccuny","Asked second","yes"
"4373",2452233,"qccuny","Asked first","no"
"4374",2452291,"qccuny","Asked first","no"
"4375",2452351,"qccuny","Asked first","no"
"4376",2452354,"qccuny","Asked first","yes"
"4377",2452358,"qccuny","Asked second","yes"
"4378",2454871,"qccuny","Asked first","yes"
"4379",2454875,"qccuny","Asked first","no"
"4380",2454880,"qccuny","Asked second","no"
"4381",2454887,"qccuny","Asked first","yes"
"4382",2454953,"qccuny","Asked first","yes"
"4383",2458773,"qccuny","Asked first","yes"
"4384",2458792,"qccuny","Asked second","no"
"4385",2458793,"qccuny","Asked second","yes"
"4386",2458871,"qccuny","Asked first","no"
"4387",2458873,"qccuny","Asked second","no"
"4388",2458876,"qccuny","Asked first","no"
"4389",2458906,"qccuny","Asked first","yes"
"4390",2458992,"qccuny","Asked first","no"
"4391",2458996,"qccuny","Asked first","yes"
"4392",2459011,"qccuny","Asked first","yes"
"4393",2459017,"qccuny","Asked first","yes"
"4394",2460980,"qccuny","Asked second","no"
"4395",2460982,"qccuny","Asked first","no"
"4396",2460988,"qccuny","Asked first","yes"
"4397",2461079,"qccuny","Asked second","yes"
"4398",2461192,"qccuny","Asked first","yes"
"4399",2461195,"qccuny","Asked second","yes"
"4400",2461359,"qccuny","Asked first","no"
"4401",2465670,"qccuny","Asked first","no"
"4402",2465683,"qccuny","Asked second","yes"
"4403",2466121,"qccuny","Asked second","yes"
"4404",2466123,"qccuny","Asked first","no"
"4405",2466125,"qccuny","Asked second","yes"
"4406",2468372,"qccuny","Asked second","no"
"4407",2468381,"qccuny","Asked first","yes"
"4408",2468429,"qccuny","Asked first","no"
"4409",2468430,"qccuny","Asked first","yes"
"4410",2468439,"qccuny","Asked first","no"
"4411",2468449,"qccuny","Asked first","no"
"4412",2469494,"qccuny","Asked first","yes"
"4413",2469495,"qccuny","Asked first","yes"
"4414",2469498,"qccuny","Asked second","yes"
"4415",2469526,"qccuny","Asked second","no"
"4416",2469837,"qccuny","Asked first","no"
"4417",2469845,"qccuny","Asked second","yes"
"4418",2469848,"qccuny","Asked second","yes"
"4419",2469854,"qccuny","Asked first","yes"
"4420",2470430,"qccuny","Asked first","no"
"4421",2470432,"qccuny","Asked first","yes"
"4422",2472217,"qccuny","Asked second","yes"
"4423",2472226,"qccuny","Asked first","no"
"4424",2472339,"qccuny","Asked first","no"
"4425",2472340,"qccuny","Asked second","no"
"4426",2472380,"qccuny","Asked first","yes"
"4427",2472440,"qccuny","Asked first","yes"
"4428",2472457,"qccuny","Asked second","yes"
"4429",2473367,"qccuny","Asked second","no"
"4430",2473368,"qccuny","Asked second","yes"
"4431",2473414,"qccuny","Asked first","no"
"4432",2473484,"qccuny","Asked second","no"
"4433",2473485,"qccuny","Asked second","no"
