"","session_id","referrer","reciprocitygroup","reciprocityus"
"4761",2435230,"swpson","Asked second","yes"
"4762",2435236,"swpson","Asked second","yes"
"4763",2435237,"swpson","Asked first","yes"
"4764",2435239,"swpson","Asked first","yes"
"4765",2435240,"swpson","Asked second","yes"
"4766",2435243,"swpson","Asked first","no"
"4767",2435245,"swpson","Asked second","yes"
"4768",2435247,"swpson","Asked second","yes"
"4769",2435249,"swpson","Asked first","yes"
"4770",2435256,"swpson","Asked first","no"
"4771",2435258,"swpson","Asked first","yes"
"4772",2435262,"swpson","Asked second","yes"
"4773",2435274,"swpson","Asked first","yes"
"4774",2435279,"swpson","Asked first","yes"
"4775",2435283,"swpson","Asked first","yes"
"4776",2435301,"swpson","Asked second","yes"
"4777",2435303,"swpson","Asked second","no"
"4778",2435307,"swpson","Asked second","yes"
"4779",2435319,"swpson","Asked second","yes"
"4780",2435320,"swpson","Asked second","yes"
"4781",2435371,"swpson","Asked first","yes"
"4782",2435417,"swpson","Asked first","no"
"4783",2435424,"swpson","Asked first","yes"
"4784",2435430,"swpson","Asked first","yes"
"4785",2435433,"swpson","Asked first","yes"
"4786",2435435,"swpson","Asked second","yes"
"4787",2435464,"swpson","Asked second","yes"
"4788",2435472,"swpson","Asked second","yes"
"4789",2435540,"swpson","Asked second","yes"
"4790",2435554,"swpson","Asked first","yes"
"4791",2435619,"swpson","Asked first","yes"
"4792",2435653,"swpson","Asked first","yes"
"4793",2435695,"swpson","Asked second","yes"
"4794",2435842,"swpson","Asked first","yes"
"4795",2435851,"swpson","Asked first","yes"
"4796",2435854,"swpson","Asked first","no"
"4797",2435895,"swpson","Asked first","yes"
"4798",2435947,"swpson","Asked first","yes"
"4799",2435961,"swpson","Asked first","yes"
"4800",2435964,"swpson","Asked first","yes"
"4801",2436064,"swpson","Asked second","yes"
"4802",2436403,"swpson","Asked second","yes"
"4803",2436426,"swpson","Asked second","no"
"4804",2436504,"swpson","Asked second","yes"
"4805",2436551,"swpson","Asked second","yes"
"4806",2438531,"swpson","Asked first","yes"
"4807",2438839,"swpson","Asked first","yes"
"4808",2438844,"swpson","Asked first","no"
"4809",2438847,"swpson","Asked first","no"
"4810",2439394,"swpson","Asked first","yes"
"4811",2439453,"swpson","Asked first","yes"
"4812",2439491,"swpson","Asked second","yes"
"4813",2439602,"swpson","Asked first","yes"
"4814",2439734,"swpson","Asked second","yes"
"4815",2439750,"swpson","Asked second","yes"
"4816",2439756,"swpson","Asked first","no"
"4817",2439810,"swpson","Asked second","yes"
"4818",2439812,"swpson","Asked first","yes"
"4819",2440011,"swpson","Asked first","no"
"4820",2440042,"swpson","Asked first","yes"
